rid	true_start	true_end	length
read_0	0	1500	1500
read_1	500	2000	1500
read_2	1000	2500	1500
read_3	1500	3000	1500
read_4	2000	3500	1500
read_5	2500	4000	1500
read_6	3000	4500	1500
read_7	3500	5000	1500
read_8	4000	5500	1500
read_9	4500	6000	1500
read_10	5000	6500	1500
read_11	5500	7000	1500
read_12	6000	7500	1500
read_13	6500	8000	1500
read_14	7000	8500	1500
read_15	7500	9000	1500
read_16	8000	9500	1500
read_17	8500	10000	1500
read_18	9000	10500	1500
read_19	9500	11000	1500
read_20	10000	11500	1500
read_21	10500	12000	1500
