genome_len,seed,read_len,step,true_adjacent_overlap,mismatch_rate,expected_pairwise_identity,reads,pairs_scanned,min_overlap,min_identity,fft_raw_candidates,fft_raw_adjacent,fft_raw_jump,fft_raw_wrong,fft_raw_missing_adjacent,fft_raw_precision,fft_raw_recall,fft_best_candidates,fft_best_adjacent,fft_best_wrong,fft_best_missing_adjacent,fft_best_precision,fft_best_recall,fft_seconds,c_fft_raw_candidates,c_fft_raw_adjacent,c_fft_raw_jump,c_fft_raw_wrong,c_fft_raw_missing_adjacent,c_fft_raw_precision,c_fft_raw_recall,c_fft_best_candidates,c_fft_best_adjacent,c_fft_best_wrong,c_fft_best_missing_adjacent,c_fft_best_precision,c_fft_best_recall,c_fft_seconds,speedup_python_fft_vs_c_fft,c_raw_common_edges,c_raw_only_python_fft,c_raw_only_c_fft,c_best_common_edges,c_best_only_python_fft,c_best_only_c_fft,c_fft_status,minimap_raw_candidates,minimap_raw_adjacent,minimap_raw_jump,minimap_raw_wrong,minimap_raw_missing_adjacent,minimap_raw_precision,minimap_raw_recall,minimap_best_candidates,minimap_best_adjacent,minimap_best_wrong,minimap_best_missing_adjacent,minimap_best_precision,minimap_best_recall,minimap_seconds,speedup_minimap_vs_fft,raw_common_edges,raw_only_fft,raw_only_minimap,best_common_edges,best_only_fft,best_only_minimap,minimap_status,minimap_extra_args
12000,20260618,1500,500,1000,0.1,0.8133333333333334,22,462,400,0.75,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.49248809399998095,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.158260598,3.1118806590126806,41,0,0,21,0,0,ok,4,3,1,0,18,1.0,0.14285714285714285,4,3,0,18,1.0,0.14285714285714285,0.006195600000012291,79.48997578910902,4,37,0,3,18,1,ok,
12000,20260619,1500,500,1000,0.1,0.8133333333333334,22,462,400,0.75,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.4700519940000163,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.157589898,2.982754605247706,41,0,0,21,0,0,ok,4,2,2,0,19,1.0,0.09523809523809523,4,2,0,19,1.0,0.09523809523809523,0.006348599999995486,74.04025989987565,4,37,0,2,19,2,ok,
12000,20260620,1500,500,1000,0.1,0.8133333333333334,22,462,400,0.75,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.4668956939999873,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.157041598,2.9730701925230494,41,0,0,21,0,0,ok,3,3,0,0,18,1.0,0.14285714285714285,3,3,0,18,1.0,0.14285714285714285,0.006322100000005548,73.85136173100355,3,38,0,3,18,0,ok,
12000,20260621,1500,500,1000,0.1,0.8133333333333334,22,462,400,0.75,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.4657297939999978,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.159030098,2.928563837016549,41,0,0,21,0,0,ok,4,4,0,0,17,1.0,0.19047619047619047,4,4,0,17,1.0,0.19047619047619047,0.007152600000011944,65.11335654156811,4,37,0,4,17,0,ok,
12000,20260622,1500,500,1000,0.1,0.8133333333333334,22,462,400,0.75,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.5007795930000043,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.168765198,2.967315530302665,41,0,0,21,0,0,ok,3,2,1,0,19,1.0,0.09523809523809523,3,2,0,19,1.0,0.09523809523809523,0.007050799999973378,71.02450686473806,3,38,0,2,19,1,ok,
12000,20260618,1500,500,1000,0.12,0.7792,22,462,400,0.75,39,21,18,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.4651291940000135,39,21,18,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.158473298,2.935063508301654,39,0,0,21,0,0,ok,1,1,0,0,20,1.0,0.047619047619047616,1,1,0,20,1.0,0.047619047619047616,0.006262600000013663,74.27094082314035,1,38,0,1,20,0,ok,
12000,20260619,1500,500,1000,0.12,0.7792,22,462,400,0.75,40,21,19,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.4700692940000124,40,21,19,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.157138798,2.9914273240146105,40,0,0,21,0,0,ok,0,0,0,0,21,0.0,0.0,0,0,0,21,0.0,0.0,0.007006899999993266,67.086628038143,0,40,0,0,21,0,ok,
12000,20260620,1500,500,1000,0.12,0.7792,22,462,400,0.75,39,21,18,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.4657143940000026,39,21,18,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.1590308,2.9284540730475013,39,0,0,21,0,0,ok,1,1,0,0,20,1.0,0.047619047619047616,1,1,0,20,1.0,0.047619047619047616,0.007202599999999393,64.65920556466301,1,38,0,1,20,0,ok,
12000,20260621,1500,500,1000,0.12,0.7792,22,462,400,0.75,38,20,18,0,1,1.0,0.9523809523809523,21,20,0,1,1.0,0.9523809523809523,0.46447790399997757,38,20,18,0,1,1.0,0.9523809523809523,21,20,0,1,1.0,0.9523809523809523,0.155112401,2.9944601528022092,38,0,0,21,0,0,ok,2,2,0,0,19,1.0,0.09523809523809523,2,2,0,19,1.0,0.09523809523809523,0.006549000000006799,70.92348511215381,2,36,0,2,19,0,ok,
12000,20260622,1500,500,1000,0.12,0.7792,22,462,400,0.75,40,21,19,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.465094004000008,40,21,19,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.155570301,2.9896066344951535,40,0,0,21,0,0,ok,0,0,0,0,21,0.0,0.0,0,0,0,21,0.0,0.0,0.006587499999994861,70.60250535109994,0,40,0,0,21,0,ok,
