genome_len,seed,read_len,step,true_adjacent_overlap,mismatch_rate,expected_pairwise_identity,reads,pairs_scanned,min_overlap,min_identity,fft_raw_candidates,fft_raw_adjacent,fft_raw_jump,fft_raw_wrong,fft_raw_missing_adjacent,fft_raw_precision,fft_raw_recall,fft_best_candidates,fft_best_adjacent,fft_best_wrong,fft_best_missing_adjacent,fft_best_precision,fft_best_recall,fft_seconds,c_fft_raw_candidates,c_fft_raw_adjacent,c_fft_raw_jump,c_fft_raw_wrong,c_fft_raw_missing_adjacent,c_fft_raw_precision,c_fft_raw_recall,c_fft_best_candidates,c_fft_best_adjacent,c_fft_best_wrong,c_fft_best_missing_adjacent,c_fft_best_precision,c_fft_best_recall,c_fft_seconds,speedup_python_fft_vs_c_fft,c_raw_common_edges,c_raw_only_python_fft,c_raw_only_c_fft,c_best_common_edges,c_best_only_python_fft,c_best_only_c_fft,c_fft_status,minimap_raw_candidates,minimap_raw_adjacent,minimap_raw_jump,minimap_raw_wrong,minimap_raw_missing_adjacent,minimap_raw_precision,minimap_raw_recall,minimap_best_candidates,minimap_best_adjacent,minimap_best_wrong,minimap_best_missing_adjacent,minimap_best_precision,minimap_best_recall,minimap_seconds,speedup_minimap_vs_fft,raw_common_edges,raw_only_fft,raw_only_minimap,best_common_edges,best_only_fft,best_only_minimap,minimap_status,minimap_extra_args
12000,20260618,1500,500,1000,0.06,0.8847999999999999,22,462,400,0.75,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.48973480000000036,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.1596825,3.0669284361154188,41,0,0,21,0,0,ok,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.025993799999999734,18.840446568027968,41,0,0,21,0,0,ok,-k7 -w3 -n2 -m15
12000,20260619,1500,500,1000,0.06,0.8847999999999999,22,462,400,0.75,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.4745777000000002,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.1591847,2.981302223140793,41,0,0,21,0,0,ok,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.022615300000000005,20.984806745875584,41,0,0,21,0,0,ok,-k7 -w3 -n2 -m15
12000,20260620,1500,500,1000,0.06,0.8847999999999999,22,462,400,0.75,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.47904629999999937,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.1573594,3.0442814347283944,41,0,0,21,0,0,ok,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.022717500000000612,21.087104655001056,41,0,0,21,0,0,ok,-k7 -w3 -n2 -m15
12000,20260621,1500,500,1000,0.06,0.8847999999999999,22,462,400,0.75,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.4716375999999993,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.158185,2.9815570376457905,41,0,0,21,0,0,ok,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.025185500000000083,18.72655297691123,41,0,0,21,0,0,ok,-k7 -w3 -n2 -m15
12000,20260622,1500,500,1000,0.06,0.8847999999999999,22,462,400,0.75,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.4729561000000002,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.1580625,2.9922094108343233,41,0,0,21,0,0,ok,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.023835400000000284,19.842591271805574,41,0,0,21,0,0,ok,-k7 -w3 -n2 -m15
12000,20260618,1500,500,1000,0.08,0.8485333333333334,22,462,400,0.75,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.4807098999999999,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.158739,3.0283036934842724,41,0,0,21,0,0,ok,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.022240499999999663,21.61416784694621,41,0,0,21,0,0,ok,-k7 -w3 -n2 -m15
12000,20260619,1500,500,1000,0.08,0.8485333333333334,22,462,400,0.75,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.4711312999999997,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.1587716,2.9673524736161863,41,0,0,21,0,0,ok,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.023641299999999532,19.928316124748175,41,0,0,21,0,0,ok,-k7 -w3 -n2 -m15
12000,20260620,1500,500,1000,0.08,0.8485333333333334,22,462,400,0.75,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.4808981000000001,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.1635572,2.940244147001783,41,0,0,21,0,0,ok,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.023216599999999588,20.713545480389403,41,0,0,21,0,0,ok,-k7 -w3 -n2 -m15
12000,20260621,1500,500,1000,0.08,0.8485333333333334,22,462,400,0.75,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.47736040000000024,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.1573278,3.03417704944708,41,0,0,21,0,0,ok,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.02498339999999999,19.107103116469354,41,0,0,21,0,0,ok,-k7 -w3 -n2 -m15
12000,20260622,1500,500,1000,0.08,0.8485333333333334,22,462,400,0.75,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.4832997999999993,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.1621487,2.9805962058283493,41,0,0,21,0,0,ok,41,21,20,0,0,1.0,1.0,21,21,0,0,1.0,1.0,0.023010599999999215,21.0033549755337,41,0,0,21,0,0,ok,-k7 -w3 -n2 -m15
