genome_len,read_len,step,true_adjacent_overlap,mismatch_rate,expected_pairwise_identity,reads,pairs_scanned,min_overlap,min_identity,fft_raw_candidates,fft_raw_adjacent,fft_raw_jump,fft_raw_wrong,fft_raw_missing_adjacent,fft_raw_precision,fft_raw_recall,fft_best_candidates,fft_best_adjacent,fft_best_wrong,fft_best_missing_adjacent,fft_best_precision,fft_best_recall,fft_seconds,minimap_raw_candidates,minimap_raw_adjacent,minimap_raw_jump,minimap_raw_wrong,minimap_raw_missing_adjacent,minimap_raw_precision,minimap_raw_recall,minimap_best_candidates,minimap_best_adjacent,minimap_best_wrong,minimap_best_missing_adjacent,minimap_best_precision,minimap_best_recall,minimap_seconds,speedup_minimap_vs_fft,raw_common_edges,raw_only_fft,raw_only_minimap,best_common_edges,best_only_fft,best_only_minimap,minimap_status
6000,1500,1000,500,0.0,1.0,5,20,400,0.9,4,4,0,0,0,1.0,1.0,4,4,0,0,1.0,1.0,0.047906599999999244,4,4,0,0,0,1.0,1.0,4,4,0,0,1.0,1.0,0.004280500000000131,11.19182338511804,4,0,0,4,0,0,ok
6000,1500,1000,500,0.03,0.9411999999999999,5,20,400,0.9,4,4,0,0,0,1.0,1.0,4,4,0,0,1.0,1.0,0.025408199999999326,4,4,0,0,0,1.0,1.0,4,4,0,0,1.0,1.0,0.003537199999998464,7.183139206154688,4,0,0,4,0,0,ok
6000,1500,1000,500,0.06,0.8847999999999999,5,20,400,0.9,1,1,0,0,3,1.0,0.25,1,1,0,3,1.0,0.25,0.022212800000000144,3,3,0,0,1,1.0,0.75,3,3,0,1,1.0,0.75,0.004240499999999869,5.238250206343786,1,0,2,1,0,2,ok
6000,1500,500,1000,0.0,1.0,10,90,400,0.9,17,9,8,0,0,1.0,1.0,9,9,0,0,1.0,1.0,0.09649290000000121,17,9,8,0,0,1.0,1.0,9,9,0,0,1.0,1.0,0.004718099999999836,20.451643670122415,17,0,0,9,0,0,ok
6000,1500,500,1000,0.03,0.9411999999999999,10,90,400,0.9,17,9,8,0,0,1.0,1.0,9,9,0,0,1.0,1.0,0.0930364000000008,17,9,8,0,0,1.0,1.0,9,9,0,0,1.0,1.0,0.005963799999999964,15.600187799725237,17,0,0,9,0,0,ok
6000,1500,500,1000,0.06,0.8847999999999999,10,90,400,0.9,3,2,1,0,7,1.0,0.2222222222222222,3,2,0,7,1.0,0.2222222222222222,0.09181360000000005,10,6,4,0,3,1.0,0.6666666666666666,7,6,0,3,1.0,0.6666666666666666,0.004640900000000059,19.783576461461976,2,1,8,1,2,6,ok
6000,1500,250,1250,0.0,1.0,19,342,400,0.9,66,18,48,0,0,1.0,1.0,18,18,0,0,1.0,1.0,0.3567084999999999,66,18,48,0,0,1.0,1.0,18,18,0,0,1.0,1.0,0.009211999999999776,38.722155883630975,66,0,0,18,0,0,ok
6000,1500,250,1250,0.03,0.9411999999999999,19,342,400,0.9,66,18,48,0,0,1.0,1.0,18,18,0,0,1.0,1.0,0.35624379999999967,63,16,47,0,2,1.0,0.8888888888888888,18,16,0,2,1.0,0.8888888888888888,0.007769200000000254,45.85334397363796,63,3,0,16,2,2,ok
6000,1500,250,1250,0.06,0.8847999999999999,19,342,400,0.9,10,1,9,0,17,1.0,0.05555555555555555,8,1,0,17,1.0,0.05555555555555555,0.35467200000000076,48,14,34,0,4,1.0,0.7777777777777778,17,14,0,4,1.0,0.7777777777777778,0.007330599999999521,48.38239707527678,10,0,38,3,5,14,ok
12000,1500,1000,500,0.0,1.0,11,110,400,0.9,10,10,0,0,0,1.0,1.0,10,10,0,0,1.0,1.0,0.11498830000000027,10,10,0,0,0,1.0,1.0,10,10,0,0,1.0,1.0,0.0049053000000007785,23.441644751591546,10,0,0,10,0,0,ok
