genome_len,seed,read_len,step,true_adjacent_overlap,mismatch_rate,expected_pairwise_identity,reads,pairs_scanned,min_overlap,min_identity,fft_raw_candidates,fft_raw_adjacent,fft_raw_jump,fft_raw_wrong,fft_raw_missing_adjacent,fft_raw_precision,fft_raw_recall,fft_best_candidates,fft_best_adjacent,fft_best_wrong,fft_best_missing_adjacent,fft_best_precision,fft_best_recall,fft_seconds,c_fft_raw_candidates,c_fft_raw_adjacent,c_fft_raw_jump,c_fft_raw_wrong,c_fft_raw_missing_adjacent,c_fft_raw_precision,c_fft_raw_recall,c_fft_best_candidates,c_fft_best_adjacent,c_fft_best_wrong,c_fft_best_missing_adjacent,c_fft_best_precision,c_fft_best_recall,c_fft_seconds,speedup_python_fft_vs_c_fft,c_raw_common_edges,c_raw_only_python_fft,c_raw_only_c_fft,c_best_common_edges,c_best_only_python_fft,c_best_only_c_fft,c_fft_status,minimap_raw_candidates,minimap_raw_adjacent,minimap_raw_jump,minimap_raw_wrong,minimap_raw_missing_adjacent,minimap_raw_precision,minimap_raw_recall,minimap_best_candidates,minimap_best_adjacent,minimap_best_wrong,minimap_best_missing_adjacent,minimap_best_precision,minimap_best_recall,minimap_seconds,speedup_minimap_vs_fft,raw_common_edges,raw_only_fft,raw_only_minimap,best_common_edges,best_only_fft,best_only_minimap,minimap_status,minimap_extra_args
16000,20260618,1500,500,1000,0.06,0.8847999999999999,30,870,400,0.75,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.9657945000000003,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.3088907,3.126654509183994,57,0,0,29,0,0,ok,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.03878849999999989,24.898990680227463,57,0,0,29,0,0,ok,-k7 -w3 -n2 -m15
16000,20260619,1500,500,1000,0.06,0.8847999999999999,30,870,400,0.75,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.9377697999999999,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.298548,3.141102268311963,57,0,0,29,0,0,ok,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.0387139000000003,24.223077499295925,57,0,0,29,0,0,ok,-k7 -w3 -n2 -m15
16000,20260620,1500,500,1000,0.06,0.8847999999999999,30,870,400,0.75,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.9324190999999997,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.2959611,3.150478559513395,57,0,0,29,0,0,ok,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.037116600000000055,25.121350015895807,57,0,0,29,0,0,ok,-k7 -w3 -n2 -m15
16000,20260621,1500,500,1000,0.06,0.8847999999999999,30,870,400,0.75,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.9220364999999999,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.2994243,3.0793643000918762,57,0,0,29,0,0,ok,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.04043829999999993,22.801069777908605,57,0,0,29,0,0,ok,-k7 -w3 -n2 -m15
16000,20260622,1500,500,1000,0.06,0.8847999999999999,30,870,400,0.75,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.9275822999999992,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.3003218,3.0886279317718497,57,0,0,29,0,0,ok,58,29,28,1,0,0.9827586206896551,1.0,29,29,0,0,1.0,1.0,0.039873599999999954,23.26306879739979,57,0,1,29,0,0,ok,-k7 -w3 -n2 -m15
16000,20260618,1500,500,1000,0.08,0.8485333333333334,30,870,400,0.75,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.9247370000000004,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.2960876,3.123187191898615,57,0,0,29,0,0,ok,58,29,28,1,0,0.9827586206896551,1.0,29,29,0,0,1.0,1.0,0.03702100000000108,24.978714783500536,57,0,1,29,0,0,ok,-k7 -w3 -n2 -m15
16000,20260619,1500,500,1000,0.08,0.8485333333333334,30,870,400,0.75,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.9307064,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.2947899,3.1571855073732173,57,0,0,29,0,0,ok,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.03927430000000065,23.697593591737718,57,0,0,29,0,0,ok,-k7 -w3 -n2 -m15
16000,20260620,1500,500,1000,0.08,0.8485333333333334,30,870,400,0.75,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.9201060000000005,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.2937001,3.1328079220946825,57,0,0,29,0,0,ok,56,28,28,0,1,1.0,0.9655172413793104,29,28,0,1,1.0,0.9655172413793104,0.03854109999999977,23.873371543625012,56,1,0,28,1,1,ok,-k7 -w3 -n2 -m15
16000,20260621,1500,500,1000,0.08,0.8485333333333334,30,870,400,0.75,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.9277860000000011,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.2980484,3.1128702586559807,57,0,0,29,0,0,ok,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.03781880000000015,24.532401874200065,57,0,0,29,0,0,ok,-k7 -w3 -n2 -m15
16000,20260622,1500,500,1000,0.08,0.8485333333333334,30,870,400,0.75,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.9373792999999999,57,29,28,0,0,1.0,1.0,29,29,0,0,1.0,1.0,0.294844,3.179238173406954,57,0,0,29,0,0,ok,58,29,28,1,0,0.9827586206896551,1.0,29,29,0,0,1.0,1.0,0.04018419999999878,23.327061382335057,57,0,1,29,0,0,ok,-k7 -w3 -n2 -m15
