position	read_id	orientation	next_read_id
0	SRR27862880.9001_m2	-1	SRR27862880.122501_m2
1	SRR27862880.122501_m2	+1	SRR27862880.150001_m1
2	SRR27862880.150001_m1	-1	SRR27862880.122001_m1
3	SRR27862880.122001_m1	+1	SRR27862880.183001_m1
4	SRR27862880.183001_m1	+1	SRR27862880.40501_m2
5	SRR27862880.40501_m2	-1	SRR27862880.122501_m1
6	SRR27862880.122501_m1	-1	SRR27862880.194001_m1
7	SRR27862880.194001_m1	+1	SRR27862880.184501_m1
8	SRR27862880.184501_m1	+1	SRR27862880.233501_m2
9	SRR27862880.233501_m2	+1	SRR27862880.35001_m2
10	SRR27862880.35001_m2	-1	SRR27862880.130001_m2
11	SRR27862880.130001_m2	-1	SRR27862880.81501_m1
12	SRR27862880.81501_m1	-1	SRR27862880.6001_m2
13	SRR27862880.6001_m2	+1	SRR27862880.183001_m2
14	SRR27862880.183001_m2	-1	SRR27862880.182501_m1
15	SRR27862880.182501_m1	-1	SRR27862880.131001_m2
16	SRR27862880.131001_m2	-1	SRR27862880.118001_m1
17	SRR27862880.118001_m1	+1	SRR27862880.126001_m2
18	SRR27862880.126001_m2	-1	SRR27862880.221501_m2
19	SRR27862880.221501_m2	-1	SRR27862880.233501_m1
20	SRR27862880.233501_m1	-1	SRR27862880.87001_m2
21	SRR27862880.87001_m2	+1	SRR27862880.19501_m2
22	SRR27862880.19501_m2	-1	SRR27862880.55501_m1
23	SRR27862880.55501_m1	-1	SRR27862880.6001_m1
24	SRR27862880.6001_m1	-1	SRR27862880.62501_m2
25	SRR27862880.62501_m2	-1	SRR27862880.74501_m1
26	SRR27862880.74501_m1	-1	SRR27862880.162001_m2
27	SRR27862880.162001_m2	+1	SRR27862880.118001_m2
28	SRR27862880.118001_m2	-1	SRR27862880.87501_m1
29	SRR27862880.87501_m1	-1	SRR27862880.97001_m2
30	SRR27862880.97001_m2	+1	SRR27862880.225501_m2
31	SRR27862880.225501_m2	-1	SRR27862880.1501_m2
32	SRR27862880.1501_m2	+1	SRR27862880.11001_m1
33	SRR27862880.11001_m1	-1	SRR27862880.38501_m2
34	SRR27862880.38501_m2	+1	SRR27862880.119001_m1
35	SRR27862880.119001_m1	-1	SRR27862880.169001_m1
36	SRR27862880.169001_m1	-1	SRR27862880.97001_m1
37	SRR27862880.97001_m1	-1	SRR27862880.175501_m2
38	SRR27862880.175501_m2	+1	SRR27862880.158501_m2
39	SRR27862880.158501_m2	+1	SRR27862880.176501_m2
40	SRR27862880.176501_m2	+1	SRR27862880.43501_m2
41	SRR27862880.43501_m2	+1	SRR27862880.65501_m2
42	SRR27862880.65501_m2	-1	SRR27862880.133001_m1
43	SRR27862880.133001_m1	+1	SRR27862880.45501_m1
44	SRR27862880.45501_m1	-1	SRR27862880.34501_m2
45	SRR27862880.34501_m2	-1	SRR27862880.200001_m1
46	SRR27862880.200001_m1	+1	SRR27862880.213501_m2
47	SRR27862880.213501_m2	+1	SRR27862880.59501_m1
48	SRR27862880.59501_m1	+1	SRR27862880.21501_m1
49	SRR27862880.21501_m1	+1	SRR27862880.114501_m1
50	SRR27862880.114501_m1	+1	SRR27862880.218001_m2
51	SRR27862880.218001_m2	+1	SRR27862880.15501_m1
52	SRR27862880.15501_m1	-1	SRR27862880.239001_m1
53	SRR27862880.239001_m1	-1	SRR27862880.108001_m1
54	SRR27862880.108001_m1	-1	SRR27862880.78001_m2
55	SRR27862880.78001_m2	-1	SRR27862880.189001_m2
56	SRR27862880.189001_m2	-1	SRR27862880.216001_m1
57	SRR27862880.216001_m1	+1	SRR27862880.158501_m1
58	SRR27862880.158501_m1	-1	SRR27862880.242001_m2
59	SRR27862880.242001_m2	+1	SRR27862880.43501_m1
60	SRR27862880.43501_m1	-1	SRR27862880.56001_m1
61	SRR27862880.56001_m1	-1	SRR27862880.198001_m2
62	SRR27862880.198001_m2	-1	SRR27862880.24001_m2
63	SRR27862880.24001_m2	-1	SRR27862880.73001_m1
64	SRR27862880.73001_m1	+1	SRR27862880.237001_m2
65	SRR27862880.237001_m2	+1	SRR27862880.137501_m2
66	SRR27862880.137501_m2	+1	SRR27862880.123001_m1
67	SRR27862880.123001_m1	+1	SRR27862880.22501_m2
68	SRR27862880.22501_m2	-1	SRR27862880.133001_m2
69	SRR27862880.133001_m2	-1	SRR27862880.59501_m2
70	SRR27862880.59501_m2	-1	SRR27862880.21501_m2
71	SRR27862880.21501_m2	-1	SRR27862880.127501_m2
72	SRR27862880.127501_m2	-1	SRR27862880.190001_m2
73	SRR27862880.190001_m2	+1	SRR27862880.165001_m2
74	SRR27862880.165001_m2	-1	SRR27862880.63001_m1
75	SRR27862880.63001_m1	+1	SRR27862880.44501_m1
76	SRR27862880.44501_m1	+1	SRR27862880.226501_m2
77	SRR27862880.226501_m2	+1	SRR27862880.17501_m2
78	SRR27862880.17501_m2	+1	SRR27862880.77001_m1
79	SRR27862880.77001_m1	-1	SRR27862880.41001_m2
80	SRR27862880.41001_m2	-1	SRR27862880.137501_m1
81	SRR27862880.137501_m1	-1	SRR27862880.73001_m2
82	SRR27862880.73001_m2	-1	SRR27862880.234001_m2
83	SRR27862880.234001_m2	-1	SRR27862880.237001_m1
84	SRR27862880.237001_m1	-1	SRR27862880.239501_m2
85	SRR27862880.239501_m2	+1	SRR27862880.144001_m2
86	SRR27862880.144001_m2	+1	SRR27862880.232001_m1
87	SRR27862880.232001_m1	+1	SRR27862880.199501_m2
88	SRR27862880.199501_m2	+1	SRR27862880.80001_m2
89	SRR27862880.80001_m2	+1	SRR27862880.203501_m1
90	SRR27862880.203501_m1	-1	SRR27862880.100501_m1
91	SRR27862880.100501_m1	+1	SRR27862880.119501_m1
92	SRR27862880.119501_m1	+1	SRR27862880.243501_m1
93	SRR27862880.243501_m1	-1	SRR27862880.17501_m1
94	SRR27862880.17501_m1	-1	SRR27862880.16501_m1
95	SRR27862880.16501_m1	-1	SRR27862880.227001_m2
96	SRR27862880.227001_m2	+1	SRR27862880.169501_m1
97	SRR27862880.169501_m1	-1	SRR27862880.64501_m1
98	SRR27862880.64501_m1	+1	SRR27862880.68001_m2
99	SRR27862880.68001_m2	+1	SRR27862880.79001_m2
100	SRR27862880.79001_m2	-1	SRR27862880.246501_m1
101	SRR27862880.246501_m1	+1	SRR27862880.47501_m2
102	SRR27862880.47501_m2	+1	SRR27862880.58001_m1
103	SRR27862880.58001_m1	-1	SRR27862880.17001_m1
104	SRR27862880.17001_m1	+1	SRR27862880.141501_m1
105	SRR27862880.141501_m1	+1	SRR27862880.36001_m2
106	SRR27862880.36001_m2	+1	SRR27862880.13501_m2
107	SRR27862880.13501_m2	+1	SRR27862880.227001_m1
108	SRR27862880.227001_m1	-1	SRR27862880.196501_m2
109	SRR27862880.196501_m2	+1	SRR27862880.188501_m1
110	SRR27862880.188501_m1	-1	SRR27862880.2501_m2
111	SRR27862880.2501_m2	-1	SRR27862880.85501_m1
112	SRR27862880.85501_m1	-1	SRR27862880.68001_m1
113	SRR27862880.68001_m1	-1	SRR27862880.124501_m1
114	SRR27862880.124501_m1	-1	SRR27862880.225001_m1
115	SRR27862880.225001_m1	-1	SRR27862880.66001_m1
116	SRR27862880.66001_m1	+1	SRR27862880.28501_m1
117	SRR27862880.28501_m1	+1	SRR27862880.246501_m2
118	SRR27862880.246501_m2	-1	SRR27862880.129501_m2
119	SRR27862880.129501_m2	-1	SRR27862880.116001_m1
120	SRR27862880.116001_m1	+1	SRR27862880.49001_m1
121	SRR27862880.49001_m1	-1	SRR27862880.141501_m2
122	SRR27862880.141501_m2	-1	SRR27862880.201001_m2
123	SRR27862880.201001_m2	-1	SRR27862880.154501_m1
124	SRR27862880.154501_m1	-1	SRR27862880.97501_m2
125	SRR27862880.97501_m2	-1	SRR27862880.195001_m1
126	SRR27862880.195001_m1	+1	SRR27862880.13501_m1
127	SRR27862880.13501_m1	-1	SRR27862880.140001_m2
128	SRR27862880.140001_m2	-1	SRR27862880.178001_m1
129	SRR27862880.178001_m1	-1	SRR27862880.191501_m1
130	SRR27862880.191501_m1	+1	SRR27862880.216501_m1
131	SRR27862880.216501_m1	-1	SRR27862880.48001_m2
132	SRR27862880.48001_m2	-1	SRR27862880.6501_m2
133	SRR27862880.6501_m2	-1	SRR27862880.154001_m2
134	SRR27862880.154001_m2	+1	SRR27862880.151501_m1
135	SRR27862880.151501_m1	-1	SRR27862880.191001_m1
136	SRR27862880.191001_m1	+1	SRR27862880.170001_m1
137	SRR27862880.170001_m1	+1	SRR27862880.86001_m2
138	SRR27862880.86001_m2	-1	SRR27862880.59001_m1
139	SRR27862880.59001_m1	-1	SRR27862880.21001_m2
140	SRR27862880.21001_m2	-1	SRR27862880.90001_m1
141	SRR27862880.90001_m1	+1	SRR27862880.198501_m1
142	SRR27862880.198501_m1	-1	SRR27862880.136001_m2
143	SRR27862880.136001_m2	+1	SRR27862880.29001_m1
144	SRR27862880.29001_m1	+1	SRR27862880.18001_m1
145	SRR27862880.18001_m1	-1	SRR27862880.107501_m1
146	SRR27862880.107501_m1	-1	SRR27862880.245501_m1
147	SRR27862880.245501_m1	+1	SRR27862880.23501_m2
148	SRR27862880.23501_m2	+1	SRR27862880.224501_m2
149	SRR27862880.224501_m2	-1	SRR27862880.92501_m2
150	SRR27862880.92501_m2	+1	SRR27862880.123501_m2
151	SRR27862880.123501_m2	+1	SRR27862880.236001_m2
152	SRR27862880.236001_m2	-1	SRR27862880.136001_m1
153	SRR27862880.136001_m1	-1	SRR27862880.247001_m1
154	SRR27862880.247001_m1	-1	SRR27862880.79501_m1
155	SRR27862880.79501_m1	+1	SRR27862880.118501_m2
156	SRR27862880.118501_m2	+1	SRR27862880.54501_m1
157	SRR27862880.54501_m1	-1	SRR27862880.83001_m2
158	SRR27862880.83001_m2	+1	SRR27862880.86501_m2
159	SRR27862880.86501_m2	+1	SRR27862880.69001_m2
160	SRR27862880.69001_m2	-1	SRR27862880.33501_m1
161	SRR27862880.33501_m1	+1	SRR27862880.15001_m2
162	SRR27862880.15001_m2	+1	SRR27862880.245501_m2
163	SRR27862880.245501_m2	-1	SRR27862880.74001_m1
164	SRR27862880.74001_m1	-1	SRR27862880.193001_m2
165	SRR27862880.193001_m2	+1	SRR27862880.206001_m2
166	SRR27862880.206001_m2	+1	SRR27862880.207001_m1
167	SRR27862880.207001_m1	-1	SRR27862880.56501_m2
168	SRR27862880.56501_m2	+1	SRR27862880.92501_m1
169	SRR27862880.92501_m1	-1	SRR27862880.172501_m1
170	SRR27862880.172501_m1	+1	SRR27862880.30001_m1
171	SRR27862880.30001_m1	-1	SRR27862880.83001_m1
172	SRR27862880.83001_m1	-1	SRR27862880.186001_m1
173	SRR27862880.186001_m1	-1	SRR27862880.161001_m2
174	SRR27862880.161001_m2	+1	SRR27862880.33501_m2
175	SRR27862880.33501_m2	-1	SRR27862880.135001_m1
176	SRR27862880.135001_m1	-1	SRR27862880.105501_m1
177	SRR27862880.105501_m1	-1	SRR27862880.193001_m1
178	SRR27862880.193001_m1	-1	SRR27862880.4001_m2
179	SRR27862880.4001_m2	+1	SRR27862880.206001_m1
180	SRR27862880.206001_m1	-1	SRR27862880.112001_m1
181	SRR27862880.112001_m1	+1	SRR27862880.105001_m2
182	SRR27862880.105001_m2	+1	SRR27862880.3501_m2
183	SRR27862880.3501_m2	+1	SRR27862880.72001_m2
184	SRR27862880.72001_m2	+1	SRR27862880.172001_m1
185	SRR27862880.172001_m1	+1	SRR27862880.115001_m1
186	SRR27862880.115001_m1	+1	SRR27862880.84501_m1
187	SRR27862880.84501_m1	+1	SRR27862880.204001_m1
188	SRR27862880.204001_m1	-1	SRR27862880.98501_m1
189	SRR27862880.98501_m1	+1	SRR27862880.4001_m1
190	SRR27862880.4001_m1	-1	SRR27862880.3501_m1
191	SRR27862880.3501_m1	-1	SRR27862880.5001_m1
192	SRR27862880.5001_m1	-1	SRR27862880.32001_m1
193	SRR27862880.32001_m1	+1	SRR27862880.194501_m2
194	SRR27862880.194501_m2	+1	SRR27862880.215001_m1
195	SRR27862880.215001_m1	+1	SRR27862880.76001_m1
196	SRR27862880.76001_m1	+1	SRR27862880.51001_m1
197	SRR27862880.51001_m1	+1	SRR27862880.236501_m2
198	SRR27862880.236501_m2	-1	SRR27862880.249501_m1
199	SRR27862880.249501_m1	-1	SRR27862880.72001_m1
200	SRR27862880.72001_m1	-1	SRR27862880.146001_m1
201	SRR27862880.146001_m1	-1	SRR27862880.131501_m1
202	SRR27862880.131501_m1	-1	SRR27862880.190501_m2
203	SRR27862880.190501_m2	+1	SRR27862880.68501_m2
204	SRR27862880.68501_m2	+1	SRR27862880.147001_m2
205	SRR27862880.147001_m2	+1	SRR27862880.23001_m1
206	SRR27862880.23001_m1	+1	SRR27862880.45001_m2
207	SRR27862880.45001_m2	+1	SRR27862880.72501_m1
208	SRR27862880.72501_m1	-1	SRR27862880.27501_m2
209	SRR27862880.27501_m2	+1	SRR27862880.31001_m1
210	SRR27862880.31001_m1	-1	SRR27862880.47001_m2
211	SRR27862880.47001_m2	-1	SRR27862880.48501_m2
212	SRR27862880.48501_m2	+1	SRR27862880.50001_m2
213	SRR27862880.50001_m2	+1	SRR27862880.194501_m1
214	SRR27862880.194501_m1	-1	SRR27862880.34001_m1
