num_sweeps	trotter	beta_start	beta_final	gamma	schedule	pause_s	pause_fraction	classical_tail_fraction	energy	selected_edges	read_in_violations	read_out_violations	improving_single_flips	minimum_flip_delta	valid_edge_cycle	anneal_sec
1000	2	NA	2.0	0.5	quartic	NA	NA	NA	-2566.47688889	827	16	16	NA	NA	False	3.438447195
1000	2	NA	2.0	0.8	quartic	NA	NA	NA	-3717.43022222	822	11	11	NA	NA	False	3.236442885
1000	2	NA	2.0	1.0	quartic	NA	NA	NA	-4788.77866667	817	6	6	0	5.67511111111	False	3.334082931
1000	2	NA	2.0	1.2	quartic	NA	NA	NA	-4507.49066667	818	7	7	NA	NA	False	3.237190994
1000	2	NA	2.0	2.0	quartic	NA	NA	NA	-4331.55422222	819	8	8	NA	NA	False	3.573189822
1000	2	NA	2.0	1.0	linear	NA	NA	NA	-4459.23244444	819	8	8	NA	NA	False	3.225164857
1000	2	NA	2.0	1.0	pause	0.2	0.3	NA	-4784.01377778	817	6	6	NA	NA	False	3.244785134
1000	2	NA	2.0	1.0	pause	0.5	0.3	NA	-4769.41155556	817	6	6	NA	NA	False	3.281008860
1000	2	0.2	2.0	1.0	quartic	NA	NA	NA	-2143.38133333	829	18	18	0	2.98844444444	False	3.245114651
1000	2	1.0	5.0	1.0	quartic	NA	NA	NA	-4172.38533333	820	9	9	0	4.01111111111	False	3.142769518
1000	2	0.2	2.0	1.0	classical-tail	NA	NA	0.5	13615.2782222	861	98	92	148	-9.86711111111	False	3.245967975
1000	2	2.0	5.0	1.0	classical-tail	NA	NA	0.2	-3819.71377778	821	10	10	0	3.364	False	3.265459729
1000	2	NA	2.0	10.0	quartic	NA	NA	NA	-4328.13866667	819	8	8	0	3.92711111111	False	3.349336305
1000	2	NA	2.0	100.0	quartic	NA	NA	NA	-4111.57422222	820	9	9	0	3.68044444444	False	3.338925905
