num_reads	num_sweeps	trotter	beta	gamma	degree_penalty	edge_reward_scale	annealer_seed	energy	selected_edges	read_in_violations	read_out_violations	valid_edge_cycle	anneal_sec
1	100	4	5.0	1.0	100	20	20260904	20174.7911111	944	153	161	False	3.121842280
1	1000	4	5.0	1.0	100	20	20260904	14327.0817778	938	133	129	False	3.555704600
10	1000	4	5.0	1.0	100	20	20260904	14327.0817778	938	133	129	False	7.394868000
1	1000	4	0.05	1.0	100	20	20260904	118101.1520000	1236	571	553	False	3.621432422
1	1000	4	0.5	1.0	100	20	20260904	-2706.75911111	854	43	43	False	3.287453953
1	1000	4	1.0	1.0	100	20	20260904	-6545.53955556	836	25	25	False	3.534779538
1	1000	4	2.0	1.0	100	20	20260904	-9469.56088889	824	13	13	False	3.409358261
1	1000	4	3.0	1.0	100	20	20260904	-4365.80444444	851	40	40	False	3.362975967
1	1000	8	2.0	1.0	100	20	20260904	-9019.11377778	825	14	14	False	3.579320875
1	1000	4	2.0	1.0	100	20	1	-9468.59022222	823	12	12	False	3.620027445
1	1000	4	2.0	1.0	100	20	2	-9358.96800000	823	12	12	False	3.318907002
1	1000	4	2.0	1.0	100	20	3	-9615.65866667	823	12	12	False	3.661238489
1	10000	4	2.0	1.0	100	20	1	7076016.35289	5371	4588	4572	False	7.253709821
1	1000	2	2.0	1.0	100	20	3	-10244.2924444	819	8	8	False	3.325648100
1	1000	8	2.0	1.0	100	20	3	-8430.32088889	827	16	16	False	3.600314609
1	1000	16	2.0	1.0	100	20	3	-7395.78844444	832	21	21	False	4.105136687
1	1000	32	2.0	1.0	100	20	3	-4432.37866667	846	35	35	False	4.863087977
1	1000	2	1.5	1.0	100	20	3	-9349.23733333	823	12	12	False	3.263964635
1	1000	2	2.5	1.0	100	20	3	-9926.11288889	819	8	10	False	3.348463695
1	1000	2	2.0	1.0	100	20	1	-9780.34666667	821	10	10	False	3.417943090
1	1000	2	2.0	1.0	100	20	2	-9782.52711111	821	10	10	False	3.337199140
1	1000	2	2.0	1.0	100	20	4	-10041.5991111	820	9	9	False	3.342278753
1	1000	2	2.0	1.0	100	20	5	-10064.8782222	820	9	9	False	3.508111021
1	1000	2	1.8	1.0	100	20	3	-9596.35644444	822	11	11	False	3.450246910
1	1000	2	2.2	1.0	100	20	3	-9610.18044444	822	11	11	False	3.266739027
1	1000	2	2.0	1.0	100	10	3	-4788.77866667	817	6	6	False	3.502755717
1	1000	2	2.0	1.0	100	5	3	-951.787555556	821	10	10	False	3.444514716
1	1000	2	2.0	1.0	100	12.5	3	-5199.89777778	822	11	11	False	3.282429110
1	1000	2	1.0	1.0	200	20	3	-5132.95377778	827	16	16	False	3.190821482
1	1000	2	1.5	1.0	100	10	3	-3382.18755556	823	12	12	False	3.395016302
1	1000	2	2.5	1.0	100	10	3	-3965.63822222	821	10	10	False	3.370503603
10	1000	2	2.0	1.0	100	10	3	-4788.77866667	817	6	6	False	6.200718518
