case,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,isolate_penalty,path_break_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_path_cover,single_path_layout,path_count,selected_edge_count,source_constraint_violations,sink_constraint_violations,in_degree_violations,out_degree_violations,isolated_node_count,uncovered_node_count,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,35,34,34,104,103,80.0,120.0,20.0,20.0,40,-660.0,-660.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,11.845392407001782,11.846018107000418
2,35,34,34,104,103,80.0,120.0,20.0,20.0,42,-660.0,-660.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,8.011516620001203,8.01187721899987
3,35,34,34,104,103,80.0,120.0,20.0,20.0,44,-660.0,-660.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,5.865392767002049,5.865740667002683
4,35,50,50,120,167,80.0,120.0,20.0,20.0,40,-556.0,-660.0,104.0,False,True,False,3,32,0,0,0,0,0,0,26,6,0,7.253196052999556,7.253588352999941
5,35,50,50,120,167,80.0,120.0,20.0,20.0,42,-660.0,-660.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,7.1970390749993385,7.197425074999046
6,35,50,50,120,167,80.0,120.0,20.0,20.0,44,-660.0,-660.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,6.773516815999756,6.7741210170024715
7,35,70,70,140,253,80.0,120.0,20.0,20.0,40,-460.0,-660.0,200.0,False,True,False,5,30,0,0,0,0,0,0,20,10,0,7.519493223000609,7.520021922999149
8,35,70,70,140,253,80.0,120.0,20.0,20.0,42,-540.0,-660.0,120.0,False,True,False,3,32,0,0,0,0,0,0,22,10,0,7.3281929079967085,7.328639307997946
9,35,70,70,140,253,80.0,120.0,20.0,20.0,44,-612.0,-660.0,48.0,False,True,False,2,33,0,0,0,0,0,0,31,2,0,7.487975075000577,7.488393774998258
10,35,all,131,201,685,80.0,120.0,20.0,20.0,40,-496.0,-660.0,164.0,False,True,False,2,33,0,0,0,0,0,0,14,19,0,10.313152580998576,10.313763681002456
11,35,all,131,201,685,80.0,120.0,20.0,20.0,42,-504.0,-660.0,156.0,False,True,False,2,33,0,0,0,0,0,0,12,21,0,10.911566335002135,10.912211434999335
12,35,all,131,201,685,80.0,120.0,20.0,20.0,44,-612.0,-660.0,48.0,False,True,False,2,33,0,0,0,0,0,0,32,1,0,10.388441790000797,10.389124290002655
