case,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,isolate_penalty,path_break_penalty,path_count_cap_penalty,reward_gamma,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_path_cover,single_path_layout,path_count,selected_edge_count,source_constraint_violations,sink_constraint_violations,in_degree_violations,out_degree_violations,isolated_node_count,uncovered_node_count,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,40.0,40,-1206.4000000000142,-1360.0,153.5999999999858,False,True,False,2,33,0,0,0,0,0,0,32,1,0,5.720431631998508,5.7211018319940194
2,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,40.0,41,-1126.4000000000142,-1360.0,233.5999999999858,False,False,False,1,34,0,1,0,1,0,19,29,5,0,3.307706045001396,3.3084911449986976
3,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,40.0,42,-1200.0000000000146,-1360.0,159.99999999998545,False,True,False,2,33,0,0,0,0,0,0,31,2,0,3.1471283260034397,3.1478845269884914
4,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,40.0,43,-988.8000000000156,-1360.0,371.19999999998436,False,False,False,2,33,0,1,0,1,0,15,26,7,0,3.134861007987638,3.1360474079992855
5,35,all,131,201,1280,120.0,160.0,10.0,80.0,2.0,40.0,44,-1360.0000000000146,-1360.0,-1.4551915228366852e-11,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.370574269996723,3.3718049700109987
6,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,40.0,40,-1360.0,-1360.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.107355166997877,3.1080913670011796
7,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,40.0,41,-1166.3999999999996,-1360.0,193.60000000000036,False,False,False,1,34,0,1,0,1,0,23,31,3,0,3.2043531000090297,3.205564799995045
8,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,40.0,42,-1360.0,-1360.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.1392957600037334,3.140135460998863
9,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,40.0,43,-1211.2000000000007,-1360.0,148.79999999999927,False,False,False,1,34,0,1,0,1,0,1,32,2,0,3.126033889988321,3.12684468999214
10,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,40.0,44,-1360.0,-1360.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.2775382330000866,3.2783597329980694
11,35,all,131,201,1280,120.0,160.0,10.0,160.0,2.0,40.0,40,-1211.2000000000153,-1360.0,148.79999999998472,False,False,False,1,34,0,1,0,1,0,1,32,2,0,4.046408348993282,4.047500749002211
12,35,all,131,201,1280,120.0,160.0,10.0,160.0,2.0,40.0,41,-1211.2000000000153,-1360.0,148.79999999998472,False,False,False,1,34,0,1,0,1,0,1,32,2,0,3.7653001029975712,3.7661339030019008
13,35,all,131,201,1280,120.0,160.0,10.0,160.0,2.0,40.0,42,-1360.0000000000146,-1360.0,-1.4551915228366852e-11,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.1882339940057136,3.1892319939943263
14,35,all,131,201,1280,120.0,160.0,10.0,160.0,2.0,40.0,43,-1225.600000000015,-1360.0,134.39999999998508,False,False,False,1,34,0,1,0,1,0,10,33,1,0,3.588028624013532,3.5891980239975965
15,35,all,131,201,1280,120.0,160.0,10.0,160.0,2.0,40.0,44,-1137.600000000015,-1360.0,222.39999999998508,False,False,False,1,34,0,1,0,1,0,12,29,5,0,4.257585138999275,4.258765039005084
16,35,all,131,201,1280,120.0,200.0,10.0,80.0,2.0,40.0,40,-1214.4000000000142,-1360.0,145.5999999999858,False,True,False,2,33,0,0,0,0,0,0,32,1,0,3.625179743001354,3.626452443000744
17,35,all,131,201,1280,120.0,200.0,10.0,80.0,2.0,40.0,41,-1360.0000000000146,-1360.0,-1.4551915228366852e-11,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.376510670001153,3.3775667699956102
18,35,all,131,201,1280,120.0,200.0,10.0,80.0,2.0,40.0,42,-1360.0000000000146,-1360.0,-1.4551915228366852e-11,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.129147280997131,3.13099578100082
19,35,all,131,201,1280,120.0,200.0,10.0,80.0,2.0,40.0,43,-1211.2000000000153,-1360.0,148.79999999998472,False,True,False,2,33,0,0,0,0,0,0,31,2,0,3.140320600999985,3.141444100998342
20,35,all,131,201,1280,120.0,200.0,10.0,80.0,2.0,40.0,44,-1196.8000000000156,-1360.0,163.19999999998436,False,False,False,1,34,0,1,0,1,0,2,31,3,0,3.18383425900538,3.1846508590097073
21,35,all,131,201,1280,120.0,200.0,10.0,120.0,2.0,40.0,40,-875.2000000000007,-1360.0,484.7999999999993,False,False,False,1,34,0,1,0,1,0,18,19,15,0,3.141010699007893,3.1418127990036737
22,35,all,131,201,1280,120.0,200.0,10.0,120.0,2.0,40.0,41,-1192.0,-1360.0,168.0,False,False,False,1,34,0,1,0,1,0,3,32,2,0,3.158624821997364,3.159937621996505
23,35,all,131,201,1280,120.0,200.0,10.0,120.0,2.0,40.0,42,-1016.0,-1360.0,344.0,False,False,False,1,34,0,1,0,1,0,9,24,10,0,3.1452947950019734,3.1463832949957578
24,35,all,131,201,1280,120.0,200.0,10.0,120.0,2.0,40.0,43,-1012.8000000000011,-1360.0,347.1999999999989,False,False,False,1,34,0,1,0,1,0,13,23,11,0,3.1209170390065992,3.1217064389929874
25,35,all,131,201,1280,120.0,200.0,10.0,120.0,2.0,40.0,44,-1160.0,-1360.0,200.0,False,False,False,1,34,0,1,0,1,0,3,30,4,0,3.2656886330078123,3.2669495310110506
