case,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,isolate_penalty,path_break_penalty,path_count_cap_penalty,reward_gamma,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_path_cover,single_path_layout,path_count,selected_edge_count,source_constraint_violations,sink_constraint_violations,in_degree_violations,out_degree_violations,isolated_node_count,uncovered_node_count,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,35,all,131,201,1280,120.0,160.0,10.0,120.0,1.2,40.0,40,-1064.361043755449,-1360.0,295.6389562445511,False,False,False,1,34,0,1,0,1,0,10,20,14,0,5.518712072997005,5.519350973001565
2,35,all,131,201,1280,120.0,160.0,10.0,120.0,1.2,40.0,41,-1083.154483768887,-1360.0,276.8455162311129,False,False,False,1,34,0,1,0,1,0,8,22,12,0,3.2104467730096076,3.2112676730030216
3,35,all,131,201,1280,120.0,160.0,10.0,120.0,1.2,40.0,42,-1113.4415247698635,-1360.0,246.55847523013654,False,False,False,1,34,0,1,0,1,0,13,27,7,0,3.1098789690004196,3.110902370986878
4,35,all,131,201,1280,120.0,160.0,10.0,120.0,1.2,40.0,43,-1113.2187497867526,-1360.0,246.7812502132474,False,False,False,1,34,0,1,0,1,0,6,26,8,0,4.116177044008509,4.1169684439955745
5,35,all,131,201,1280,120.0,160.0,10.0,120.0,1.2,40.0,44,-1211.8098399798364,-1360.0,148.1901600201636,False,False,False,1,34,0,1,0,1,0,9,31,3,0,3.796732274000533,3.797563774001901
6,35,all,131,201,1280,120.0,160.0,10.0,120.0,1.5,40.0,40,-1050.6468562212012,-1360.0,309.35314377879877,False,False,False,1,34,0,1,0,1,0,11,24,10,0,3.2282898330013268,3.2290247329947306
7,35,all,131,201,1280,120.0,160.0,10.0,120.0,1.5,40.0,41,-1360.0000000000073,-1360.0,-7.275957614183426e-12,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.2358124290039996,3.236602528995718
8,35,all,131,201,1280,120.0,160.0,10.0,120.0,1.5,40.0,42,-1164.6059689605354,-1360.0,195.3940310394646,False,False,False,1,34,0,1,0,1,0,10,29,5,0,3.3374374359991634,3.339067635999527
9,35,all,131,201,1280,120.0,160.0,10.0,120.0,1.5,40.0,43,-1146.1035873610763,-1360.0,213.89641263892372,False,False,False,1,34,0,1,0,1,0,5,29,5,0,3.2263139330025297,3.227140833012527
10,35,all,131,201,1280,120.0,160.0,10.0,120.0,1.5,40.0,44,-1143.1962890223313,-1360.0,216.80371097766874,False,False,False,1,34,0,1,0,1,0,4,28,6,0,3.2474057340004947,3.2481690339918714
11,35,all,131,201,1280,120.0,160.0,10.0,120.0,1.8,40.0,40,-1360.0,-1360.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.2795878179895226,3.2805315180012258
12,35,all,131,201,1280,120.0,160.0,10.0,120.0,1.8,40.0,41,-1360.0,-1360.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.226861695002299,3.22847179499513
13,35,all,131,201,1280,120.0,160.0,10.0,120.0,1.8,40.0,42,-1200.3051176390072,-1360.0,159.69488236099278,False,False,False,1,34,0,1,0,1,0,3,31,3,0,3.281030992991873,3.28186599300534
14,35,all,131,201,1280,120.0,160.0,10.0,120.0,1.8,40.0,43,-1100.8090485331868,-1360.0,259.1909514668132,False,False,False,1,34,0,1,0,1,0,6,28,6,0,3.1522172879922437,3.152995087992167
15,35,all,131,201,1280,120.0,160.0,10.0,120.0,1.8,40.0,44,-1109.2162554866445,-1360.0,250.7837445133555,False,False,False,1,34,0,1,0,1,0,11,27,7,0,3.4046814949979307,3.4059966950007947
16,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.0,40.0,40,-1360.0,-1360.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.1576129449967993,3.158387244999176
