case,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,isolate_penalty,path_break_penalty,path_count_cap_penalty,reward_gamma,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_path_cover,single_path_layout,path_count,selected_edge_count,source_constraint_violations,sink_constraint_violations,in_degree_violations,out_degree_violations,isolated_node_count,uncovered_node_count,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.8,40.0,40,-1360.0,-1360.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,5.553315188008128,5.554036188012105
2,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.8,40.0,41,-1135.4736478307968,-1360.0,224.52635216920316,False,False,False,1,34,0,1,0,1,0,5,30,4,0,3.2081856800068635,3.209030879996135
3,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.8,40.0,42,-1105.288503513315,-1360.0,254.71149648668506,False,False,False,1,34,0,1,0,1,0,6,30,4,0,3.102478793996852,3.1032777939981315
4,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.8,40.0,43,-1360.0,-1360.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.0977206070092507,3.0984526069951244
5,35,all,131,201,1280,120.0,160.0,10.0,120.0,2.8,40.0,44,-1360.0,-1360.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.2344347329926677,3.2352992329979315
6,35,all,131,201,1280,120.0,160.0,10.0,120.0,3.0,40.0,40,-1360.0000000000146,-1360.0,-1.4551915228366852e-11,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.213703033005004,3.2145327330072178
7,35,all,131,201,1280,120.0,160.0,10.0,120.0,3.0,40.0,41,-1360.0000000000146,-1360.0,-1.4551915228366852e-11,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.1312246349989437,3.1329885349987308
8,35,all,131,201,1280,120.0,160.0,10.0,120.0,3.0,40.0,42,-1360.0000000000146,-1360.0,-1.4551915228366852e-11,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.3944614639913198,3.395952364007826
9,35,all,131,201,1280,120.0,160.0,10.0,120.0,3.0,40.0,43,-1360.0000000000146,-1360.0,-1.4551915228366852e-11,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.1361520599893993,3.1369966600032058
10,35,all,131,201,1280,120.0,160.0,10.0,120.0,3.0,40.0,44,-1360.0000000000146,-1360.0,-1.4551915228366852e-11,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.1316731620026985,3.1324543619994074
11,35,all,131,201,1280,120.0,160.0,10.0,120.0,3.2,40.0,40,-1359.9999999999927,-1360.0,7.275957614183426e-12,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.114585461997194,3.1155714619962964
12,35,all,131,201,1280,120.0,160.0,10.0,120.0,3.2,40.0,41,-1359.9999999999927,-1360.0,7.275957614183426e-12,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.1577840790123446,3.159093378999387
13,35,all,131,201,1280,120.0,160.0,10.0,120.0,3.2,40.0,42,-1187.3869862961983,-1360.0,172.6130137038017,False,False,False,1,34,0,1,0,1,0,2,32,2,0,3.1534174870030256,3.1541620869975304
14,35,all,131,201,1280,120.0,160.0,10.0,120.0,3.2,40.0,43,-1359.9999999999927,-1360.0,7.275957614183426e-12,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.2438138209981844,3.2446347209915984
15,35,all,131,201,1280,120.0,160.0,10.0,120.0,3.2,40.0,44,-1359.9999999999927,-1360.0,7.275957614183426e-12,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.198046928999247,3.1989190290041734
16,35,all,131,201,1280,120.0,160.0,10.0,120.0,3.5,40.0,40,-1360.0,-1360.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.2050311289931415,3.2067520290001994
17,35,all,131,201,1280,120.0,160.0,10.0,120.0,3.5,40.0,41,-1360.0,-1360.0,0.0,True,True,True,1,34,0,0,0,0,0,0,34,0,0,3.2076962279970758,3.209247727994807
