case,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,isolate_penalty,path_break_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_path_cover,single_path_layout,path_count,selected_edge_count,source_constraint_violations,sink_constraint_violations,in_degree_violations,out_degree_violations,isolated_node_count,uncovered_node_count,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,75,all,294,444,1555,60.0,120.0,10.0,20.0,40,-1112.0,-1470.0,358.0,False,True,False,4,71,0,0,0,0,0,0,34,37,0,5.6280473609986075,5.62917396100238
2,75,all,294,444,1555,60.0,120.0,10.0,20.0,41,-1076.0,-1470.0,394.0,False,True,False,4,71,0,0,0,0,0,0,31,40,0,3.11739348500123,3.118776784998772
3,75,all,294,444,1555,60.0,120.0,10.0,20.0,42,-1182.0,-1470.0,288.0,False,True,False,5,70,0,0,0,0,0,0,48,22,0,3.260546184999839,3.2622387849987717
4,75,all,294,444,1555,60.0,120.0,20.0,20.0,40,-1132.0,-1460.0,328.0,False,True,False,4,71,0,0,0,0,0,0,34,37,0,3.056893779001257,3.058301778997702
5,75,all,294,444,1555,60.0,120.0,20.0,20.0,41,-1156.0,-1460.0,304.0,False,True,False,2,73,0,0,0,0,0,0,32,41,0,3.1720666799992614,3.1734503799998492
6,75,all,294,444,1555,60.0,120.0,20.0,20.0,42,-1260.0,-1460.0,200.0,False,True,False,4,71,0,0,0,0,0,0,60,11,0,3.70854999400035,3.710201894002239
7,75,all,294,444,1555,60.0,120.0,40.0,20.0,40,-1132.0,-1440.0,308.0,False,False,False,2,73,0,1,0,1,0,17,41,32,0,8.602904129002127,8.604457629000535
8,75,all,294,444,1555,60.0,120.0,40.0,20.0,41,-1128.0,-1440.0,312.0,False,True,False,2,73,0,0,0,0,0,0,36,37,0,4.0764601020018745,4.078410901998723
9,75,all,294,444,1555,60.0,120.0,40.0,20.0,42,-1124.0,-1440.0,316.0,False,False,False,2,73,0,1,0,1,0,9,40,33,0,10.152157503001945,10.154413202999422
10,75,all,294,444,1555,80.0,120.0,10.0,20.0,40,-1154.0,-1470.0,316.0,False,True,False,5,70,0,0,0,0,0,0,38,32,0,5.87939987199934,5.881132771999546
11,75,all,294,444,1555,80.0,120.0,10.0,20.0,41,-1128.0,-1470.0,342.0,False,True,False,4,71,0,0,0,0,0,0,33,38,0,3.0281201479992887,3.0313869479978166
12,75,all,294,444,1555,80.0,120.0,10.0,20.0,42,-1086.0,-1470.0,384.0,False,True,False,5,70,0,0,0,0,0,0,30,40,0,2.974004433999653,2.9755064330020105
13,75,all,294,444,1555,80.0,120.0,20.0,20.0,40,-1012.0,-1460.0,448.0,False,True,False,5,70,0,0,0,0,0,0,28,42,0,3.2131384540007275,3.215414653001062
14,75,all,294,444,1555,80.0,120.0,20.0,20.0,41,-1096.0,-1460.0,364.0,False,True,False,5,70,0,0,0,0,0,0,36,34,0,3.1647472090007795,3.1663738089991966
15,75,all,294,444,1555,80.0,120.0,20.0,20.0,42,-1136.0,-1460.0,324.0,False,True,False,2,73,0,0,0,0,0,0,26,47,0,3.0372362859998248,3.039551785997901
16,75,all,294,444,1555,80.0,120.0,40.0,20.0,40,-1104.0,-1440.0,336.0,False,True,False,2,73,0,0,0,0,0,0,29,44,0,2.9691816470003687,2.970839346999128
17,75,all,294,444,1555,80.0,120.0,40.0,20.0,41,-1136.0,-1440.0,304.0,False,True,False,2,73,0,0,0,0,0,0,35,38,0,3.1727138300011575,3.1743675299985625
18,75,all,294,444,1555,80.0,120.0,40.0,20.0,42,-1100.0,-1440.0,340.0,False,True,False,2,73,0,0,0,0,0,0,32,41,0,2.9504773589978868,2.9522632589978457
19,75,all,294,444,1555,100.0,120.0,10.0,20.0,40,-1000.0,-1470.0,470.0,False,True,False,8,67,0,0,0,0,0,0,29,38,0,2.9738771629999974,2.9755756630001997
20,75,all,294,444,1555,100.0,120.0,10.0,20.0,41,-1086.0,-1470.0,384.0,False,True,False,5,70,0,0,0,0,0,0,32,38,0,2.9978722039995773,2.999751703999209
21,75,all,294,444,1555,100.0,120.0,10.0,20.0,42,-1030.0,-1470.0,440.0,False,True,False,7,68,0,0,0,0,0,0,25,43,0,2.9911661990008724,2.992792899000051
22,75,all,294,444,1555,100.0,120.0,20.0,20.0,40,-1008.0,-1460.0,452.0,False,True,False,5,70,0,0,0,0,0,0,28,42,0,2.959052295998845,2.9609054969987483
23,75,all,294,444,1555,100.0,120.0,20.0,20.0,41,-1128.0,-1460.0,332.0,False,True,False,3,72,0,0,0,0,0,0,33,39,0,3.1965397999993,3.198006400001759
24,75,all,294,444,1555,100.0,120.0,20.0,20.0,42,-1004.0,-1460.0,456.0,False,True,False,5,70,0,0,0,0,0,0,28,42,0,3.0723664830002235,3.0759133829997154
25,75,all,294,444,1555,100.0,120.0,40.0,20.0,40,-1092.0,-1440.0,348.0,False,True,False,2,73,0,0,0,0,0,0,33,40,0,3.202872058001958,3.204508057999192
26,75,all,294,444,1555,100.0,120.0,40.0,20.0,41,-1136.0,-1440.0,304.0,False,True,False,2,73,0,0,0,0,0,0,31,42,0,3.0196783219980716,3.021098321998579
27,75,all,294,444,1555,100.0,120.0,40.0,20.0,42,-972.0,-1440.0,468.0,False,True,False,5,70,0,0,0,0,0,0,34,36,0,3.2653285160013183,3.2667310159995395
