case,reads_used,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,isolate_penalty,path_break_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_path_cover,single_path_layout,path_count,selected_edge_count,source_constraint_violations,sink_constraint_violations,in_degree_violations,out_degree_violations,isolated_node_count,uncovered_node_count,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,35,131,201,685,120.0,160.0,30.0,20.0,40,-446.0,-650.0,204.0,False,True,False,3,32,0,0,0,0,0,0,20,12,0,12.713266695001948,12.71412929500002
2,35,131,201,685,120.0,160.0,30.0,20.0,42,-500.0,-650.0,150.0,False,True,False,2,33,0,0,0,0,0,0,20,13,0,9.876694395999948,9.877749996001512
3,35,131,201,685,120.0,160.0,40.0,20.0,40,-484.0,-640.0,156.0,False,True,False,2,33,0,0,0,0,0,0,16,17,0,10.091913095999189,10.092538696000702
4,35,131,201,685,120.0,160.0,40.0,20.0,42,-456.0,-640.0,184.0,False,True,False,2,33,0,0,0,0,0,0,16,17,0,10.195782683000289,10.196386583000276
5,35,131,201,685,120.0,160.0,60.0,20.0,40,-400.0,-620.0,220.0,False,True,False,3,32,0,0,0,0,0,0,22,10,0,10.022814195999672,10.023657195997657
6,35,131,201,685,120.0,160.0,60.0,20.0,42,-332.0,-620.0,288.0,False,True,False,3,32,0,0,0,0,0,0,15,17,0,9.913604449000559,9.914263648999622
7,35,131,201,685,120.0,200.0,30.0,20.0,40,-504.0,-650.0,146.0,False,True,False,2,33,0,0,0,0,0,0,19,14,0,11.084339490000275,11.084976289999759
8,35,131,201,685,120.0,200.0,30.0,20.0,42,-492.0,-650.0,158.0,False,True,False,2,33,0,0,0,0,0,0,18,15,0,10.732859490999545,10.733513390998269
9,35,131,201,685,120.0,200.0,40.0,20.0,40,-468.0,-640.0,172.0,False,True,False,2,33,0,0,0,0,0,0,17,16,0,10.107473119998758,10.108105020000949
10,35,131,201,685,120.0,200.0,40.0,20.0,42,-416.0,-640.0,224.0,False,True,False,3,32,0,0,0,0,0,0,20,12,0,10.626369702000375,10.626984701997571
11,35,131,201,685,120.0,200.0,60.0,20.0,40,-416.0,-620.0,204.0,False,True,False,2,33,0,0,0,0,0,0,13,20,0,10.759806877998926,10.760453677998157
12,35,131,201,685,120.0,200.0,60.0,20.0,42,-424.0,-620.0,196.0,False,True,False,2,33,0,0,0,0,0,0,19,14,0,10.751487659003033,10.752116958999977
13,35,131,201,685,160.0,160.0,30.0,20.0,40,-410.0,-650.0,240.0,False,True,False,3,32,0,0,0,0,0,0,13,19,0,14.800121211002988,14.800851710999268
14,35,131,201,685,160.0,160.0,30.0,20.0,42,-334.0,-650.0,316.0,False,True,False,5,30,0,0,0,0,0,0,13,17,0,16.126327003003098,16.126946903001226
15,35,131,201,685,160.0,160.0,40.0,20.0,40,-404.0,-640.0,236.0,False,True,False,3,32,0,0,0,0,0,0,12,20,0,12.678157628000918,12.679289928000799
16,35,131,201,685,160.0,160.0,40.0,20.0,42,-288.0,-640.0,352.0,False,True,False,4,31,0,0,0,0,0,0,8,23,0,10.333858068999689,10.334754969000642
17,35,131,201,685,160.0,160.0,60.0,20.0,40,-424.0,-620.0,196.0,False,True,False,2,33,0,0,0,0,0,0,12,21,0,10.113246150001942,10.113912849999906
18,35,131,201,685,160.0,160.0,60.0,20.0,42,-324.0,-620.0,296.0,False,True,False,3,32,0,0,0,0,0,0,13,19,0,11.213628685000003,11.214247384999908
19,35,131,201,685,160.0,200.0,30.0,20.0,40,-434.0,-650.0,216.0,False,True,False,3,32,0,0,0,0,0,0,13,19,0,10.529760918001557,10.53381681799874
20,35,131,201,685,160.0,200.0,30.0,20.0,42,-422.0,-650.0,228.0,False,True,False,3,32,0,0,0,0,0,0,13,19,0,10.415600615000585,10.416232215000491
21,35,131,201,685,160.0,200.0,40.0,20.0,40,-392.0,-640.0,248.0,False,True,False,3,32,0,0,0,0,0,0,18,14,0,12.794146896998427,12.794953197000723
22,35,131,201,685,160.0,200.0,40.0,20.0,42,-396.0,-640.0,244.0,False,True,False,3,32,0,0,0,0,0,0,19,13,0,16.39937178600303,16.400013885999215
23,35,131,201,685,160.0,200.0,60.0,20.0,40,-428.0,-620.0,192.0,False,True,False,2,33,0,0,0,0,0,0,18,15,0,17.798396738999145,17.79914633899898
24,35,131,201,685,160.0,200.0,60.0,20.0,42,-424.0,-620.0,196.0,False,True,False,2,33,0,0,0,0,0,0,16,17,0,11.753187468999386,11.75399036899762
25,35,131,201,685,200.0,160.0,30.0,20.0,40,-434.0,-650.0,216.0,False,True,False,3,32,0,0,0,0,0,0,13,19,0,11.219176687001891,11.219901986998593
26,35,131,201,685,200.0,160.0,30.0,20.0,42,-422.0,-650.0,228.0,False,True,False,3,32,0,0,0,0,0,0,14,18,0,10.267463137002778,10.268447137001203
27,35,131,201,685,200.0,160.0,40.0,20.0,40,-328.0,-640.0,312.0,False,True,False,4,31,0,0,0,0,0,0,10,21,0,10.537015307003458,10.53764720700201
28,35,131,201,685,200.0,160.0,40.0,20.0,42,-384.0,-640.0,256.0,False,True,False,3,32,0,0,0,0,0,0,14,18,0,10.352224465998006,10.353600766000454
29,35,131,201,685,200.0,160.0,60.0,20.0,40,-184.0,-620.0,436.0,False,True,False,4,31,0,0,0,0,0,0,5,26,0,11.469389899997623,11.470019299998967
30,35,131,201,685,200.0,160.0,60.0,20.0,42,-412.0,-620.0,208.0,False,True,False,2,33,0,0,0,0,0,0,14,19,0,10.23026816499987,10.230934865001473
