case,reads_used,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,isolate_penalty,path_break_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_path_cover,single_path_layout,path_count,selected_edge_count,source_constraint_violations,sink_constraint_violations,in_degree_violations,out_degree_violations,isolated_node_count,uncovered_node_count,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,35,131,201,685,60.0,120.0,40.0,20.0,40,-508.0,-640.0,132.0,False,False,False,2,33,0,1,0,1,0,21,30,3,0,12.412797338001837,12.413361337999959
2,35,131,201,685,60.0,120.0,40.0,20.0,42,-484.0,-640.0,156.0,False,True,False,2,33,0,0,0,0,0,0,23,10,0,9.951697479998984,9.952308480002102
3,35,131,201,685,60.0,120.0,80.0,20.0,40,-472.0,-600.0,128.0,False,False,False,0,34,1,1,0,1,0,35,24,10,0,9.899153777998436,9.89979277800012
4,35,131,201,685,60.0,120.0,80.0,20.0,42,-520.0,-600.0,80.0,False,False,False,0,34,1,1,0,1,0,35,27,7,0,10.038942299001064,10.039625698998861
5,35,131,201,685,60.0,120.0,120.0,20.0,40,-444.0,-560.0,116.0,False,False,False,0,34,1,1,0,1,0,35,15,19,0,10.176496282001608,10.177128882001853
6,35,131,201,685,60.0,120.0,120.0,20.0,42,-484.0,-560.0,76.0,False,False,False,0,34,1,1,0,1,0,35,23,11,0,10.17919418100064,10.179803281000204
7,35,131,201,685,80.0,120.0,40.0,20.0,40,-464.0,-640.0,176.0,False,True,False,2,33,0,0,0,0,0,0,13,20,0,11.346023108999361,11.346686709002825
8,35,131,201,685,80.0,120.0,40.0,20.0,42,-472.0,-640.0,168.0,False,True,False,2,33,0,0,0,0,0,0,14,19,0,10.554181665000215,10.55480036500012
9,35,131,201,685,80.0,120.0,80.0,20.0,40,-492.0,-600.0,108.0,False,False,False,0,34,1,1,0,1,0,35,28,6,0,10.587318158999551,10.588510359000793
10,35,131,201,685,80.0,120.0,80.0,20.0,42,-456.0,-600.0,144.0,False,False,False,1,34,0,1,0,1,0,10,26,8,0,9.968033809996996,9.970511510000506
11,35,131,201,685,80.0,120.0,120.0,20.0,40,-480.0,-560.0,80.0,False,False,False,0,34,1,1,0,1,0,35,28,6,0,10.080492638997384,10.081061038999906
12,35,131,201,685,80.0,120.0,120.0,20.0,42,-492.0,-560.0,68.0,False,False,False,0,34,1,1,0,1,0,35,28,6,0,10.272083787000156,10.272660686998279
13,35,131,201,685,100.0,120.0,40.0,20.0,40,-512.0,-640.0,128.0,False,True,False,2,33,0,0,0,0,0,0,21,12,0,11.161573850997229,11.162514350999118
14,35,131,201,685,100.0,120.0,40.0,20.0,42,-468.0,-640.0,172.0,False,True,False,2,33,0,0,0,0,0,0,16,17,0,10.155785775001277,10.156410374998813
15,35,131,201,685,100.0,120.0,80.0,20.0,40,-404.0,-600.0,196.0,False,False,False,1,34,0,1,0,1,0,14,15,19,0,16.017696456998237,16.018803356997523
16,35,131,201,685,100.0,120.0,80.0,20.0,42,-416.0,-600.0,184.0,False,False,False,1,34,0,1,0,1,0,10,18,16,0,10.120791154000472,10.122128953997162
17,35,131,201,685,100.0,120.0,120.0,20.0,40,-416.0,-560.0,144.0,False,False,False,0,34,1,1,0,1,0,35,23,11,0,10.257536249999248,10.258165049999661
18,35,131,201,685,100.0,120.0,120.0,20.0,42,-448.0,-560.0,112.0,False,False,False,0,34,1,1,0,1,0,35,29,5,0,10.485173216002295,10.486529615998734
