case,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,isolate_penalty,path_break_penalty,path_count_cap_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_path_cover,single_path_layout,path_count,selected_edge_count,source_constraint_violations,sink_constraint_violations,in_degree_violations,out_degree_violations,isolated_node_count,uncovered_node_count,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,35,all,131,201,685,100.0,120.0,10.0,40.0,20.0,42,-552.0,-720.0,168.0,False,True,False,3,32,0,0,0,0,0,0,27,5,0,5.73318712899345,5.733762329007732
2,35,all,131,201,685,100.0,120.0,10.0,40.0,20.0,44,-530.0,-720.0,190.0,False,True,False,2,33,0,0,0,0,0,0,13,20,0,3.187850107991835,3.1884970079991035
3,35,all,131,201,685,100.0,120.0,10.0,80.0,20.0,42,-544.0,-760.0,216.0,False,False,False,1,34,0,1,0,1,0,16,18,16,0,3.205807554011699,3.20683655400353
4,35,all,131,201,685,100.0,120.0,10.0,80.0,20.0,44,-608.0,-760.0,152.0,False,False,False,1,34,0,1,0,1,0,7,24,10,0,3.1321510169946123,3.133674217009684
5,35,all,131,201,685,120.0,120.0,10.0,40.0,20.0,42,-546.0,-720.0,174.0,False,True,False,2,33,0,0,0,0,0,0,16,17,0,3.1635427169967443,3.1642973170091864
6,35,all,131,201,685,120.0,120.0,10.0,40.0,20.0,44,-550.0,-720.0,170.0,False,True,False,2,33,0,0,0,0,0,0,18,15,0,3.1356755390006583,3.136381738993805
7,35,all,131,201,685,120.0,120.0,10.0,80.0,20.0,42,-550.0,-760.0,210.0,False,True,False,2,33,0,0,0,0,0,0,19,14,0,3.1402504809957463,3.1409131809923565
8,35,all,131,201,685,120.0,120.0,10.0,80.0,20.0,44,-554.0,-760.0,206.0,False,True,False,2,33,0,0,0,0,0,0,20,13,0,3.144345737004187,3.1450587370054564
9,35,all,131,201,685,160.0,120.0,10.0,40.0,20.0,42,-408.0,-720.0,312.0,False,True,False,3,32,0,0,0,0,0,0,9,23,0,3.1468052129930584,3.147426413008361
10,35,all,131,201,685,160.0,120.0,10.0,40.0,20.0,44,-378.0,-720.0,342.0,False,True,False,4,31,0,0,0,0,0,0,12,19,0,3.1163269039971055,3.1170951050007716
11,35,all,131,201,685,160.0,120.0,10.0,80.0,20.0,42,-554.0,-760.0,206.0,False,True,False,2,33,0,0,0,0,0,0,19,14,0,3.176893283991376,3.177567684004316
12,35,all,131,201,685,160.0,120.0,10.0,80.0,20.0,44,-538.0,-760.0,222.0,False,True,False,2,33,0,0,0,0,0,0,17,16,0,3.1805053269927157,3.1811259270034498
