case,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,isolate_penalty,path_break_penalty,path_count_cap_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_path_cover,single_path_layout,path_count,selected_edge_count,source_constraint_violations,sink_constraint_violations,in_degree_violations,out_degree_violations,isolated_node_count,uncovered_node_count,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,35,all,131,201,1280,80.0,120.0,5.0,40.0,20.0,40,-579.0,-680.0,101.0,False,True,False,2,33,0,0,0,0,0,0,18,15,0,10.342313162997016,10.342912662992603
2,35,all,131,201,1280,80.0,120.0,5.0,40.0,20.0,41,-583.0,-680.0,97.0,False,True,False,2,33,0,0,0,0,0,0,20,13,0,7.935061062002205,7.936260861999472
3,35,all,131,201,1280,80.0,120.0,5.0,40.0,20.0,42,-579.0,-680.0,101.0,False,True,False,2,33,0,0,0,0,0,0,21,12,0,7.929703914007405,7.9304791140020825
4,35,all,131,201,1280,80.0,120.0,5.0,40.0,20.0,43,-607.0,-680.0,73.0,False,True,False,2,33,0,0,0,0,0,0,22,11,0,8.263938350995886,8.264765650994377
5,35,all,131,201,1280,80.0,120.0,5.0,40.0,20.0,44,-543.0,-680.0,137.0,False,True,False,2,33,0,0,0,0,0,0,15,18,0,8.052010954008438,8.052763753992622
6,35,all,131,201,1280,80.0,120.0,5.0,40.0,20.0,45,-547.0,-680.0,133.0,False,True,False,2,33,0,0,0,0,0,0,19,14,0,8.044285894997302,8.045025794999674
7,35,all,131,201,1280,80.0,120.0,5.0,80.0,20.0,40,-535.0,-680.0,145.0,False,True,False,2,33,0,0,0,0,0,0,14,19,0,7.888684952995391,7.8895849530090345
8,35,all,131,201,1280,80.0,120.0,5.0,80.0,20.0,41,-539.0,-680.0,141.0,False,True,False,2,33,0,0,0,0,0,0,16,17,0,7.875440769988927,7.8762130700051785
9,35,all,131,201,1280,80.0,120.0,5.0,80.0,20.0,42,-543.0,-680.0,137.0,False,True,False,2,33,0,0,0,0,0,0,13,20,0,8.217564096004935,8.218380896010785
10,35,all,131,201,1280,80.0,120.0,5.0,80.0,20.0,43,-539.0,-680.0,141.0,False,True,False,2,33,0,0,0,0,0,0,15,18,0,7.925695616999292,7.9265768170007505
11,35,all,131,201,1280,80.0,120.0,5.0,80.0,20.0,44,-543.0,-680.0,137.0,False,True,False,2,33,0,0,0,0,0,0,14,19,0,8.01521866999974,8.016036670000176
12,35,all,131,201,1280,80.0,120.0,5.0,80.0,20.0,45,-571.0,-680.0,109.0,False,True,False,2,33,0,0,0,0,0,0,19,14,0,7.963018479000311,7.963770978996763
13,35,all,131,201,1280,80.0,120.0,10.0,40.0,20.0,40,-530.0,-680.0,150.0,False,True,False,2,33,0,0,0,0,0,0,14,19,0,7.936636838989216,7.937380838993704
14,35,all,131,201,1280,80.0,120.0,10.0,40.0,20.0,41,-590.0,-680.0,90.0,False,True,False,2,33,0,0,0,0,0,0,22,11,0,7.94916425399424,7.950060853996547
15,35,all,131,201,1280,80.0,120.0,10.0,40.0,20.0,42,-542.0,-680.0,138.0,False,False,False,2,33,0,1,0,1,0,14,28,5,0,8.070216476000496,8.070946275998722
16,35,all,131,201,1280,80.0,120.0,10.0,40.0,20.0,43,-554.0,-680.0,126.0,False,True,False,2,33,0,0,0,0,0,0,19,14,0,8.770027984006447,8.770933384003001
17,35,all,131,201,1280,80.0,120.0,10.0,40.0,20.0,44,-562.0,-680.0,118.0,False,True,False,2,33,0,0,0,0,0,0,21,12,0,8.663233277009567,8.66402737700264
18,35,all,131,201,1280,80.0,120.0,10.0,40.0,20.0,45,-542.0,-680.0,138.0,False,True,False,2,33,0,0,0,0,0,0,15,18,0,8.162692141995649,8.163439941999968
19,35,all,131,201,1280,80.0,120.0,10.0,80.0,20.0,40,-534.0,-680.0,146.0,False,True,False,2,33,0,0,0,0,0,0,17,16,0,8.11921631199948,8.119986612000503
20,35,all,131,201,1280,80.0,120.0,10.0,80.0,20.0,41,-582.0,-680.0,98.0,False,True,False,2,33,0,0,0,0,0,0,21,12,0,7.978249998006504,7.978983898006845
21,35,all,131,201,1280,80.0,120.0,10.0,80.0,20.0,42,-534.0,-680.0,146.0,False,True,False,2,33,0,0,0,0,0,0,15,18,0,8.089147250997485,8.089858250998077
22,35,all,131,201,1280,80.0,120.0,10.0,80.0,20.0,43,-558.0,-680.0,122.0,False,True,False,2,33,0,0,0,0,0,0,15,18,0,8.122460800994304,8.123154900997179
23,35,all,131,201,1280,80.0,120.0,10.0,80.0,20.0,44,-566.0,-680.0,114.0,False,True,False,2,33,0,0,0,0,0,0,21,12,0,8.102641356003005,8.103341955997166
24,35,all,131,201,1280,80.0,120.0,10.0,80.0,20.0,45,-578.0,-680.0,102.0,False,True,False,2,33,0,0,0,0,0,0,24,9,0,8.207029999000952,8.20784519900917
