case,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,isolate_penalty,path_break_penalty,path_count_cap_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_path_cover,single_path_layout,path_count,selected_edge_count,source_constraint_violations,sink_constraint_violations,in_degree_violations,out_degree_violations,isolated_node_count,uncovered_node_count,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,35,all,131,201,1280,80.0,120.0,5.0,40.0,20.0,42,-599.0,-680.0,81.0,False,True,False,2,33,0,0,0,0,0,0,24,9,0,5.652594894985668,5.653203294990817
2,35,all,131,201,1280,80.0,120.0,5.0,40.0,20.0,44,-571.0,-680.0,109.0,False,True,False,2,33,0,0,0,0,0,0,19,14,0,3.4661554640042596,3.466871764001553
3,35,all,131,201,1280,80.0,120.0,5.0,80.0,20.0,42,-571.0,-680.0,109.0,False,True,False,2,33,0,0,0,0,0,0,20,13,0,3.354698137001833,3.3555936369957635
4,35,all,131,201,1280,80.0,120.0,5.0,80.0,20.0,44,-583.0,-680.0,97.0,False,True,False,2,33,0,0,0,0,0,0,22,11,0,3.5241480260010576,3.524938626011135
5,35,all,131,201,1280,80.0,120.0,5.0,120.0,20.0,42,-595.0,-680.0,85.0,False,True,False,2,33,0,0,0,0,0,0,25,8,0,3.1888978269998915,3.1896482269949047
6,35,all,131,201,1280,80.0,120.0,5.0,120.0,20.0,44,-567.0,-680.0,113.0,False,True,False,2,33,0,0,0,0,0,0,19,14,0,3.876004739999189,3.8768347400036873
7,35,all,131,201,1280,80.0,120.0,10.0,40.0,20.0,42,-534.0,-680.0,146.0,False,True,False,2,33,0,0,0,0,0,0,14,19,0,3.2596379820024595,3.2607433819939615
8,35,all,131,201,1280,80.0,120.0,10.0,40.0,20.0,44,-618.0,-680.0,62.0,False,True,False,2,33,0,0,0,0,0,0,29,4,0,3.6696685679926304,3.6704262680141255
9,35,all,131,201,1280,80.0,120.0,10.0,80.0,20.0,42,-550.0,-680.0,130.0,False,True,False,2,33,0,0,0,0,0,0,20,13,0,3.187772309000138,3.188525909004966
10,35,all,131,201,1280,80.0,120.0,10.0,80.0,20.0,44,-538.0,-680.0,142.0,False,True,False,2,33,0,0,0,0,0,0,17,16,0,3.2014750149974134,3.202236315002665
11,35,all,131,201,1280,80.0,120.0,10.0,120.0,20.0,42,-546.0,-680.0,134.0,False,True,False,2,33,0,0,0,0,0,0,16,17,0,3.205812097003218,3.2066582970001036
12,35,all,131,201,1280,80.0,120.0,10.0,120.0,20.0,44,-546.0,-680.0,134.0,False,True,False,2,33,0,0,0,0,0,0,16,17,0,3.1783862529991893,3.1795289529982256
13,35,all,131,201,1280,80.0,120.0,20.0,40.0,20.0,42,-388.0,-680.0,292.0,False,False,False,2,33,0,2,0,2,0,5,18,15,0,3.262915357001475,3.2642088569991756
14,35,all,131,201,1280,80.0,120.0,20.0,40.0,20.0,44,-536.0,-680.0,144.0,False,True,False,2,33,0,0,0,0,0,0,18,15,0,3.7652843769901665,3.766711477001081
15,35,all,131,201,1280,80.0,120.0,20.0,80.0,20.0,42,-540.0,-680.0,140.0,False,True,False,2,33,0,0,0,0,0,0,18,15,0,3.7085358730109874,3.7092741730011767
16,35,all,131,201,1280,80.0,120.0,20.0,80.0,20.0,44,-540.0,-680.0,140.0,False,True,False,2,33,0,0,0,0,0,0,18,15,0,3.2677808470034506,3.2685430470010033
17,35,all,131,201,1280,80.0,120.0,20.0,120.0,20.0,42,-540.0,-680.0,140.0,False,True,False,2,33,0,0,0,0,0,0,18,15,0,3.5289365549979266,3.5297992550040362
18,35,all,131,201,1280,80.0,120.0,20.0,120.0,20.0,44,-528.0,-680.0,152.0,False,True,False,2,33,0,0,0,0,0,0,17,16,0,3.3688356460042996,3.369672246000846
