case,reads_used,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,isolate_penalty,path_break_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_path_cover,single_path_layout,path_count,selected_edge_count,source_constraint_violations,sink_constraint_violations,in_degree_violations,out_degree_violations,isolated_node_count,uncovered_node_count,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,35,131,201,685,80.0,120.0,5.0,20.0,40,-476.0,-675.0,199.0,False,True,False,4,31,0,0,0,0,0,0,12,19,0,3.7672009189991513,3.767825219001679
2,35,131,201,685,80.0,120.0,5.0,20.0,41,-525.0,-675.0,150.0,False,True,False,3,32,0,0,0,0,0,0,17,15,0,1.555096482999943,1.5559218829985184
3,35,131,201,685,80.0,120.0,5.0,20.0,42,-546.0,-675.0,129.0,False,True,False,2,33,0,0,0,0,0,0,15,18,0,1.2180283859997871,1.2186876859996119
4,35,131,201,685,80.0,120.0,10.0,20.0,40,-516.0,-670.0,154.0,False,True,False,4,31,0,0,0,0,0,0,21,10,0,1.2730014859989751,1.2736227860004874
5,35,131,201,685,80.0,120.0,10.0,20.0,41,-514.0,-670.0,156.0,False,True,False,3,32,0,0,0,0,0,0,19,13,0,1.0941500879998785,1.095618788000138
6,35,131,201,685,80.0,120.0,10.0,20.0,42,-512.0,-670.0,158.0,False,True,False,2,33,0,0,0,0,0,0,6,27,0,1.1245657879990176,1.1252193879990955
7,35,131,201,685,80.0,120.0,20.0,20.0,40,-516.0,-660.0,144.0,False,True,False,2,33,0,0,0,0,0,0,18,15,0,1.1183725869996124,1.1190013870000257
8,35,131,201,685,80.0,120.0,20.0,20.0,41,-508.0,-660.0,152.0,False,True,False,2,33,0,0,0,0,0,0,14,19,0,1.1989725159983209,1.1996229159994982
9,35,131,201,685,80.0,120.0,20.0,20.0,42,-528.0,-660.0,132.0,False,True,False,2,33,0,0,0,0,0,0,20,13,0,1.2490884159997222,1.249792016002175
10,35,131,201,685,80.0,120.0,40.0,20.0,40,-456.0,-640.0,184.0,False,True,False,2,33,0,0,0,0,0,0,13,20,0,1.1066492139980255,1.1073555139992095
11,35,131,201,685,80.0,120.0,40.0,20.0,41,-488.0,-640.0,152.0,False,True,False,2,33,0,0,0,0,0,0,20,13,0,1.155319514000439,1.1559885140013648
12,35,131,201,685,80.0,120.0,40.0,20.0,42,-476.0,-640.0,164.0,False,True,False,2,33,0,0,0,0,0,0,18,15,0,1.1807455149973975,1.1814965150006174
13,35,131,201,685,100.0,120.0,5.0,20.0,40,-496.0,-675.0,179.0,False,True,False,4,31,0,0,0,0,0,0,12,19,0,1.2592110160003358,1.2598636160000751
