case,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,isolate_penalty,path_break_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_path_cover,single_path_layout,path_count,selected_edge_count,source_constraint_violations,sink_constraint_violations,in_degree_violations,out_degree_violations,isolated_node_count,uncovered_node_count,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,35,all,217,287,1715,80.0,120.0,20.0,20.0,40,-431.698113207548,-660.0,228.30188679245202,False,True,False,4,31,0,0,0,0,0,0,16,15,0,6.997952200999862,6.9987501010000415
2,35,all,217,287,1715,80.0,120.0,20.0,20.0,41,-503.39622641509413,-660.0,156.60377358490587,False,True,False,3,32,0,0,0,0,0,0,18,14,0,4.643187370002124,4.6441839699982665
3,35,all,217,287,1715,80.0,120.0,20.0,20.0,42,-469.05660377358436,-660.0,190.94339622641564,False,True,False,3,32,0,0,0,0,0,0,12,20,0,4.619248647999484,4.620590747999813
4,35,all,217,287,1715,80.0,120.0,20.0,20.0,43,-553.9622641509432,-660.0,106.03773584905684,False,True,False,2,33,0,0,0,0,0,0,21,12,0,4.591991436998796,4.593083837000449
5,35,all,217,287,1715,80.0,120.0,20.0,20.0,44,-455.4716981132078,-660.0,204.52830188679218,False,True,False,4,31,0,0,0,0,0,0,18,13,0,4.665282937003212,4.666238837002311
6,49,all,315,413,2513,80.0,120.0,20.0,20.0,40,-698.8679245282874,-940.0,241.1320754717126,False,True,False,3,46,0,0,0,0,0,0,16,30,0,11.04991742600032,11.051356926000153
7,49,all,315,413,2513,80.0,120.0,20.0,20.0,41,-650.9433962263975,-940.0,289.05660377360255,False,True,False,4,45,0,0,0,0,0,0,17,28,0,12.536140549997072,12.537642549999873
8,49,all,315,413,2513,80.0,120.0,20.0,20.0,42,-690.9433962263993,-940.0,249.05660377360073,False,True,False,3,46,0,0,0,0,0,0,14,32,0,5.543791111998871,5.548491412999283
9,49,all,315,413,2513,80.0,120.0,20.0,20.0,43,-669.4339622641346,-940.0,270.5660377358654,False,True,False,4,45,0,0,0,0,0,0,12,33,0,5.531497164000029,5.533379764001438
10,49,all,315,413,2513,80.0,120.0,20.0,20.0,44,-706.7924528301737,-940.0,233.20754716982628,False,True,False,3,46,0,0,0,0,0,0,23,23,0,5.432927723999455,5.434609124000417
