case,reads_used,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,isolate_penalty,path_break_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_path_cover,single_path_layout,path_count,selected_edge_count,source_constraint_violations,sink_constraint_violations,in_degree_violations,out_degree_violations,isolated_node_count,uncovered_node_count,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,35,131,201,685,80.0,120.0,10.0,20.0,44,-486.0,-670.0,184.0,False,True,False,3,32,0,0,0,0,0,0,12,20,0,18.660443755001324,18.661046555000212
2,35,131,201,685,80.0,120.0,20.0,20.0,44,-612.0,-660.0,48.0,False,True,False,2,33,0,0,0,0,0,0,32,1,0,16.000666366999212,16.001369467001496
3,35,131,201,685,80.0,120.0,30.0,20.0,44,-486.0,-650.0,164.0,False,True,False,3,32,0,0,0,0,0,0,19,13,0,10.174305478998576,10.174978979001025
4,35,131,201,685,80.0,120.0,40.0,20.0,44,-476.0,-640.0,164.0,False,True,False,2,33,0,0,0,0,0,0,16,17,0,10.172133185998973,10.17277608600125
5,35,131,201,685,80.0,200.0,10.0,20.0,44,-532.0,-670.0,138.0,False,True,False,2,33,0,0,0,0,0,0,18,15,0,10.317491843001335,10.318096243001492
6,35,131,201,685,80.0,200.0,20.0,20.0,44,-464.0,-660.0,196.0,False,True,False,4,31,0,0,0,0,0,0,20,11,0,10.012620622001123,10.01331052200112
7,35,131,201,685,80.0,200.0,30.0,20.0,44,-488.0,-650.0,162.0,False,True,False,2,33,0,0,0,0,0,0,14,19,0,10.48278906500127,10.483440765001433
8,35,131,201,685,80.0,200.0,40.0,20.0,44,-524.0,-640.0,116.0,False,True,False,2,33,0,0,0,0,0,0,23,10,0,10.681093326002156,10.681744625999272
9,35,131,201,685,100.0,120.0,10.0,20.0,44,-546.0,-670.0,124.0,False,True,False,3,32,0,0,0,0,0,0,23,9,0,10.166634091998276,10.167302292000386
10,35,131,201,685,100.0,120.0,20.0,20.0,44,-520.0,-660.0,140.0,False,True,False,2,33,0,0,0,0,0,0,19,14,0,10.462630203001027,10.463605903001735
11,35,131,201,685,100.0,120.0,30.0,20.0,44,-504.0,-650.0,146.0,False,True,False,2,33,0,0,0,0,0,0,17,16,0,10.656265761001123,10.657010561000789
12,35,131,201,685,100.0,120.0,40.0,20.0,44,-500.0,-640.0,140.0,False,True,False,2,33,0,0,0,0,0,0,22,11,0,12.167404842999531,12.168054742996901
13,35,131,201,685,100.0,200.0,10.0,20.0,44,-522.0,-670.0,148.0,False,True,False,3,32,0,0,0,0,0,0,17,15,0,10.519691937999596,10.520299137999245
14,35,131,201,685,100.0,200.0,20.0,20.0,44,-496.0,-660.0,164.0,False,True,False,2,33,0,0,0,0,0,0,13,20,0,10.868825022000237,10.870275921999564
15,35,131,201,685,100.0,200.0,30.0,20.0,44,-410.0,-650.0,240.0,False,True,False,3,32,0,0,0,0,0,0,13,19,0,10.499986930000887,10.500668929998938
16,35,131,201,685,100.0,200.0,40.0,20.0,44,-512.0,-640.0,128.0,False,True,False,2,33,0,0,0,0,0,0,21,12,0,10.560486151000077,10.561129251000239
17,35,131,201,685,120.0,120.0,10.0,20.0,44,-546.0,-670.0,124.0,False,True,False,3,32,0,0,0,0,0,0,24,8,0,10.891629852001643,10.892269852000027
18,35,131,201,685,120.0,120.0,20.0,20.0,44,-468.0,-660.0,192.0,False,True,False,3,32,0,0,0,0,0,0,16,16,0,10.45950396400076,10.460186164000334
19,35,131,201,685,120.0,120.0,30.0,20.0,44,-496.0,-650.0,154.0,False,True,False,2,33,0,0,0,0,0,0,16,17,0,10.246408928000164,10.247082328001852
20,35,131,201,685,120.0,120.0,40.0,20.0,44,-508.0,-640.0,132.0,False,True,False,2,33,0,0,0,0,0,0,19,14,0,10.193326968998008,10.193954069000029
21,35,131,201,685,120.0,200.0,10.0,20.0,44,-454.0,-670.0,216.0,False,True,False,3,32,0,0,0,0,0,0,10,22,0,10.888502949001122,10.889157948997308
22,35,131,201,685,120.0,200.0,20.0,20.0,44,-452.0,-660.0,208.0,False,True,False,3,32,0,0,0,0,0,0,15,17,0,10.49097110099683,10.491601801000797
23,35,131,201,685,120.0,200.0,30.0,20.0,44,-438.0,-650.0,212.0,False,True,False,3,32,0,0,0,0,0,0,14,18,0,18.563339803000417,18.564137002998905
24,35,131,201,685,120.0,200.0,40.0,20.0,44,-476.0,-640.0,164.0,False,True,False,2,33,0,0,0,0,0,0,19,14,0,15.06538530599937,15.066007605997584
