case,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,isolate_penalty,path_break_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_path_cover,single_path_layout,path_count,selected_edge_count,source_constraint_violations,sink_constraint_violations,in_degree_violations,out_degree_violations,isolated_node_count,uncovered_node_count,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,49,all,315,413,2513,60.0,120.0,10.0,20.0,40,-700.5660377358508,-950.0,249.43396226414916,False,True,False,5,44,0,0,0,0,0,0,18,26,0,5.368488780997723,5.371201181002107
2,49,all,315,413,2513,60.0,120.0,10.0,20.0,41,-806.4150943396216,-950.0,143.58490566037835,False,True,False,2,47,0,0,0,0,0,0,20,27,0,2.889590032998967,2.8910655330000736
3,49,all,315,413,2513,60.0,120.0,10.0,20.0,42,-706.7924528301892,-950.0,243.20754716981082,False,True,False,4,45,0,0,0,0,0,0,18,27,0,2.7741962379986944,2.7758244379983807
4,49,all,315,413,2513,60.0,120.0,20.0,20.0,40,-730.5660377358499,-940.0,209.43396226415007,False,True,False,3,46,0,0,0,0,0,0,18,28,0,2.8005511490009667,2.8039923489996
5,49,all,315,413,2513,60.0,120.0,20.0,20.0,41,-675.0943396226412,-940.0,264.9056603773588,False,True,False,3,46,0,0,0,0,0,0,14,32,0,3.0705784519996087,3.072358451998298
6,49,all,315,413,2513,60.0,120.0,20.0,20.0,42,-680.3773584905666,-940.0,259.6226415094334,False,True,False,3,46,0,0,0,0,0,0,15,31,0,2.6917564360010147,2.6932044359964493
7,49,all,315,413,2513,60.0,120.0,40.0,20.0,40,-751.698113207548,-920.0,168.30188679245202,False,False,False,1,48,0,1,0,1,0,22,25,23,0,2.8838491329988756,2.885470032997546
8,49,all,315,413,2513,60.0,120.0,40.0,20.0,41,-749.0566037735844,-920.0,170.94339622641564,False,False,False,1,48,0,1,0,1,0,25,25,23,0,2.6762878310000815,2.6786899309990986
9,49,all,315,413,2513,60.0,120.0,40.0,20.0,42,-630.9433962264138,-920.0,289.0566037735862,False,False,False,1,48,0,2,0,2,0,26,23,25,0,2.7985969050023414,2.8010876050029765
10,49,all,315,413,2513,80.0,120.0,10.0,20.0,40,-646.0377358490423,-950.0,303.9622641509577,False,True,False,4,45,0,0,0,0,0,0,12,33,0,2.719768093997118,2.72121399399839
11,49,all,315,413,2513,80.0,120.0,10.0,20.0,41,-677.7358490565894,-950.0,272.26415094341064,False,True,False,4,45,0,0,0,0,0,0,14,31,0,2.8810332940010994,2.8825324940007704
12,49,all,315,413,2513,80.0,120.0,10.0,20.0,42,-659.2452830188522,-950.0,290.7547169811478,False,True,False,4,45,0,0,0,0,0,0,16,29,0,2.788161017000675,2.7897409170000174
13,49,all,315,413,2513,80.0,120.0,20.0,20.0,40,-690.9433962264011,-940.0,249.0566037735989,False,True,False,3,46,0,0,0,0,0,0,23,23,0,2.7231630200003565,2.7246585200009577
14,49,all,315,413,2513,80.0,120.0,20.0,20.0,41,-683.0188679245111,-940.0,256.98113207548886,False,True,False,3,46,0,0,0,0,0,0,16,30,0,2.906147322002653,2.9076683220009727
15,49,all,315,413,2513,80.0,120.0,20.0,20.0,42,-656.6037735848895,-940.0,283.3962264151105,False,True,False,3,46,0,0,0,0,0,0,17,29,0,2.7564817300008144,2.7581330299981346
16,49,all,315,413,2513,80.0,120.0,40.0,20.0,40,-657.3584905660246,-920.0,262.64150943397544,False,True,False,3,46,0,0,0,0,0,0,21,25,0,2.9211429320021125,2.9232376319996547
17,49,all,315,413,2513,80.0,120.0,40.0,20.0,41,-588.679245283005,-920.0,331.320754716995,False,True,False,3,46,0,0,0,0,0,0,14,32,0,2.7800703309985693,2.7827178309999
18,49,all,315,413,2513,80.0,120.0,40.0,20.0,42,-633.584905660362,-920.0,286.415094339638,False,True,False,3,46,0,0,0,0,0,0,17,29,0,3.002547639000113,3.0061383389984258
19,49,all,315,413,2513,100.0,120.0,10.0,20.0,40,-704.150943396211,-950.0,245.849056603789,False,True,False,4,45,0,0,0,0,0,0,20,25,0,2.7611680359987076,2.76300493600138
20,49,all,315,413,2513,100.0,120.0,10.0,20.0,41,-664.5283018867776,-950.0,285.4716981132224,False,True,False,4,45,0,0,0,0,0,0,17,28,0,2.803819738001039,2.805307738002739
21,49,all,315,413,2513,100.0,120.0,10.0,20.0,42,-693.584905660362,-950.0,256.415094339638,False,True,False,4,45,0,0,0,0,0,0,14,31,0,2.854525040002045,2.856039939997572
22,49,all,315,413,2513,100.0,120.0,20.0,20.0,40,-632.4528301886639,-940.0,307.54716981133606,False,True,False,4,45,0,0,0,0,0,0,12,33,0,2.911362740000186,2.912906239998847
23,49,all,315,413,2513,100.0,120.0,20.0,20.0,41,-616.6037735848913,-940.0,323.3962264151087,False,True,False,4,45,0,0,0,0,0,0,26,19,0,2.8255971379985567,2.8271476379995875
24,49,all,315,413,2513,100.0,120.0,20.0,20.0,42,-639.9999999999818,-940.0,300.0000000000182,False,True,False,5,44,0,0,0,0,0,0,21,23,0,2.829858637000143,2.8323079370020423
25,49,all,315,413,2513,100.0,120.0,40.0,20.0,40,-623.0188679245148,-920.0,296.9811320754852,False,True,False,3,46,0,0,0,0,0,0,15,31,0,2.77580513599969,2.7775740360011696
26,49,all,315,413,2513,100.0,120.0,40.0,20.0,41,-612.4528301886676,-920.0,307.5471698113324,False,True,False,3,46,0,0,0,0,0,0,20,26,0,2.8486168250019546,2.850068125000689
27,49,all,315,413,2513,100.0,120.0,40.0,20.0,42,-657.3584905660246,-920.0,262.64150943397544,False,True,False,3,46,0,0,0,0,0,0,22,24,0,2.7802612209998188,2.782022921001044
