case,model,reads_used,candidate_edges,qubo_variables,quadratic_terms,path_count_penalty,degree_penalty,isolate_penalty,path_break_penalty,path_count_cap_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_layout,selected_edge_count,selected_source_count,selected_sink_count,edge_count_violation,in_degree_violations,out_degree_violations,read_in_constraint_violations,read_out_constraint_violations,void_in_constraint_violation,void_out_constraint_violation,selected_adjacent_correct,selected_jump_correct,selected_wrong,adjacent_recall,build_sec,anneal_sec,total_sec
1,path_cover,100,395,595,7040,,80.0,120.0,0.0,120.0,20.0,40,-1536.0,-1980.0,444.0,False,False,99,1,3,0,0,2,,,,,56,43,0,0.5656565656565656,0.0031741000000238273,68.594559161,68.59821866099992
2,path_cover,100,395,595,7040,,80.0,120.0,10.0,120.0,20.0,40,-1536.0,-1980.0,444.0,False,False,99,1,3,0,0,2,,,,,56,43,0,0.5656565656565656,0.0031142000000272674,65.37558872800003,65.37912532799999
3,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,20.0,40,-1580.0,-1980.0,400.0,False,False,99,1,2,0,0,1,,,,,49,50,0,0.494949494949495,0.002721800000017538,66.50435829500009,66.50748749499996
4,path_cover,100,395,595,7040,,80.0,160.0,10.0,120.0,20.0,40,-1580.0,-1980.0,400.0,False,False,99,1,2,0,0,1,,,,,49,50,0,0.494949494949495,0.0074806999999736945,35.220642491000035,35.228546190999964
5,path_cover,100,395,595,7040,,120.0,120.0,0.0,120.0,20.0,40,-1528.0,-1980.0,452.0,False,False,99,1,2,0,0,1,,,,,50,49,0,0.5050505050505051,0.0036724000000276646,22.59401467500004,22.59808237499999
6,path_cover,100,395,595,7040,,120.0,120.0,10.0,120.0,20.0,40,-1528.0,-1980.0,452.0,False,False,99,1,2,0,0,1,,,,,50,49,0,0.5050505050505051,0.0027840000000196596,23.93226140999991,23.935431610000023
7,path_cover,100,395,595,7040,,120.0,160.0,0.0,120.0,20.0,40,-1516.0,-1980.0,464.0,False,False,99,1,2,0,0,1,,,,,48,51,0,0.48484848484848486,0.0034112000000732223,56.842444402999945,56.84628580299989
8,path_cover,100,395,595,7040,,120.0,160.0,10.0,120.0,20.0,40,-1516.0,-1980.0,464.0,False,False,99,1,2,0,0,1,,,,,48,51,0,0.48484848484848486,0.0034422999999605963,22.560223295000014,22.564071094999917
9,cycle,100,395,595,11890,,40.0,,,,20.0,40,-1684.0,-1980.0,296.0,False,False,100,1,1,,1,1,1,1,0,0,63,37,0,0.6363636363636364,0.00367099999994025,22.845017103999908,22.849011603999998
10,cycle,100,395,595,11890,,60.0,,,,20.0,40,-1564.0,-1980.0,416.0,False,False,100,1,1,,1,1,1,1,0,0,48,52,0,0.48484848484848486,0.003919900000028065,22.81791380499999,22.822159604999797
11,cycle,100,395,595,11890,,80.0,,,,20.0,40,-1540.0,-1980.0,440.0,False,False,101,1,1,,2,2,2,2,0,0,78,23,0,0.7878787878787878,0.0035551000000850763,22.75692277600001,22.760893776000103
12,cycle,100,395,595,11890,,100.0,,,,20.0,40,-1452.0,-1980.0,528.0,False,False,100,1,1,,1,1,1,1,0,0,53,47,0,0.5353535353535354,0.004147500000044602,22.840732835000154,22.845197735000056
13,cycle,100,395,595,11890,,120.0,,,,20.0,40,-1444.0,-1980.0,536.0,False,False,100,1,1,,1,1,1,1,0,0,54,46,0,0.5454545454545454,0.0037743999998838262,22.884934189999967,22.889026690000037
14,path_cover,100,395,595,7040,,80.0,120.0,0.0,120.0,20.0,41,-1572.0,-1980.0,408.0,False,False,99,1,2,0,0,1,,,,,53,46,0,0.5353535353535354,0.003978400000050897,23.063688234999972,23.06804933499984
15,path_cover,100,395,595,7040,,80.0,120.0,10.0,120.0,20.0,41,-1572.0,-1980.0,408.0,False,False,99,1,2,0,0,1,,,,,53,46,0,0.5353535353535354,0.004364099999975224,23.570957246999797,23.575720646999798
16,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,20.0,41,-1544.0,-1980.0,436.0,False,False,99,1,2,0,0,1,,,,,48,51,0,0.48484848484848486,0.0036097999998219166,22.278876962999902,22.282868862999976
17,path_cover,100,395,595,7040,,80.0,160.0,10.0,120.0,20.0,41,-1544.0,-1980.0,436.0,False,False,99,1,2,0,0,1,,,,,48,51,0,0.48484848484848486,0.0027357000001302367,23.06515112199986,23.068296321999924
18,path_cover,100,395,595,7040,,120.0,120.0,0.0,120.0,20.0,41,-1508.0,-1980.0,472.0,False,False,99,1,2,0,0,1,,,,,46,53,0,0.46464646464646464,0.0040845000000899745,22.845148318999918,22.849701318999905
19,path_cover,100,395,595,7040,,120.0,120.0,10.0,120.0,20.0,41,-1508.0,-1980.0,472.0,False,False,99,1,2,0,0,1,,,,,46,53,0,0.46464646464646464,0.002492500000016662,22.38526577300013,22.38813897299997
20,path_cover,100,395,595,7040,,120.0,160.0,0.0,120.0,20.0,41,-1516.0,-1980.0,464.0,False,False,99,1,2,0,0,1,,,,,46,53,0,0.46464646464646464,0.0037221000000045024,22.276046124999993,22.28014382499987
21,path_cover,100,395,595,7040,,120.0,160.0,10.0,120.0,20.0,41,-1516.0,-1980.0,464.0,False,False,99,1,2,0,0,1,,,,,46,53,0,0.46464646464646464,0.0034414000001561362,22.538587700000107,22.542468599999893
22,cycle,100,395,595,11890,,40.0,,,,20.0,41,-1620.0,-1980.0,360.0,False,False,100,1,1,,1,1,1,1,0,0,51,49,0,0.5151515151515151,0.003511299999900075,22.84197230399991,22.84579090400007
23,cycle,100,395,595,11890,,60.0,,,,20.0,41,-1660.0,-1980.0,320.0,False,False,100,1,1,,1,1,1,1,0,0,64,36,0,0.6464646464646465,0.0034939000001941167,22.4009661529999,22.404755753000018
24,cycle,100,395,595,11890,,80.0,,,,20.0,41,-1524.0,-1980.0,456.0,False,False,100,1,1,,1,1,1,1,0,0,57,43,0,0.5757575757575758,0.004828599999882499,22.563895915000103,22.569012215000157
25,cycle,100,395,595,11890,,100.0,,,,20.0,41,-1504.0,-1980.0,476.0,False,False,100,1,1,,1,1,1,1,0,0,53,47,0,0.5353535353535354,0.003430900000012116,22.364933972000017,22.36867487199993
