case,model,reads_used,candidate_edges,qubo_variables,quadratic_terms,path_count_penalty,degree_penalty,isolate_penalty,path_break_penalty,path_count_cap_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_layout,selected_edge_count,selected_source_count,selected_sink_count,edge_count_violation,in_degree_violations,out_degree_violations,read_in_constraint_violations,read_out_constraint_violations,void_in_constraint_violation,void_out_constraint_violation,selected_adjacent_correct,selected_jump_correct,selected_wrong,adjacent_recall,build_sec,anneal_sec,total_sec
1,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,42,-3793.600000000002,-3960.0,166.39999999999782,False,False,99,1,2,0,0,1,,,,,93,6,0,0.9393939393939394,0.0020331000000624044,22.271292656999776,22.273795656999937
2,cycle,100,395,595,11890,,40.0,,,,40.0,42,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,0.0036420999999791093,19.778521972000362,19.782554771999912
3,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,43,-3960.0,-3960.0,0.0,True,True,99,1,1,0,0,0,,,,,99,0,0,1.0,0.0030741000000489294,19.920952851000038,19.924464950999663
4,cycle,100,395,595,11890,,40.0,,,,40.0,43,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,0.0037453999998433574,19.84717978000026,19.851276479999797
5,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,44,-3960.0,-3960.0,0.0,True,True,99,1,1,0,0,0,,,,,99,0,0,1.0,0.002838299999893934,19.607538382000257,19.610808581999663
6,cycle,100,395,595,11890,,40.0,,,,40.0,44,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,0.023478699999941455,19.882007647000137,19.905829147000077
7,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,45,-3960.0,-3960.0,0.0,True,True,99,1,1,0,0,0,,,,,99,0,0,1.0,0.0029761999999209365,20.046103523000056,20.04952432300024
8,cycle,100,395,595,11890,,40.0,,,,40.0,45,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,0.004307900000185327,19.993498473999807,19.99815747399998
9,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,46,-3960.0,-3960.0,0.0,True,True,99,1,1,0,0,0,,,,,99,0,0,1.0,0.0026014999998551502,19.80576969599997,19.808808895999846
10,cycle,100,395,595,11890,,40.0,,,,40.0,46,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,0.0036696000001938955,19.908019685,19.912024884999937
11,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,47,-3960.0,-3960.0,0.0,True,True,99,1,1,0,0,0,,,,,99,0,0,1.0,0.0032384999999521824,19.490192661000037,19.493846160999965
12,cycle,100,395,595,11890,,40.0,,,,40.0,47,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,0.004166300000179035,19.757536654999967,19.762121354999636
13,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,48,-3960.0,-3960.0,0.0,True,True,99,1,1,0,0,0,,,,,99,0,0,1.0,0.002756399999725545,19.568034976000035,19.571240375999878
14,cycle,100,395,595,11890,,40.0,,,,40.0,48,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,0.004351099999894359,19.73686613200016,19.741550432000167
15,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,49,-3756.800000000003,-3960.0,203.1999999999971,False,False,99,1,3,0,0,2,,,,,96,3,0,0.9696969696969697,0.003328499999952328,19.796042482999837,19.79977858300026
16,cycle,100,395,595,11890,,40.0,,,,40.0,49,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,0.004008599999906437,22.182498518000102,22.18682121799975
