case,model,reads_used,candidate_edges,qubo_variables,quadratic_terms,path_count_penalty,degree_penalty,isolate_penalty,path_break_penalty,path_count_cap_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_layout,selected_edge_count,selected_source_count,selected_sink_count,edge_count_violation,in_degree_violations,out_degree_violations,read_in_constraint_violations,read_out_constraint_violations,void_in_constraint_violation,void_out_constraint_violation,selected_adjacent_correct,selected_jump_correct,selected_wrong,adjacent_recall,truth_forward_edges,truth_gap_edges,truth_backward_edges,main_path_nodes,main_path_edges,main_path_start_rank,main_path_end_rank,main_path_missing_reads,main_path_max_jump,full_dna_recoverable,prunable_extra_edges,build_sec,anneal_sec,total_sec
1,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,40,-3822.399999999994,-3960.0,137.60000000000582,False,False,99,1,2,0,0,1,,,,,95,4,0,0.9595959595959596,99,0,0,98,97,0,99,2,2,True,2,0.0020331000000020083,24.945776941,24.948279341000003
2,cycle,100,395,595,11890,,40.0,,,,40.0,40,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,99,0,0,100,99,0,99,0,1,True,0,0.0037384980000041423,21.991400590000005,21.995507087999997
3,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,41,-3960.0,-3960.0,0.0,True,True,99,1,1,0,0,0,,,,,99,0,0,1.0,99,0,0,100,99,0,99,0,1,True,0,0.004067499000001362,21.79278536999999,21.797282769000006
4,cycle,100,395,595,11890,,40.0,,,,40.0,41,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,99,0,0,100,99,0,99,0,1,True,0,0.003610900000012407,22.518823794,22.52374409400001
5,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,42,-3793.600000000002,-3960.0,166.39999999999782,False,False,99,1,2,0,0,1,,,,,93,6,0,0.9393939393939394,99,0,0,97,96,0,99,3,2,True,3,0.0033360999999985097,22.076562974999987,22.080303875000013
6,cycle,100,395,595,11890,,40.0,,,,40.0,42,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,99,0,0,100,99,0,99,0,1,True,0,0.022340099999979657,22.417496177000004,22.440222276999975
7,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,43,-3960.0,-3960.0,0.0,True,True,99,1,1,0,0,0,,,,,99,0,0,1.0,99,0,0,100,99,0,99,0,1,True,0,0.004218199999996841,22.378700737000003,22.38338633699999
8,cycle,100,395,595,11890,,40.0,,,,40.0,43,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,99,0,0,100,99,0,99,0,1,True,0,0.004673099000001457,22.37306004300001,22.378125842000003
9,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,44,-3960.0,-3960.0,0.0,True,True,99,1,1,0,0,0,,,,,99,0,0,1.0,99,0,0,100,99,0,99,0,1,True,0,0.0030511010000111582,22.09988951400001,22.103408314999996
10,cycle,100,395,595,11890,,40.0,,,,40.0,44,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,99,0,0,100,99,0,99,0,1,True,0,0.0035825000000215823,23.034226464,23.038137863999992
11,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,45,-3960.0,-3960.0,0.0,True,True,99,1,1,0,0,0,,,,,99,0,0,1.0,99,0,0,100,99,0,99,0,1,True,0,0.003032300000000987,22.067617874999996,22.071081075000023
12,cycle,100,395,595,11890,,40.0,,,,40.0,45,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,99,0,0,100,99,0,99,0,1,True,0,0.004177599999991344,22.27299800899999,22.277505609000002
13,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,46,-3960.0,-3960.0,0.0,True,True,99,1,1,0,0,0,,,,,99,0,0,1.0,99,0,0,100,99,0,99,0,1,True,0,0.002709999999979118,22.201667128999986,22.204854229000034
14,cycle,100,395,595,11890,,40.0,,,,40.0,46,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,99,0,0,100,99,0,99,0,1,True,0,0.005728500000032,22.508176833999983,22.514298234000023
15,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,47,-3960.0,-3960.0,0.0,True,True,99,1,1,0,0,0,,,,,99,0,0,1.0,99,0,0,100,99,0,99,0,1,True,0,0.003288499999996475,23.035411487000033,23.039121787
16,cycle,100,395,595,11890,,40.0,,,,40.0,47,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,99,0,0,100,99,0,99,0,1,True,0,0.003939100000025064,22.358208736999984,22.362483137000027
17,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,48,-3960.0,-3960.0,0.0,True,True,99,1,1,0,0,0,,,,,99,0,0,1.0,99,0,0,100,99,0,99,0,1,True,0,0.0027352999999834537,22.059845026999994,22.062982126999998
18,cycle,100,395,595,11890,,40.0,,,,40.0,48,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,99,0,0,100,99,0,99,0,1,True,0,0.004133800000033716,22.452029277999998,22.456489978000036
19,path_cover,100,395,595,7040,,80.0,160.0,0.0,120.0,40.0,49,-3756.800000000003,-3960.0,203.1999999999971,False,False,99,1,3,0,0,2,,,,,96,3,0,0.9696969696969697,99,0,0,98,97,0,99,2,2,True,2,0.004345999999998185,22.560834392000004,22.56557789200002
20,cycle,100,395,595,11890,,40.0,,,,40.0,49,-3960.0,-3960.0,0.0,True,True,99,1,1,,0,0,0,0,0,0,99,0,0,1.0,99,0,0,100,99,0,99,0,1,True,0,0.0036412999999697604,22.541659798000012,22.545637797999973
