case,model,reads_used,candidate_edges,qubo_variables,quadratic_terms,path_count_penalty,degree_penalty,isolate_penalty,path_break_penalty,path_count_cap_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_layout,selected_edge_count,selected_source_count,selected_sink_count,edge_count_violation,in_degree_violations,out_degree_violations,read_in_constraint_violations,read_out_constraint_violations,void_in_constraint_violation,void_out_constraint_violation,selected_adjacent_correct,selected_jump_correct,selected_wrong,adjacent_recall,build_sec,anneal_sec,total_sec
1,path_cover,70,275,415,3875,,80.0,120.0,0.0,120.0,40.0,40,-2651.2000000000007,-2760.0,108.79999999999927,False,False,69,1,2,0,0,1,,,,,67,2,0,0.9710144927536232,0.0011566000000584609,16.423629498999844,16.42509239900005
2,path_cover,70,275,415,3875,,80.0,120.0,10.0,120.0,40.0,40,-2651.2000000000007,-2760.0,108.79999999999927,False,False,69,1,2,0,0,1,,,,,67,2,0,0.9710144927536232,0.0027109000000109518,13.780364426000006,13.78335482600005
3,path_cover,70,275,415,3875,,80.0,160.0,0.0,120.0,40.0,40,-2651.2000000000007,-2760.0,108.79999999999927,False,False,69,1,2,0,0,1,,,,,67,2,0,0.9710144927536232,0.00167490000012549,13.918291455000144,13.920237954999948
4,path_cover,70,275,415,3875,,80.0,160.0,10.0,120.0,40.0,40,-2651.2000000000007,-2760.0,108.79999999999927,False,False,69,1,2,0,0,1,,,,,67,2,0,0.9710144927536232,0.0017015000000810687,13.732903979000184,13.734919879000017
5,path_cover,70,275,415,3875,,120.0,120.0,0.0,120.0,40.0,40,-2760.0,-2760.0,0.0,True,True,69,1,1,0,0,0,,,,,69,0,0,1.0,0.002256799999940995,13.643945371999962,13.64649687200017
6,path_cover,70,275,415,3875,,120.0,120.0,10.0,120.0,40.0,40,-2760.0,-2760.0,0.0,True,True,69,1,1,0,0,0,,,,,69,0,0,1.0,0.0017554000000927772,13.855388681000022,13.857409281000173
7,path_cover,70,275,415,3875,,120.0,160.0,0.0,120.0,40.0,40,-2760.0,-2760.0,0.0,True,True,69,1,1,0,0,0,,,,,69,0,0,1.0,0.001836199999843302,13.695119074000104,13.697228173999974
8,path_cover,70,275,415,3875,,120.0,160.0,10.0,120.0,40.0,40,-2760.0,-2760.0,0.0,True,True,69,1,1,0,0,0,,,,,69,0,0,1.0,0.0021535999999287014,13.968473983999957,13.970902184000124
9,cycle,70,275,415,6220,,40.0,,,,40.0,40,-2760.0,-2760.0,0.0,True,True,69,1,1,,0,0,0,0,0,0,69,0,0,1.0,0.0021366999999372638,14.013209426999993,14.015583626999842
10,cycle,70,275,415,6220,,60.0,,,,40.0,40,-2760.0,-2760.0,0.0,True,True,69,1,1,,0,0,0,0,0,0,69,0,0,1.0,0.003128500000002532,13.835592472999906,13.838942472999861
11,cycle,70,275,415,6220,,80.0,,,,40.0,40,-2571.2000000000007,-2760.0,188.79999999999927,False,False,70,1,1,,1,1,1,1,0,0,66,4,0,0.9565217391304348,0.003304399999933594,13.909884951999857,13.913389951999989
12,cycle,70,275,415,6220,,100.0,,,,40.0,40,-2404.7999999999993,-2760.0,355.2000000000007,False,False,70,1,1,,1,1,1,1,0,0,62,8,0,0.8985507246376812,0.002084899999999834,13.769874676999962,13.772157676999996
13,cycle,70,275,415,6220,,120.0,,,,40.0,40,-2331.2000000000007,-2760.0,428.7999999999993,False,False,70,1,1,,1,1,1,1,0,0,60,10,0,0.8695652173913043,0.00236840000002303,13.785520760999816,13.788091360999942
14,path_cover,70,275,415,3875,,80.0,120.0,0.0,120.0,40.0,41,-2760.0,-2760.0,0.0,True,True,69,1,1,0,0,0,,,,,69,0,0,1.0,0.0018710000001647131,13.74769551899999,13.749897119000025
