case,count_penalty,degree_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_edge_path,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,80.0,105.0,20.0,40,-528.0,-680.0,152.0,False,False,33,1,0,0,23,10,0,8.00869326599991,8.010245566000094
2,80.0,105.0,20.0,41,-556.0,-680.0,124.0,False,False,33,1,0,0,30,3,0,5.110233540999843,5.127817742000161
3,80.0,105.0,20.0,42,-680.0,-680.0,0.0,True,True,34,0,0,0,34,0,0,5.077635144000169,5.07965454400005
4,80.0,105.0,20.0,43,-680.0,-680.0,0.0,True,True,34,0,0,0,34,0,0,5.07061564300011,5.073414443000047
5,80.0,105.0,20.0,44,-576.0,-680.0,104.0,False,False,33,1,0,0,32,1,0,5.196900423999978,5.199606223999808
6,80.0,105.0,20.0,45,-508.0,-680.0,172.0,False,False,33,1,0,0,18,15,0,5.112544673999992,5.114594473999887
7,80.0,105.0,20.0,46,-520.0,-680.0,160.0,False,False,33,1,0,0,23,10,0,5.116331315000025,5.1189705149997735
8,80.0,105.0,20.0,47,-568.0,-680.0,112.0,False,False,33,1,0,0,31,2,0,5.180723628000123,5.198284629
9,80.0,105.0,20.0,48,-516.0,-680.0,164.0,False,False,33,1,0,0,23,10,0,5.117154692999975,5.119163393999997
10,80.0,105.0,20.0,49,-556.0,-680.0,124.0,False,False,33,1,0,0,30,3,0,5.023390049,5.0261288480000985
11,80.0,110.0,20.0,40,-520.0,-680.0,160.0,False,False,33,1,0,0,26,7,0,5.00937617600016,5.012068875000068
12,80.0,110.0,20.0,41,-572.0,-680.0,108.0,False,False,33,1,0,0,31,2,0,5.1064176930001395,5.108939692999911
13,80.0,110.0,20.0,42,-528.0,-680.0,152.0,False,False,33,1,0,0,24,9,0,5.1707097319999775,5.172775232000049
14,80.0,110.0,20.0,43,-508.0,-680.0,172.0,False,False,33,1,0,0,22,11,0,5.167289398000094,5.1851507989999845
15,80.0,110.0,20.0,44,-572.0,-680.0,108.0,False,False,33,1,0,0,31,2,0,5.111257341000055,5.114524641999878
16,80.0,110.0,20.0,45,-548.0,-680.0,132.0,False,False,33,1,0,0,27,6,0,5.088566722999985,5.091852023000001
17,80.0,110.0,20.0,46,-488.0,-680.0,192.0,False,False,33,1,0,0,19,14,0,5.0678296569999475,5.07037735699987
18,80.0,110.0,20.0,47,-524.0,-680.0,156.0,False,False,33,1,0,0,26,7,0,5.144673705000059,5.147345804999986
19,80.0,110.0,20.0,48,-560.0,-680.0,120.0,False,False,33,1,0,0,30,3,0,5.124299285000006,5.1264830860000075
20,80.0,110.0,20.0,49,-680.0,-680.0,0.0,True,True,34,0,0,0,34,0,0,5.046298248000085,5.064926749000051
21,80.0,115.0,20.0,40,-520.0,-680.0,160.0,False,False,33,1,0,0,24,9,0,5.050456711000152,5.052520410999932
22,80.0,115.0,20.0,41,-528.0,-680.0,152.0,False,False,33,1,0,0,24,9,0,5.031825320000053,5.033842120000145
23,80.0,115.0,20.0,42,-520.0,-680.0,160.0,False,False,33,1,0,0,22,11,0,5.060061114999826,5.062782316000039
24,80.0,115.0,20.0,43,-488.0,-680.0,192.0,False,False,33,1,0,0,17,16,0,5.021425055999998,5.024321456000052
25,80.0,115.0,20.0,44,-572.0,-680.0,108.0,False,False,33,1,0,0,31,2,0,5.23315856399995,5.235680664000029
26,80.0,115.0,20.0,45,-572.0,-680.0,108.0,False,False,33,1,0,0,31,2,0,5.113443914999834,5.1318280119999145
27,80.0,115.0,20.0,46,-528.0,-680.0,152.0,False,False,33,1,0,0,24,9,0,5.0818421540000145,5.084494554000003
28,80.0,115.0,20.0,47,-492.0,-680.0,188.0,False,False,33,1,0,0,22,11,0,5.166210852000177,5.169313551999949
29,80.0,115.0,20.0,48,-516.0,-680.0,164.0,False,False,33,1,0,0,22,11,0,5.215938648000019,5.21902954799998
30,80.0,115.0,20.0,49,-492.0,-680.0,188.0,False,False,33,1,0,0,21,12,0,5.14453054899991,5.147466948999863
31,80.0,120.0,20.0,40,-508.0,-680.0,172.0,False,False,33,1,0,0,22,11,0,5.0560877630000505,5.058278963000021
32,80.0,120.0,20.0,41,-520.0,-680.0,160.0,False,False,33,1,0,0,22,11,0,5.071834888999774,5.0909721860000445
