case,reads_used,qubo_variables,count_penalty,degree_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_edge_path,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,45,172,80.0,80.0,20.0,40,-744.0,-880.0,136.0,False,False,44,0,1,0,36,8,0,10.060750977999987,10.06330847800001
2,45,172,80.0,80.0,20.0,41,-692.0,-880.0,188.0,False,False,44,0,0,1,25,19,0,7.328437762999954,7.332601562999969
3,45,172,80.0,100.0,20.0,40,-880.0,-880.0,0.0,True,True,44,0,0,0,44,0,0,7.323048131000007,7.327161831000012
4,45,172,80.0,100.0,20.0,41,-880.0,-880.0,0.0,True,True,44,0,0,0,44,0,0,7.547043384999995,7.550229485000045
5,45,172,80.0,110.0,20.0,40,-648.0,-880.0,232.0,False,False,43,1,0,0,22,21,0,7.549290508000013,7.553240407999965
6,45,172,80.0,110.0,20.0,41,-708.0,-880.0,172.0,False,False,43,1,0,0,31,12,0,7.3570448020000185,7.361731201999987
7,45,172,80.0,120.0,20.0,40,-684.0,-880.0,196.0,False,False,43,1,0,0,25,18,0,7.379153852000002,7.382981452000024
8,45,172,80.0,120.0,20.0,41,-712.0,-880.0,168.0,False,False,43,1,0,0,34,9,0,7.558058913000025,7.562282512999957
9,45,172,80.0,140.0,20.0,40,-648.0,-880.0,232.0,False,False,43,1,0,0,23,20,0,9.68738182100003,9.691716620999955
10,45,172,80.0,140.0,20.0,41,-704.0,-880.0,176.0,False,False,43,1,0,0,32,11,0,7.527174295000009,7.530687795000006
11,45,172,100.0,80.0,20.0,40,-704.0,-880.0,176.0,False,False,44,0,1,0,31,13,0,7.539920205999977,7.543115506000049
12,45,172,100.0,80.0,20.0,41,-692.0,-880.0,188.0,False,False,44,0,0,1,27,17,0,7.3362832479999724,7.3395197479999865
13,45,172,100.0,100.0,20.0,40,-696.0,-880.0,184.0,False,False,44,0,0,1,33,11,0,7.438157515,7.441686714999946
14,45,172,100.0,100.0,20.0,41,-732.0,-880.0,148.0,False,False,44,0,1,0,35,9,0,7.9588673349999794,7.981450134999989
15,45,172,100.0,110.0,20.0,40,-718.0,-880.0,162.0,False,False,44,0,0,1,35,9,0,8.733614214,8.736844614000006
16,45,172,100.0,110.0,20.0,41,-706.0,-880.0,174.0,False,False,44,0,1,0,34,10,0,14.47806225200003,14.482604251999987
17,45,172,100.0,120.0,20.0,40,-756.0,-880.0,124.0,False,False,44,0,0,1,43,1,0,7.645105945999944,7.648366845999988
18,45,172,100.0,120.0,20.0,41,-880.0,-880.0,0.0,True,True,44,0,0,0,44,0,0,7.486719846000028,7.490157146000001
19,45,172,100.0,140.0,20.0,40,-668.0,-880.0,212.0,False,False,43,1,0,0,29,14,0,7.581510809000065,7.5867699089999405
20,45,172,100.0,140.0,20.0,41,-632.0,-880.0,248.0,False,False,43,1,0,0,24,19,0,7.468001086999948,7.471657187000005
21,45,172,120.0,80.0,20.0,40,-652.0,-880.0,228.0,False,False,44,0,0,1,21,23,0,7.512454056000024,7.516485854999928
22,45,172,120.0,80.0,20.0,41,-704.0,-880.0,176.0,False,False,44,0,1,0,26,18,0,7.450772709000034,7.454032508999944
23,45,172,120.0,100.0,20.0,40,-700.0,-880.0,180.0,False,False,44,0,0,1,28,16,0,7.477703779999956,7.481919579999953
24,45,172,120.0,100.0,20.0,41,-676.0,-880.0,204.0,False,False,44,0,1,0,28,16,0,7.539200975999961,7.5427328759999455
25,45,172,120.0,110.0,20.0,40,-690.0,-880.0,190.0,False,False,44,0,1,0,32,12,0,7.382923598999923,7.38633629900005
26,45,172,120.0,110.0,20.0,41,-618.0,-880.0,262.0,False,False,44,0,1,0,20,24,0,7.547545616999969,7.551403716999971
27,45,172,120.0,120.0,20.0,40,-684.0,-880.0,196.0,False,False,44,0,0,1,32,12,0,7.3869967099999485,7.390222910000034
28,45,172,120.0,120.0,20.0,41,-620.0,-880.0,260.0,False,False,44,0,1,0,22,22,0,7.480870107999976,7.4841406079999615
29,45,172,120.0,140.0,20.0,40,-880.0,-880.0,0.0,True,True,44,0,0,0,44,0,0,7.408870301000093,7.41319200099997
30,45,172,120.0,140.0,20.0,41,-880.0,-880.0,0.0,True,True,44,0,0,0,44,0,0,8.090122368000038,8.093808567999986
