case,reads_used,qubo_variables,count_penalty,degree_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_edge_path,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,70,275,60.0,80.0,20.0,40,-1292.0,-1380.0,88.0,False,False,68,1,0,0,66,2,0,15.026154144000003,15.039550941000016
2,70,275,60.0,80.0,20.0,41,-1380.0,-1380.0,0.0,True,True,69,0,0,0,69,0,0,12.287178820000008,12.294915127000024
3,70,275,60.0,100.0,20.0,40,-1100.0,-1380.0,280.0,False,False,68,1,0,0,37,31,0,12.848295457000006,12.857220558999984
4,70,275,60.0,100.0,20.0,41,-1100.0,-1380.0,280.0,False,False,68,1,0,0,37,31,0,16.05093170799995,16.05978501300001
5,70,275,60.0,120.0,20.0,40,-972.0,-1380.0,408.0,False,False,68,1,0,1,38,30,0,14.042435151999996,14.051389453000013
6,70,275,60.0,120.0,20.0,41,-1076.0,-1380.0,304.0,False,False,68,1,0,0,36,32,0,14.124175703999981,14.133752803999982
7,70,275,60.0,140.0,20.0,40,-1072.0,-1380.0,308.0,False,False,68,1,0,0,30,38,0,12.53532033800002,12.543423638000036
8,70,275,60.0,140.0,20.0,41,-1060.0,-1380.0,320.0,False,False,68,1,0,0,32,36,0,12.423443647,12.433550246000038
9,70,275,80.0,80.0,20.0,40,-1048.0,-1380.0,332.0,False,False,69,0,2,0,39,30,0,12.643469433000007,12.651700132999963
10,70,275,80.0,80.0,20.0,41,-1072.0,-1380.0,308.0,False,False,69,0,0,2,45,24,0,12.570382134999988,12.579109535000043
11,70,275,80.0,100.0,20.0,40,-1196.0,-1380.0,184.0,False,False,68,1,0,0,55,13,0,12.309861964999982,12.317478165000011
12,70,275,80.0,100.0,20.0,41,-1148.0,-1380.0,232.0,False,False,68,1,0,0,49,19,0,12.407045482000001,12.418003683999984
13,70,275,80.0,120.0,20.0,40,-1096.0,-1380.0,284.0,False,False,68,1,0,0,45,23,0,12.433555044999991,12.442656844999988
14,70,275,80.0,120.0,20.0,41,-1092.0,-1380.0,288.0,False,False,68,1,0,0,38,30,0,12.485490673999948,12.493908873999999
15,70,275,80.0,140.0,20.0,40,-984.0,-1380.0,396.0,False,False,68,1,0,1,42,26,0,12.32850511700002,12.337940817000003
16,70,275,80.0,140.0,20.0,41,-1020.0,-1380.0,360.0,False,False,68,1,0,0,26,42,0,12.545979103999969,12.554610104000005
17,70,275,100.0,80.0,20.0,40,-1088.0,-1380.0,292.0,False,False,69,0,0,1,35,34,0,12.411915101000034,12.419949401999986
18,70,275,100.0,80.0,20.0,41,-1080.0,-1380.0,300.0,False,False,69,0,0,1,39,30,0,12.722170867999978,12.731711867000001
19,70,275,100.0,100.0,20.0,40,-1080.0,-1380.0,300.0,False,False,69,0,1,0,40,29,0,14.170814259999986,14.180336060000002
20,70,275,100.0,100.0,20.0,41,-1088.0,-1380.0,292.0,False,False,69,0,0,1,42,27,0,12.637159397000005,12.647048797000025
21,70,275,100.0,120.0,20.0,40,-1204.0,-1380.0,176.0,False,False,68,1,0,0,62,6,0,12.942501722999964,12.951603523000017
22,70,275,100.0,120.0,20.0,41,-1176.0,-1380.0,204.0,False,False,68,1,0,0,55,13,0,12.351571960000001,12.360188660000063
23,70,275,100.0,140.0,20.0,40,-1044.0,-1380.0,336.0,False,False,68,1,0,0,33,35,0,12.298312219999957,12.307809020000036
24,70,275,100.0,140.0,20.0,41,-1032.0,-1380.0,348.0,False,False,68,1,0,0,34,34,0,12.54102723199992,12.549233831999913
25,70,275,120.0,80.0,20.0,40,-1072.0,-1380.0,308.0,False,False,69,0,1,1,44,25,0,13.175573248000092,13.18340944800002
26,70,275,120.0,80.0,20.0,41,-1052.0,-1380.0,328.0,False,False,69,0,1,1,44,25,0,12.598290567999925,12.606955868
27,70,275,120.0,100.0,20.0,40,-1024.0,-1380.0,356.0,False,False,69,0,0,1,30,39,0,12.601247437999973,12.609359538000035
28,70,275,120.0,100.0,20.0,41,-1040.0,-1380.0,340.0,False,False,69,0,1,0,31,38,0,12.665775552000014,12.674679051999988
29,70,275,120.0,120.0,20.0,40,-1032.0,-1380.0,348.0,False,False,69,0,0,1,33,36,0,12.538931788000014,12.546872387999997
30,70,275,120.0,120.0,20.0,41,-1028.0,-1380.0,352.0,False,False,69,0,1,0,38,31,0,12.503063040000029,12.510795440000038
31,70,275,120.0,140.0,20.0,40,-1136.0,-1380.0,244.0,False,False,69,0,1,0,50,19,0,12.348209150999992,12.358237851000013
32,70,275,120.0,140.0,20.0,41,-1140.0,-1380.0,240.0,False,False,69,0,1,0,53,16,0,12.65560149700002,12.664954096999963
