case,reads_used,qubo_variables,count_penalty,degree_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_edge_path,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,49,315,100.0,110.0,20.0,42,-786.6037735855789,-960.0,173.3962264144211,False,False,48,0,1,0,35,13,0,15.597819485999935,15.611580086000686
2,49,315,100.0,110.0,20.0,43,-778.6792452835944,-960.0,181.32075471640565,False,False,48,0,0,1,30,18,0,13.446780726000725,13.457189726001161
3,49,315,100.0,110.0,20.0,44,-773.3962264155853,-960.0,186.60377358441474,False,False,48,0,0,1,31,17,0,13.158160625000164,13.168732924999858
4,49,315,100.0,120.0,20.0,42,-816.2264150950359,-960.0,143.77358490496408,False,False,48,0,1,0,42,6,0,13.114619226000286,13.127486225999746
5,49,315,100.0,120.0,20.0,43,-832.0754716987722,-960.0,127.92452830122784,False,False,47,1,0,0,44,3,0,13.543708375000278,13.555138375000752
6,49,315,100.0,120.0,20.0,44,-821.5094339629868,-960.0,138.4905660370132,False,False,47,1,0,0,44,3,0,13.307526743999915,13.317855244000384
7,49,315,100.0,130.0,20.0,42,-643.9622641516034,-960.0,316.03773584839655,False,False,47,1,0,1,37,10,0,13.05401339799937,13.064299497998945
8,49,315,100.0,130.0,20.0,43,-739.6226415100391,-960.0,220.3773584899609,False,False,47,1,0,0,30,17,0,14.66435298900069,14.674650289000056
9,49,315,100.0,130.0,20.0,44,-729.0566037741955,-960.0,230.94339622580446,False,False,47,1,0,0,24,23,0,13.019711148999704,13.030675649000841
10,49,315,100.0,140.0,20.0,42,-607.5471698119072,-960.0,352.4528301880928,False,False,47,1,0,1,28,19,0,13.299876300001415,13.311553200001072
11,49,315,100.0,140.0,20.0,43,-752.8301886798581,-960.0,207.1698113201419,False,False,47,1,0,0,26,21,0,13.48383370600095,13.495669006000753
