case,reads_used,qubo_variables,count_penalty,degree_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_edge_path,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,50,405,140.0,160.0,20.0,40,-794.5454545472749,-980.0,185.45454545272514,False,False,48,1,0,0,41,7,0,24.420362880999164,24.43426638100027
2,50,405,140.0,160.0,20.0,41,-780.0000000018626,-980.0,199.99999999813735,False,False,49,0,1,0,39,10,0,17.044984124999246,17.081742124999437
3,50,405,140.0,160.0,20.0,42,-980.0000000018626,-980.0,-1.862645149230957e-09,True,True,49,0,0,0,49,0,0,17.468021919999956,17.502844819999154
4,50,405,140.0,160.0,20.0,43,-801.8181818200974,-980.0,178.18181817990262,False,False,48,1,0,0,41,7,0,17.360192972000732,17.395841570998527
5,50,405,140.0,160.0,20.0,44,-783.6363636383321,-980.0,196.3636363616679,False,False,48,1,0,0,38,10,0,18.75174571000025,18.786024310000357
6,50,405,140.0,160.0,20.0,45,-980.0000000018626,-980.0,-1.862645149230957e-09,True,True,49,0,0,0,49,0,0,17.577998034999837,17.612684834000902
7,50,405,140.0,160.0,20.0,46,-787.2727272745688,-980.0,192.72727272543125,False,False,48,1,0,0,40,8,0,17.60533895200024,17.64041115299915
8,50,405,140.0,160.0,20.0,47,-814.5454545472749,-980.0,165.45454545272514,False,False,49,0,1,0,47,2,0,17.515864326000155,17.550378826999804
9,50,405,140.0,160.0,20.0,48,-781.8181818200974,-980.0,198.18181817990262,False,False,48,1,0,0,36,12,0,17.653015650999805,17.688753151000128
10,50,405,140.0,160.0,20.0,49,-801.818181819981,-980.0,178.18181818001904,False,False,48,1,0,0,45,3,0,17.208632199999556,17.24372890000086
