case,reads_used,qubo_variables,count_penalty,degree_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_edge_path,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,69,577,185.0,205.0,20.0,42,-1095.0000000037253,-1360.0,264.9999999962747,False,False,68,0,1,0,55,13,0,29.467296847000398,29.496451647000868
2,69,577,185.0,205.0,20.0,43,-1095.0000000039581,-1360.0,264.9999999960419,False,False,68,0,0,1,53,15,0,26.17494706099933,26.22053446099926
3,69,577,185.0,205.0,20.0,44,-1078.6363636401948,-1360.0,281.36363635980524,False,False,67,1,0,0,45,22,0,27.269932450999477,27.327919950999785
4,69,577,185.0,210.0,20.0,42,-1073.181818185607,-1360.0,286.81818181439303,False,False,67,1,0,0,40,27,0,30.99095012900034,31.03279792899957
5,69,577,185.0,210.0,20.0,43,-821.3636363677215,-1360.0,538.6363636322785,False,False,67,1,0,1,34,33,0,26.26234625899997,26.30105305899997
6,69,577,185.0,210.0,20.0,44,-846.8181818223093,-1360.0,513.1818181776907,False,False,67,1,0,1,41,26,0,26.181667699998798,26.217225599999438
7,69,577,185.0,215.0,20.0,42,-1080.4545454587787,-1360.0,279.54545454122126,False,False,67,1,0,0,45,22,0,26.405682526999954,26.459136426999976
8,69,577,185.0,215.0,20.0,43,-1042.272727276897,-1360.0,317.72727272310294,False,False,67,1,0,0,31,36,0,26.2820821410005,26.316944741998668
9,69,577,185.0,215.0,20.0,44,-825.4545454587787,-1360.0,534.5454545412213,False,False,67,1,0,1,36,31,0,27.76653652099958,27.82238522100124
10,69,577,190.0,205.0,20.0,42,-1071.3636363677215,-1360.0,288.6363636322785,False,False,68,0,1,0,47,21,0,26.9250414750004,26.966691076000643
11,69,577,190.0,205.0,20.0,43,-1078.636363639962,-1360.0,281.3636363600381,False,False,68,0,1,0,47,21,0,33.4115473339989,33.465883934000885
12,69,577,190.0,205.0,20.0,44,-1058.6363636408933,-1360.0,301.36363635910675,False,False,68,0,0,1,36,32,0,26.581535070001337,26.61908946999938
13,69,577,190.0,210.0,20.0,42,-1082.727272731252,-1360.0,277.272727268748,False,False,68,0,1,0,49,19,0,26.72057814999971,26.77468244999909
14,69,577,190.0,210.0,20.0,43,-1082.7272727310192,-1360.0,277.2727272689808,False,False,67,1,0,0,50,17,0,26.082594453000638,26.117992354000307
15,69,577,190.0,210.0,20.0,44,-1060.9090909133665,-1360.0,299.0909090866335,False,False,67,1,0,0,39,28,0,27.150871601999825,27.186870303001342
16,69,577,190.0,215.0,20.0,42,-1060.9090909131337,-1360.0,299.0909090868663,False,False,67,1,0,0,43,24,0,26.26665808299913,26.323859682999682
17,69,577,190.0,215.0,20.0,43,-856.8181818223093,-1360.0,503.18181817769073,False,False,67,1,0,1,45,22,0,26.559179485999266,26.595415585999945
18,69,577,190.0,215.0,20.0,44,-824.0909090952482,-1360.0,535.9090909047518,False,False,67,1,1,0,31,36,0,27.21291023900085,27.248265838001316
19,69,577,195.0,205.0,20.0,42,-837.2727272768971,-1360.0,522.7272727231029,False,False,68,0,1,1,36,32,0,26.678866722999373,26.730446423000103
20,69,577,195.0,205.0,20.0,43,-1089.5454545496032,-1360.0,270.45454545039684,False,False,68,0,0,1,48,20,0,27.032395890999396,27.068947691001085
21,69,577,195.0,205.0,20.0,44,-839.0909090947825,-1360.0,520.9090909052175,False,False,68,0,1,1,45,23,0,30.53268545699939,30.58888405700054
22,69,577,195.0,210.0,20.0,42,-1057.272727276897,-1360.0,302.72727272310294,False,False,68,0,0,1,39,29,0,27.702249452000615,27.74514495100084
23,69,577,195.0,210.0,20.0,43,-814.5454545493703,-1360.0,545.4545454506297,False,False,68,0,2,0,36,32,0,26.121245696000187,26.180102596001234
24,69,577,195.0,210.0,20.0,44,-1068.1818181858398,-1360.0,291.8181818141602,False,False,68,0,0,1,42,26,0,27.19547833300021,27.232930132999172
25,69,577,195.0,215.0,20.0,42,-835.4545454587787,-1360.0,524.5454545412213,False,False,67,1,0,1,47,20,0,26.450176800999543,26.486997599999086
26,69,577,195.0,215.0,20.0,43,-857.2727272764314,-1360.0,502.7272727235686,False,False,68,0,1,1,47,21,0,26.001908911999635,26.05335701199874
27,69,577,195.0,215.0,20.0,44,-1052.27272727713,-1360.0,307.7272727228701,False,False,67,1,0,0,38,29,0,26.857753662001414,26.892560362999575
