case,reads_used,qubo_variables,count_penalty,degree_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_edge_path,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,50,405,100.0,120.0,20.0,40,-852.7272727282252,-980.0,127.27272727177478,False,False,48,1,0,0,44,4,0,20.31436060499982,20.328157204998206
2,50,405,100.0,120.0,20.0,41,-830.9090909100487,-980.0,149.0909090899513,False,False,48,1,0,0,36,12,0,18.657263794000755,18.69789999400018
3,50,405,100.0,120.0,20.0,42,-823.6363636374008,-980.0,156.3636363625992,False,False,49,0,1,0,39,10,0,18.086260768999637,18.122497869000654
4,50,405,100.0,120.0,20.0,43,-818.181818182813,-980.0,161.818181817187,False,False,49,0,1,0,36,13,0,17.25757142799921,17.294255229000555
5,50,405,100.0,120.0,20.0,44,-814.5454545465182,-980.0,165.45454545348184,False,False,49,0,1,0,33,16,0,17.534282627999346,17.5716037279999
6,69,577,100.0,120.0,20.0,40,-1152.7272727281088,-1360.0,207.2727272718912,False,False,68,0,1,0,45,23,0,26.946125679000033,27.006081179999455
7,69,577,100.0,120.0,20.0,41,-1014.5454545459943,-1360.0,345.4545454540057,False,False,67,1,0,1,38,29,0,27.285257569999885,27.322099469998648
8,69,577,100.0,120.0,20.0,42,-1170.9090909099905,-1360.0,189.09090909000952,False,False,67,1,0,0,45,22,0,27.025316111999928,27.07930171099906
9,69,577,100.0,120.0,20.0,43,-1183.6363636372844,-1360.0,176.36363636271562,False,False,67,1,0,0,55,12,0,26.904381758000454,26.940665357999023
10,69,577,100.0,120.0,20.0,44,-1167.2727272732882,-1360.0,192.72727272671182,False,False,67,1,0,0,46,21,0,26.909093569000106,26.96227196900145
