case,reads_used,qubo_variables,count_penalty,degree_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_edge_path,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,8,22,60.0,80.0,20.0,40,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,4.494067367000753,4.494269367000015
2,8,22,60.0,80.0,20.0,41,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1540625449997606,1.1542548449997412
3,8,22,60.0,80.0,20.0,42,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1661268469997594,1.1663953469997068
4,8,22,60.0,80.0,20.0,43,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1873199430010573,1.1876452430005884
5,8,22,60.0,80.0,20.0,44,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1228652190002322,1.1230781189988193
6,8,22,60.0,100.0,20.0,40,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1196965180006373,1.119914417999098
7,8,22,60.0,100.0,20.0,41,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1701454239992017,1.1703340240001125
8,8,22,60.0,100.0,20.0,42,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1309036189995822,1.1311205199999677
9,8,22,60.0,100.0,20.0,43,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1220283190014015,1.122229819000495
10,8,22,60.0,100.0,20.0,44,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.3249155400008021,1.325114740000572
11,8,22,60.0,120.0,20.0,40,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1339669460012374,1.134157045999018
12,8,22,60.0,120.0,20.0,41,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1138415849982266,1.114357584998288
13,8,22,60.0,120.0,20.0,42,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1159163850006735,1.1161439850002353
14,8,22,60.0,120.0,20.0,43,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1178608860009263,1.1180768859994714
15,8,22,60.0,120.0,20.0,44,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1310463879999588,1.131250687998545
16,8,22,60.0,140.0,20.0,40,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1312988879999466,1.1314899879998848
17,8,22,60.0,140.0,20.0,41,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1150011850004375,1.1151891850004176
18,8,22,60.0,140.0,20.0,42,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.2204769569998462,1.2206707570003346
19,8,22,60.0,140.0,20.0,43,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1538515480006026,1.1541933480002626
20,8,22,60.0,140.0,20.0,44,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.133392746998652,1.13357854700007
21,8,22,80.0,80.0,20.0,40,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1230416469988995,1.1232474469998124
22,8,22,80.0,80.0,20.0,41,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1242471460009256,1.1244457459997648
23,8,22,80.0,80.0,20.0,42,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1197362459988653,1.1200134459995752
24,8,22,80.0,80.0,20.0,43,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1386997469999187,1.1388897470005759
25,8,22,80.0,80.0,20.0,44,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1278460630001064,1.1282043629998952
26,8,22,80.0,100.0,20.0,40,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1009530070004985,1.1011622070000158
27,8,22,80.0,100.0,20.0,41,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.101049607999812,1.1012533079992863
28,8,22,80.0,100.0,20.0,42,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.132914110999991,1.1331245109995507
29,8,22,80.0,100.0,20.0,43,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1331489109998074,1.1333626109990291
30,8,22,80.0,100.0,20.0,44,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.106248907999543,1.1065685079993273
31,8,22,80.0,120.0,20.0,40,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1250980099994194,1.1253051099993172
32,8,22,80.0,120.0,20.0,41,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1388325040006748,1.139376204000655
33,8,22,80.0,120.0,20.0,42,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.132540942999185,1.1336052429996926
34,8,22,80.0,120.0,20.0,43,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.241066246999253,1.2412981470006343
35,8,22,80.0,120.0,20.0,44,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.4513406550013315,1.451549454999622
36,8,22,80.0,140.0,20.0,40,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,2.507841594999263,2.508109095000691
37,8,22,80.0,140.0,20.0,41,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.4826781560004747,1.4835054559989658
38,8,22,80.0,140.0,20.0,42,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.3814376440004708,1.3816400440009602
39,8,22,80.0,140.0,20.0,43,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.0979855330006103,1.098216432999834
40,8,22,80.0,140.0,20.0,44,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,0.9779996309989656,0.9782816309998452
41,8,22,100.0,80.0,20.0,40,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1721005359995615,1.172288636000303
42,8,22,100.0,80.0,20.0,41,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.4533850450006867,1.4535847449988069
43,8,22,100.0,80.0,20.0,42,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1638882360002754,1.164084936001018
44,8,22,100.0,80.0,20.0,43,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.3976678750004794,1.3978666749990225
45,8,22,100.0,80.0,20.0,44,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1755670029997418,1.1761170030003996
46,8,22,100.0,100.0,20.0,40,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.045949491999636,1.046489192000081
47,8,22,100.0,100.0,20.0,41,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,0.9285343820010894,0.9287502819988731
48,8,22,100.0,100.0,20.0,42,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.0407590909999271,1.040992891001224
49,8,22,100.0,100.0,20.0,43,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,0.9528361840002617,0.9530434839998634
50,8,22,100.0,100.0,20.0,44,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,0.9441472829985287,0.9447200829999929
