case,model,reads_used,candidate_edges,qubo_variables,quadratic_terms,path_count_penalty,degree_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_layout,selected_edge_count,selected_source_count,selected_sink_count,edge_count_violation,in_degree_violations,out_degree_violations,read_in_constraint_violations,read_out_constraint_violations,void_in_constraint_violation,void_out_constraint_violation,selected_adjacent_correct,selected_jump_correct,selected_wrong,adjacent_recall,build_sec,anneal_sec,total_sec
1,path,100,395,395,77815,40.0,60.0,20.0,40,-1792.0,-1980.0,188.0,False,False,98,,,1,0,0,,,,,79,19,0,0.797979797979798,0.02223150000000018,23.165986563000004,23.188460463
2,path,100,395,395,77815,40.0,80.0,20.0,40,-1568.0,-1980.0,412.0,False,False,98,,,1,0,0,,,,,41,57,0,0.41414141414141414,0.036690710999998544,17.101462541000004,17.138486152
3,path,100,395,395,77815,40.0,100.0,20.0,40,-1580.0,-1980.0,400.0,False,False,98,,,1,0,0,,,,,44,54,0,0.4444444444444444,0.03603820499999699,17.289640815999995,17.325924420999996
4,path,100,395,395,77815,50.0,60.0,20.0,40,-1892.0,-1980.0,88.0,False,False,99,,,0,0,1,,,,,93,6,0,0.9393939393939394,0.03568779600000482,17.456069963000004,17.491954459
5,path,100,395,395,77815,50.0,80.0,20.0,40,-1606.0,-1980.0,374.0,False,False,98,,,1,1,0,,,,,63,35,0,0.6363636363636364,0.03705490000000111,17.520546553999992,17.557812654000003
6,path,100,395,395,77815,50.0,100.0,20.0,40,-1442.0,-1980.0,538.0,False,False,98,,,1,1,0,,,,,39,59,0,0.3939393939393939,0.03958790100000442,17.232544913999988,17.272351015000012
7,path,100,395,395,77815,60.0,60.0,20.0,40,-1744.0,-1980.0,236.0,False,False,99,,,0,1,1,,,,,78,21,0,0.7878787878787878,0.03630669600002534,17.666173428999997,17.702667425000016
8,path,100,395,395,77815,60.0,80.0,20.0,40,-1892.0,-1980.0,88.0,False,False,98,,,1,0,0,,,,,97,1,0,0.9797979797979798,0.03535969999998656,17.91318850900001,17.948748008999985
9,path,100,395,395,77815,60.0,100.0,20.0,40,-1556.0,-1980.0,424.0,False,False,98,,,1,0,0,,,,,43,55,0,0.43434343434343436,0.0359905939999976,28.583851234999997,28.62005732900002
10,path,100,395,395,77815,70.0,60.0,20.0,40,-1716.0,-1980.0,264.0,False,False,99,,,0,1,1,,,,,77,22,0,0.7777777777777778,0.03608990099999687,17.504320932000013,17.54059403299999
11,path,100,395,395,77815,70.0,80.0,20.0,40,-1556.0,-1980.0,424.0,False,False,99,,,0,0,2,,,,,58,41,0,0.5858585858585859,0.035401201000013316,19.49915213,19.534745431000005
12,path,100,395,395,77815,70.0,100.0,20.0,40,-1590.0,-1980.0,390.0,False,False,98,,,1,0,0,,,,,54,44,0,0.5454545454545454,0.036310998999994126,17.85254789200002,17.88903879099999
13,cycle,100,395,595,11890,,20.0,20.0,40,-1896.0,-1980.0,84.0,False,False,101,1,1,,2,2,2,2,0,0,92,9,0,0.9292929292929293,0.004423900000006142,20.01423560699999,20.01901220700003
14,cycle,100,395,595,11890,,40.0,20.0,40,-1684.0,-1980.0,296.0,False,False,100,1,1,,1,1,1,1,0,0,63,37,0,0.6363636363636364,0.004611400999976922,21.087553402000026,21.092470003000017
15,cycle,100,395,595,11890,,60.0,20.0,40,-1564.0,-1980.0,416.0,False,False,100,1,1,,1,1,1,1,0,0,48,52,0,0.48484848484848486,0.0038804999999797474,20.59696391,20.60121011000001
