case,status,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,length_target,length_penalty,gc_target_fraction,gc_penalty,mi_reward_scale,mi_score_mode,mi_min,mi_max,candidate_adjacent_edges,candidate_jump_edges,candidate_wrong_edges,adjacent_score_mean,jump_score_mean,wrong_score_mean,overlap_gc_method,backend,seed,energy,true_path_available,true_path_energy,energy_gap,ground_hit,valid_edge_path,single_path_layout,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,hard_violation,selected_adjacent_correct,selected_jump_correct,selected_wrong,truth_forward_edges,truth_gap_edges,truth_backward_edges,main_path_nodes,main_path_edges,main_path_start_rank,main_path_end_rank,main_path_missing_reads,main_path_max_jump,full_dna_recoverable,prunable_extra_edges,anneal_sec,total_sec
1,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,0.0,raw_mi,1.444048029270171,1.6270994460124553,69,201,0,1.5311281818936806,1.5359199180708336,,average,openjij-sqa,40,0.0007220008410513401,True,0.000722005303032347,-4.461981006897986e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,14.568917618,14.592530618000069
2,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,0.0,raw_mi,1.444048029270171,1.6270994460124553,69,201,0,1.5311281818936806,1.5359199180708336,,average,openjij-sqa,41,0.0007220008410513401,True,0.000722005303032347,-4.461981006897986e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.360480897999992,12.390860219000047
3,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,0.0,raw_mi,1.444048029270171,1.6270994460124553,69,201,0,1.5311281818936806,1.5359199180708336,,average,openjij-sqa,42,0.0007220008410513401,True,0.000722005303032347,-4.461981006897986e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,11.94421700199996,11.97022670399997
4,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,0.0,raw_mi,1.444048029270171,1.6270994460124553,69,201,0,1.5311281818936806,1.5359199180708336,,average,openjij-sqa,43,0.0007220008410513401,True,0.000722005303032347,-4.461981006897986e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,11.802095454999971,11.82701415400004
5,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,0.0,raw_mi,1.444048029270171,1.6270994460124553,69,201,0,1.5311281818936806,1.5359199180708336,,average,openjij-sqa,44,0.0007220008410513401,True,0.000722005303032347,-4.461981006897986e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,11.945436895999933,11.970577097000046
6,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,1.0,raw_mi,1.444048029270171,1.6270994460124553,69,201,0,1.5311281818936806,1.5359199180708336,,average,openjij-sqa,40,-105.64712254912592,True,-105.64712254571168,-3.4142431104555726e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.041823145999956,12.065345346999948
7,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,1.0,raw_mi,1.444048029270171,1.6270994460124553,69,201,0,1.5311281818936806,1.5359199180708336,,average,openjij-sqa,41,-105.64712254912592,True,-105.64712254571168,-3.4142431104555726e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.081384372999992,12.107694971
8,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,1.0,raw_mi,1.444048029270171,1.6270994460124553,69,201,0,1.5311281818936806,1.5359199180708336,,average,openjij-sqa,42,-105.64712254912592,True,-105.64712254571168,-3.4142431104555726e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.583517277000055,12.608443677999958
9,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,1.0,raw_mi,1.444048029270171,1.6270994460124553,69,201,0,1.5311281818936806,1.5359199180708336,,average,openjij-sqa,43,-105.64712254912592,True,-105.64712254571168,-3.4142431104555726e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.615786825999976,12.64295262500002
10,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,1.0,raw_mi,1.444048029270171,1.6270994460124553,69,201,0,1.5311281818936806,1.5359199180708336,,average,openjij-sqa,44,-105.64712254912592,True,-105.64712254571168,-3.4142431104555726e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.100475759999995,12.123092559000042
