case,status,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,length_target,length_penalty,gc_target_fraction,gc_penalty,mi_reward_scale,mi_score_mode,mi_min,mi_max,candidate_adjacent_edges,candidate_jump_edges,candidate_wrong_edges,adjacent_score_mean,jump_score_mean,wrong_score_mean,overlap_gc_method,backend,seed,energy,true_path_available,true_path_energy,energy_gap,ground_hit,valid_edge_path,single_path_layout,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,hard_violation,selected_adjacent_correct,selected_jump_correct,selected_wrong,truth_forward_edges,truth_gap_edges,truth_backward_edges,main_path_nodes,main_path_edges,main_path_start_rank,main_path_end_rank,main_path_missing_reads,main_path_max_jump,full_dna_recoverable,prunable_extra_edges,anneal_sec,total_sec
1,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,0.0,nmi,0.6313021495682538,0.7555278901712069,69,201,0,0.6932436728378443,0.6954203053842645,,average,openjij-sqa,40,0.005407999618910253,True,0.005408009797065461,-1.017815520754084e-08,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,14.111526659999981,14.134150659999932
2,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,0.0,nmi,0.6313021495682538,0.7555278901712069,69,201,0,0.6932436728378443,0.6954203053842645,,average,openjij-sqa,41,0.005407999618910253,True,0.005408009797065461,-1.017815520754084e-08,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,11.254853395000055,11.278339795000193
3,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,0.0,nmi,0.6313021495682538,0.7555278901712069,69,201,0,0.6932436728378443,0.6954203053842645,,average,openjij-sqa,42,0.005407999618910253,True,0.005408009797065461,-1.017815520754084e-08,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,11.838302367000097,11.862121966999894
4,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,0.0,nmi,0.6313021495682538,0.7555278901712069,69,201,0,0.6932436728378443,0.6954203053842645,,average,openjij-sqa,43,0.005407999618910253,True,0.005408009797065461,-1.017815520754084e-08,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,11.502873311999792,11.52849441300009
5,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,0.0,nmi,0.6313021495682538,0.7555278901712069,69,201,0,0.6932436728378443,0.6954203053842645,,average,openjij-sqa,44,0.005407999618910253,True,0.005408009797065461,-1.017815520754084e-08,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,11.534249375999934,11.557337476000157
6,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,10.0,nmi,0.6313021495682538,0.7555278901712069,69,201,0,0.6932436728378443,0.6954203053842645,,average,openjij-sqa,40,-478.3327262577368,True,-478.3327262481039,-9.63291313382797e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,11.733041162000063,11.758186761000161
7,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,10.0,nmi,0.6313021495682538,0.7555278901712069,69,201,0,0.6932436728378443,0.6954203053842645,,average,openjij-sqa,41,-478.3327262577368,True,-478.3327262481039,-9.63291313382797e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,11.483682024000018,11.508940424000002
8,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,10.0,nmi,0.6313021495682538,0.7555278901712069,69,201,0,0.6932436728378443,0.6954203053842645,,average,openjij-sqa,42,-478.3327262577368,True,-478.3327262481039,-9.63291313382797e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.94076690199995,12.96428570199987
9,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,10.0,nmi,0.6313021495682538,0.7555278901712069,69,201,0,0.6932436728378443,0.6954203053842645,,average,openjij-sqa,43,-356.48785918205976,True,-478.3327262481039,121.84486706604412,False,False,False,69,0,1,0,1,67,2,0,69,0,0,69,68,0,69,1,2,True,1,11.58041363999996,11.606729339999902
10,ok,70,all,270,270,36315,120.0,37500.0,2e-06,0.65,0.0,10.0,nmi,0.6313021495682538,0.7555278901712069,69,201,0,0.6932436728378443,0.6954203053842645,,average,openjij-sqa,44,-478.3327262577368,True,-478.3327262481039,-9.63291313382797e-09,True,True,True,69,0,0,0,0,69,0,0,69,0,0,70,69,0,69,0,1,True,0,12.114327998999897,12.13986459900002
