case,status,model,reads_used,genome_len,candidate_edges,qubo_variables,quadratic_terms,seed,energy,true_path_available,true_path_energy,energy_gap,ground_hit,valid_edge_path,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,selected_adjacent_correct,selected_jump_correct,selected_wrong,adjacent_recall,truth_forward_edges,truth_gap_edges,truth_backward_edges,main_path_nodes,main_path_edges,main_path_start_rank,main_path_end_rank,main_path_missing_reads,main_path_max_jump,full_dna_recoverable,prunable_extra_edges,old_count_penalty,old_degree_penalty,old_reward_scale,pdf_a_penalty,pdf_b_length_penalty,pdf_c_gc_penalty,pdf_d_mi_reward_scale,mi_min,mi_max,anneal_sec,total_sec
1,ok,pdf_A_B,200,102500,798,798,318003,40,0.0,True,0.0,0.0,True,True,199,0,0,0,199,0,0,1.0,199,0,0,200,199,0,199,0,1,True,0,,,,120.0,2e-06,0.0,0.0,499.99999999999994,2500.0,46.60029226,46.792641387
2,ok,pdf_A_B,200,102500,798,798,318003,41,0.0,True,0.0,0.0,True,True,199,0,0,0,199,0,0,1.0,199,0,0,200,199,0,199,0,1,True,0,,,,120.0,2e-06,0.0,0.0,499.99999999999994,2500.0,40.79654467199998,40.991234252
3,ok,pdf_A_B,200,102500,798,798,318003,42,0.0,True,0.0,0.0,True,True,199,0,0,0,199,0,0,1.0,199,0,0,200,199,0,199,0,1,True,0,,,,120.0,2e-06,0.0,0.0,499.99999999999994,2500.0,44.033807456000005,44.211310458000014
4,ok,pdf_A_B,200,102500,798,798,318003,43,0.0,True,0.0,0.0,True,True,199,0,0,0,199,0,0,1.0,199,0,0,200,199,0,199,0,1,True,0,,,,120.0,2e-06,0.0,0.0,499.99999999999994,2500.0,39.73743627900001,39.91254028
5,ok,pdf_A_B,200,102500,798,798,318003,44,0.0,True,0.0,0.0,True,True,199,0,0,0,199,0,0,1.0,199,0,0,200,199,0,199,0,1,True,0,,,,120.0,2e-06,0.0,0.0,499.99999999999994,2500.0,39.65183687200002,39.829688374
6,ok,pdf_A_B,200,102500,798,798,318003,45,0.0,True,0.0,0.0,True,True,199,0,0,0,199,0,0,1.0,199,0,0,200,199,0,199,0,1,True,0,,,,120.0,2e-06,0.0,0.0,499.99999999999994,2500.0,39.75858673600001,39.935213637000004
7,ok,pdf_A_B,200,102500,798,798,318003,46,0.0,True,0.0,0.0,True,True,199,0,0,0,199,0,0,1.0,199,0,0,200,199,0,199,0,1,True,0,,,,120.0,2e-06,0.0,0.0,499.99999999999994,2500.0,39.26596214800003,39.439870049000035
8,ok,pdf_A_B,200,102500,798,798,318003,47,0.0,True,0.0,0.0,True,True,199,0,0,0,199,0,0,1.0,199,0,0,200,199,0,199,0,1,True,0,,,,120.0,2e-06,0.0,0.0,499.99999999999994,2500.0,41.033270302000005,41.20864770099996
9,ok,pdf_A_B,200,102500,798,798,318003,48,0.0,True,0.0,0.0,True,True,199,0,0,0,199,0,0,1.0,199,0,0,200,199,0,199,0,1,True,0,,,,120.0,2e-06,0.0,0.0,499.99999999999994,2500.0,39.342312393999975,39.51530659399998
10,ok,pdf_A_B,200,102500,798,798,318003,49,0.0,True,0.0,0.0,True,True,199,0,0,0,199,0,0,1.0,199,0,0,200,199,0,199,0,1,True,0,,,,120.0,2e-06,0.0,0.0,499.99999999999994,2500.0,39.66620953800003,39.83998273899999
