case,status,reads_used,edge_limit,candidate_edges,qubo_variables,quadratic_terms,degree_penalty,length_target,length_penalty,gc_target_fraction,gc_penalty,mi_reward_scale,mi_score_mode,overlap_gc_method,backend,seed,energy,true_path_available,true_path_energy,energy_gap,ground_hit,valid_edge_path,single_path_layout,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,hard_violation,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
1,ok,70,all,275,275,37675,80.0,37500.0,5e-07,0.65,0.0,0.0,mi,average,openjij-sqa,40,0.0,True,0.0,0.0,True,True,True,69,0,0,0,0,69,0,0,15.164455110999938,15.188317211000026
2,ok,70,all,275,275,37675,80.0,37500.0,5e-07,0.65,0.0,0.0,mi,average,openjij-sqa,41,0.0,True,0.0,0.0,True,True,True,69,0,0,0,0,69,0,0,12.646973414000058,12.671885514999985
3,ok,70,all,275,275,37675,80.0,37500.0,5e-07,0.65,0.0,0.01,mi,average,openjij-sqa,40,-1725.0,True,-1725.0,0.0,True,True,True,69,0,0,0,0,69,0,0,12.312411397000005,12.339993396999944
4,ok,70,all,275,275,37675,80.0,37500.0,5e-07,0.65,0.0,0.01,mi,average,openjij-sqa,41,-1725.0,True,-1725.0,0.0,True,True,True,69,0,0,0,0,69,0,0,12.490510073999985,12.51608287299996
5,ok,70,all,275,275,37675,80.0,37500.0,5e-07,0.65,0.0001,0.0,mi,average,openjij-sqa,40,4.656612873077393e-10,True,-1.254818471352337e-10,5.91143134442973e-10,True,True,True,69,0,0,0,0,69,0,0,12.218966171000034,12.32682477000003
6,ok,70,all,275,275,37675,80.0,37500.0,5e-07,0.65,0.0001,0.0,mi,average,openjij-sqa,41,4.656612873077393e-10,True,-1.254818471352337e-10,5.91143134442973e-10,True,True,True,69,0,0,0,0,69,0,0,12.734301587000004,12.843857286000002
7,ok,70,all,275,275,37675,80.0,37500.0,5e-07,0.65,0.0001,0.01,mi,average,openjij-sqa,40,-1724.9999999995343,True,-1725.000000000152,6.177742761792615e-10,True,True,True,69,0,0,0,0,69,0,0,12.503093141000022,12.638520165000045
8,ok,70,all,275,275,37675,80.0,37500.0,5e-07,0.65,0.0001,0.01,mi,average,openjij-sqa,41,-1724.9999999995343,True,-1725.000000000152,6.177742761792615e-10,True,True,True,69,0,0,0,0,69,0,0,12.38170776800007,12.493565069000056
9,ok,70,all,275,275,37675,80.0,37500.0,1e-06,0.65,0.0,0.0,mi,average,openjij-sqa,40,0.0,True,0.0,0.0,True,True,True,69,0,0,0,0,69,0,0,12.620129691000102,12.646354989999963
10,ok,70,all,275,275,37675,80.0,37500.0,1e-06,0.65,0.0,0.0,mi,average,openjij-sqa,41,0.0,True,0.0,0.0,True,True,True,69,0,0,0,0,69,0,0,12.337575426999933,12.382661026999926
11,ok,70,all,275,275,37675,80.0,37500.0,1e-06,0.65,0.0,0.01,mi,average,openjij-sqa,40,-1725.0,True,-1725.0,0.0,True,True,True,69,0,0,0,0,69,0,0,12.386945095999977,12.413817096000002
12,ok,70,all,275,275,37675,80.0,37500.0,1e-06,0.65,0.0,0.01,mi,average,openjij-sqa,41,-1725.0,True,-1725.0,0.0,True,True,True,69,0,0,0,0,69,0,0,12.281390786999964,12.305888086999971
13,ok,70,all,275,275,37675,80.0,37500.0,1e-06,0.65,0.0001,0.0,mi,average,openjij-sqa,40,4.656612873077393e-10,True,-3.5649350138555747e-10,8.221547886932967e-10,True,True,True,69,0,0,0,0,69,0,0,12.485541039000054,12.59372144100007
14,ok,70,all,275,275,37675,80.0,37500.0,1e-06,0.65,0.0001,0.0,mi,average,openjij-sqa,41,4.656612873077393e-10,True,-3.5649350138555747e-10,8.221547886932967e-10,True,True,True,69,0,0,0,0,69,0,0,12.410228941000014,12.521633243999986
15,ok,70,all,275,275,37675,80.0,37500.0,1e-06,0.65,0.0001,0.01,mi,average,openjij-sqa,40,-1724.9999999995343,True,-1725.0000000004504,9.16088538360782e-10,True,True,True,69,0,0,0,0,69,0,0,12.517837987999997,12.628230385000052
16,ok,70,all,275,275,37675,80.0,37500.0,1e-06,0.65,0.0001,0.01,mi,average,openjij-sqa,41,-1724.9999999995343,True,-1725.0000000004504,9.16088538360782e-10,True,True,True,69,0,0,0,0,69,0,0,12.449812651000002,12.557782344000088
17,ok,70,all,275,275,37675,80.0,37500.0,2e-06,0.65,0.0,0.0,mi,average,openjij-sqa,40,0.0,True,0.0,0.0,True,True,True,69,0,0,0,0,69,0,0,12.59377223499996,12.620485034000012
18,ok,70,all,275,275,37675,80.0,37500.0,2e-06,0.65,0.0,0.0,mi,average,openjij-sqa,41,0.0,True,0.0,0.0,True,True,True,69,0,0,0,0,69,0,0,12.458553784999935,12.481990585000062
19,ok,70,all,275,275,37675,80.0,37500.0,2e-06,0.65,0.0,0.01,mi,average,openjij-sqa,40,-1725.0,True,-1725.0,0.0,True,True,True,69,0,0,0,0,69,0,0,12.76227444899996,12.791704349000042
20,ok,70,all,275,275,37675,80.0,37500.0,2e-06,0.65,0.0,0.01,mi,average,openjij-sqa,41,-1725.0,True,-1725.0,0.0,True,True,True,69,0,0,0,0,69,0,0,12.280500971000038,12.307603570999959
21,ok,70,all,275,275,37675,80.0,37500.0,2e-06,0.65,0.0001,0.0,mi,average,openjij-sqa,40,5.820766091346741e-10,True,-4.092441940883873e-10,9.913208032230614e-10,True,True,True,69,0,0,0,0,69,0,0,12.17213308800001,12.284795788999986
22,ok,70,all,275,275,37675,80.0,37500.0,2e-06,0.65,0.0001,0.0,mi,average,openjij-sqa,41,5.820766091346741e-10,True,-4.092441940883873e-10,9.913208032230614e-10,True,True,True,69,0,0,0,0,69,0,0,12.183117955999933,12.290533658000072
23,ok,70,all,275,275,37675,80.0,37500.0,2e-06,0.65,0.0001,0.01,mi,average,openjij-sqa,40,-1724.999999999418,True,-1725.0000000004286,1.0106759873451665e-09,True,True,True,69,0,0,0,0,69,0,0,12.726749661999975,12.83550596200007
