case,status,model,reads_used,genome_len,candidate_edges,qubo_variables,quadratic_terms,seed,energy,true_path_available,true_path_energy,energy_gap,ground_hit,valid_edge_path,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,selected_adjacent_correct,selected_jump_correct,selected_wrong,adjacent_recall,old_count_penalty,old_degree_penalty,old_reward_scale,pdf_a_penalty,pdf_b_length_penalty,pdf_c_gc_penalty,pdf_d_mi_reward_scale,mi_min,mi_max,anneal_sec,total_sec
1,ok,old_edge_path_dag,35,20000,131,131,8515,40,-502.0,True,-680.0,178.0,False,False,34,0,0,1,25,9,0,0.7352941176470589,100.0,110.0,20.0,,,,,,,8.216201,8.2191203
2,ok,old_edge_path_dag,35,20000,131,131,8515,41,-680.0,True,-680.0,0.0,True,True,34,0,0,0,34,0,0,1.0,100.0,110.0,20.0,,,,,,,5.620325738999998,5.622368136999999
3,ok,pdf_A_only,35,20000,131,131,8515,40,200.0,True,0.0,200.0,False,False,34,0,1,1,16,18,0,0.47058823529411764,,,,100.0,0.0,0.0,0.0,500.0,2500.0,5.606500370000003,5.613343006000001
4,ok,pdf_A_only,35,20000,131,131,8515,41,100.0,True,0.0,100.0,False,False,33,1,0,0,14,19,0,0.4117647058823529,,,,100.0,0.0,0.0,0.0,500.0,2500.0,5.738732167000002,5.745670666999999
5,ok,pdf_A_B,35,20000,131,131,8515,40,0.0,True,0.0,0.0,True,True,34,0,0,0,34,0,0,1.0,,,,100.0,1e-06,0.0,0.0,500.0,2500.0,5.582543919999999,5.591538021000005
6,ok,pdf_A_B,35,20000,131,131,8515,41,0.0,True,0.0,0.0,True,True,34,0,0,0,34,0,0,1.0,,,,100.0,1e-06,0.0,0.0,500.0,2500.0,5.496648839999999,5.507539650999995
7,ok,pdf_A_C,35,20000,131,131,8515,40,100.02131600001303,True,-4.985167834092863e-11,100.02131600006288,False,False,34,0,0,1,16,18,0,0.47058823529411764,,,,100.0,0.0,0.0001,0.0,500.0,2500.0,5.713488346999995,5.756125553999993
8,ok,pdf_A_C,35,20000,131,131,8515,41,200.1258475625218,True,-4.985167834092863e-11,200.12584756257166,False,False,34,0,1,1,16,18,0,0.47058823529411764,,,,100.0,0.0,0.0001,0.0,500.0,2500.0,5.658596392,5.7012798889999985
9,ok,pdf_A_D,35,20000,131,131,8515,40,-690.0,True,-850.0,160.0,False,False,34,0,1,0,26,8,0,0.7647058823529411,,,,100.0,0.0,0.0,0.01,500.0,2500.0,5.599857634999992,5.606521934999996
10,ok,pdf_A_D,35,20000,131,131,8515,41,-690.0,True,-850.0,160.0,False,False,34,0,0,1,26,8,0,0.7647058823529411,,,,100.0,0.0,0.0,0.01,500.0,2500.0,5.563322830000004,5.572320730000001
11,ok,pdf_A_B_C,35,20000,131,131,8515,40,130.25079806249414,True,-5.7127635955112055e-11,130.25079806255127,False,False,34,0,1,0,25,9,0,0.7352941176470589,,,,100.0,1e-06,0.0001,0.0,500.0,2500.0,5.665678967999995,5.709716969999988
12,ok,pdf_A_B_C,35,20000,131,131,8515,41,4.3655745685100555e-11,True,-5.7127635955112055e-11,1.0078338164021261e-10,True,True,34,0,0,0,34,0,0,1.0,,,,100.0,1e-06,0.0001,0.0,500.0,2500.0,5.475540014999993,5.518849500000002
13,ok,pdf_A_B_D,35,20000,131,131,8515,40,-850.0,True,-850.0,0.0,True,True,34,0,0,0,34,0,0,1.0,,,,100.0,1e-06,0.0,0.01,500.0,2500.0,5.65985237999999,5.668297579999987
14,ok,pdf_A_B_D,35,20000,131,131,8515,41,-850.0,True,-850.0,0.0,True,True,34,0,0,0,34,0,0,1.0,,,,100.0,1e-06,0.0,0.01,500.0,2500.0,5.671186855000002,5.681982654999999
15,ok,pdf_A_B_C_D,35,20000,131,131,8515,40,-849.9999999999563,True,-850.000000000042,8.560618880437687e-11,True,True,34,0,0,0,34,0,0,1.0,,,,100.0,1e-06,0.0001,0.01,500.0,2500.0,5.633904829000002,5.676264930000002
16,ok,pdf_A_B_C_D,35,20000,131,131,8515,41,-849.9999999999563,True,-850.000000000042,8.560618880437687e-11,True,True,34,0,0,0,34,0,0,1.0,,,,100.0,1e-06,0.0001,0.01,500.0,2500.0,5.530958725999994,5.577296128
17,ok,old_edge_path_dag,40,22500,151,151,11325,40,-586.0,True,-780.0,194.0,False,False,39,0,0,1,28,11,0,0.717948717948718,100.0,110.0,20.0,,,,,,,6.645437129000001,6.6474489290000065
18,ok,old_edge_path_dag,40,22500,151,151,11325,41,-598.0,True,-780.0,182.0,False,False,39,0,1,0,28,11,0,0.717948717948718,100.0,110.0,20.0,,,,,,,6.54293932600001,6.545837425000002
19,ok,pdf_A_only,40,22500,151,151,11325,40,100.0,True,0.0,100.0,False,False,39,0,0,1,15,24,0,0.38461538461538464,,,,100.0,0.0,0.0,0.0,500.0,2500.0,6.498151528999998,6.5067404280000005
20,ok,pdf_A_only,40,22500,151,151,11325,41,200.0,True,0.0,200.0,False,False,39,0,1,1,10,29,0,0.2564102564102564,,,,100.0,0.0,0.0,0.0,500.0,2500.0,6.825446922000012,6.834857420999995
21,ok,pdf_A_B,40,22500,151,151,11325,40,0.0,True,0.0,0.0,True,True,39,0,0,0,39,0,0,1.0,,,,100.0,1e-06,0.0,0.0,500.0,2500.0,6.477097324999988,6.488833824000011
22,ok,pdf_A_B,40,22500,151,151,11325,41,0.0,True,0.0,0.0,True,True,39,0,0,0,39,0,0,1.0,,,,100.0,1e-06,0.0,0.0,500.0,2500.0,6.488701483,6.501153081999973
23,ok,pdf_A_C,40,22500,151,151,11325,40,100.00063056798535,True,1.2636292012757622e-10,100.00063056785899,False,False,38,1,0,0,15,23,0,0.38461538461538464,,,,100.0,0.0,0.0001,0.0,500.0,2500.0,6.621995331999983,6.675120232000012
24,ok,pdf_A_C,40,22500,151,151,11325,41,200.0819231606729,True,1.2636292012757622e-10,200.08192316054652,False,False,39,0,0,2,17,22,0,0.4358974358974359,,,,100.0,0.0,0.0001,0.0,500.0,2500.0,6.5975186699999995,6.649974171000025
25,ok,pdf_A_D,40,22500,151,151,11325,40,-775.0,True,-975.0,200.0,False,False,39,0,0,1,28,11,0,0.717948717948718,,,,100.0,0.0,0.0,0.01,500.0,2500.0,6.457037377000006,6.465014477000011
26,ok,pdf_A_D,40,22500,151,151,11325,41,-815.0,True,-975.0,160.0,False,False,39,0,1,0,32,7,0,0.8205128205128205,,,,100.0,0.0,0.0,0.01,500.0,2500.0,6.579498897999997,6.591524698000001
27,ok,pdf_A_B_C,40,22500,151,151,11325,40,1.4551915228366852e-10,True,1.4080114851822145e-10,4.718003765447065e-12,True,True,39,0,0,0,39,0,0,1.0,,,,100.0,1e-06,0.0001,0.0,500.0,2500.0,6.753678855999993,6.807289859999997
28,ok,pdf_A_B_C,40,22500,151,151,11325,41,1.4551915228366852e-10,True,1.4080114851822145e-10,4.718003765447065e-12,True,True,39,0,0,0,39,0,0,1.0,,,,100.0,1e-06,0.0001,0.0,500.0,2500.0,6.440212872999979,6.492793773000017
