case,status,model,reads_used,genome_len,candidate_edges,qubo_variables,quadratic_terms,seed,energy,true_path_available,true_path_energy,energy_gap,ground_hit,valid_edge_path,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,selected_adjacent_correct,selected_jump_correct,selected_wrong,adjacent_recall,old_count_penalty,old_degree_penalty,old_reward_scale,pdf_a_penalty,pdf_b_length_penalty,pdf_c_gc_penalty,pdf_d_mi_reward_scale,mi_min,mi_max,anneal_sec,total_sec
1,ok,old_edge_path_dag,50,27500,195,195,18915,40,-872.0,True,-980.0,108.0,False,False,48,1,0,0,46,2,0,0.9387755102040817,80.0,100.0,20.0,,,,,,,11.275191928000002,11.284709285999998
2,ok,old_edge_path_dag,50,27500,195,195,18915,41,-980.0,True,-980.0,0.0,True,True,49,0,0,0,49,0,0,1.0,80.0,100.0,20.0,,,,,,,8.622128312999997,8.627929420999997
3,ok,pdf_A_B,50,27500,195,195,18915,40,0.0,True,0.0,0.0,True,True,49,0,0,0,49,0,0,1.0,,,,100.0,1e-06,0.0,0.0,499.99999999999994,2500.0,8.379691872999999,8.39572047
4,ok,pdf_A_B,50,27500,195,195,18915,41,0.0,True,0.0,0.0,True,True,49,0,0,0,49,0,0,1.0,,,,100.0,1e-06,0.0,0.0,499.99999999999994,2500.0,8.642841993999994,8.659759184000002
5,ok,pdf_A_B_C_D,50,27500,195,195,18915,40,-1224.9999999999418,True,-1224.9999999997176,-2.241904439870268e-10,True,True,49,0,0,0,49,0,0,1.0,,,,100.0,1e-06,0.0001,0.01,499.99999999999994,2500.0,8.774712272000002,8.86272186
6,ok,pdf_A_B_C_D,50,27500,195,195,18915,41,-1224.9999999999418,True,-1224.9999999997176,-2.241904439870268e-10,True,True,49,0,0,0,49,0,0,1.0,,,,100.0,1e-06,0.0001,0.01,499.99999999999994,2500.0,8.962821419000008,9.034769921999995
7,ok,old_edge_path_dag,60,32500,235,235,27495,40,-1044.0,True,-1180.0,136.0,False,False,58,1,0,0,52,6,0,0.8813559322033898,80.0,100.0,20.0,,,,,,,10.266577059,10.27047635800001
8,ok,old_edge_path_dag,60,32500,235,235,27495,41,-1180.0,True,-1180.0,0.0,True,True,59,0,0,0,59,0,0,1.0,80.0,100.0,20.0,,,,,,,10.75330425700001,10.759253355000013
9,ok,pdf_A_B,60,32500,235,235,27495,40,0.0,True,0.0,0.0,True,True,59,0,0,0,59,0,0,1.0,,,,100.0,1e-06,0.0,0.0,499.99999999999994,2500.0,11.429058722999997,11.451491625000003
10,ok,pdf_A_B,60,32500,235,235,27495,41,101.0,True,0.0,101.0,False,False,59,0,1,0,57,2,0,0.9661016949152542,,,,100.0,1e-06,0.0,0.0,499.99999999999994,2500.0,10.949103872999999,10.972072072000003
11,ok,pdf_A_B_C_D,60,32500,235,235,27495,40,-1474.9999999990687,True,-1474.9999999997053,6.366462912410498e-10,True,True,59,0,0,0,59,0,0,1.0,,,,100.0,1e-06,0.0001,0.01,499.99999999999994,2500.0,10.524202692000017,10.618023390000005
12,ok,pdf_A_B_C_D,60,32500,235,235,27495,41,-1474.9999999990687,True,-1474.9999999997053,6.366462912410498e-10,True,True,59,0,0,0,59,0,0,1.0,,,,100.0,1e-06,0.0001,0.01,499.99999999999994,2500.0,11.013113726,11.113825923999997
13,ok,old_edge_path_dag,70,37500,275,275,37675,40,-1188.0,True,-1380.0,192.0,False,False,68,1,0,0,54,14,0,0.782608695652174,80.0,100.0,20.0,,,,,,,14.166809048000005,14.172567649000001
14,ok,old_edge_path_dag,70,37500,275,275,37675,41,-1264.0,True,-1380.0,116.0,False,False,69,0,1,0,67,2,0,0.9710144927536232,80.0,100.0,20.0,,,,,,,13.275970752999996,13.285183653000018
15,ok,pdf_A_B,70,37500,275,275,37675,40,0.0,True,0.0,0.0,True,True,69,0,0,0,69,0,0,1.0,,,,100.0,1e-06,0.0,0.0,499.99999999999994,2500.0,13.395193150000011,13.421906051000008
16,ok,pdf_A_B,70,37500,275,275,37675,41,0.0,True,0.0,0.0,True,True,69,0,0,0,69,0,0,1.0,,,,100.0,1e-06,0.0,0.0,499.99999999999994,2500.0,12.233437116999994,12.261739720000008
17,ok,pdf_A_B_C_D,70,37500,275,275,37675,40,-1725.0,True,-1724.9999999999382,-6.184563972055912e-11,True,True,69,0,0,0,69,0,0,1.0,,,,100.0,1e-06,0.0001,0.01,499.99999999999994,2500.0,12.28794972099999,12.400514623999982
18,ok,pdf_A_B_C_D,70,37500,275,275,37675,41,-1725.0,True,-1724.9999999999382,-6.184563972055912e-11,True,True,69,0,0,0,69,0,0,1.0,,,,100.0,1e-06,0.0001,0.01,499.99999999999994,2500.0,12.435768724000013,12.552339424999985
