case,status,model,reads_used,genome_len,candidate_edges,qubo_variables,quadratic_terms,seed,energy,true_path_available,true_path_energy,energy_gap,ground_hit,valid_edge_path,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,selected_adjacent_correct,selected_jump_correct,selected_wrong,adjacent_recall,old_count_penalty,old_degree_penalty,old_reward_scale,pdf_a_penalty,pdf_b_length_penalty,pdf_c_gc_penalty,pdf_d_mi_reward_scale,mi_min,mi_max,anneal_sec,total_sec
1,ok,old_edge_path_dag,80,42500,315,315,49455,40,-1392.0,True,-1580.0,188.0,False,False,78,1,0,0,62,16,0,0.7848101265822784,60.0,80.0,20.0,,,,,,,16.63717206399997,16.651814352999963
2,ok,old_edge_path_dag,80,42500,315,315,49455,41,-1472.0,True,-1580.0,108.0,False,False,79,0,0,1,74,5,0,0.9367088607594937,60.0,80.0,20.0,,,,,,,14.516665226999976,14.52915622699993
3,ok,pdf_A_B,80,42500,315,315,49455,40,0.0,True,0.0,0.0,True,True,79,0,0,0,79,0,0,1.0,,,,120.0,2e-06,0.0,0.0,499.99999999999994,2500.0,14.012863969999898,14.068442772000026
4,ok,pdf_A_B,80,42500,315,315,49455,41,0.0,True,0.0,0.0,True,True,79,0,0,0,79,0,0,1.0,,,,120.0,2e-06,0.0,0.0,499.99999999999994,2500.0,14.06751348900002,14.103483896999933
5,ok,old_edge_path_dag,90,47500,355,355,62835,40,-1600.0,True,-1780.0,180.0,False,False,88,1,0,0,73,15,0,0.8202247191011236,60.0,80.0,20.0,,,,,,,16.893504570999994,16.919185173000187
6,ok,old_edge_path_dag,90,47500,355,355,62835,41,-1592.0,True,-1780.0,188.0,False,False,88,1,0,1,82,6,0,0.9213483146067416,60.0,80.0,20.0,,,,,,,16.94244481999999,16.981101320000107
7,ok,pdf_A_B,90,47500,355,355,62835,40,0.0,True,0.0,0.0,True,True,89,0,0,0,89,0,0,1.0,,,,120.0,2e-06,0.0,0.0,499.99999999999994,2500.0,16.092677460000004,16.159919857999967
8,ok,pdf_A_B,90,47500,355,355,62835,41,0.0,True,0.0,0.0,True,True,89,0,0,0,89,0,0,1.0,,,,120.0,2e-06,0.0,0.0,499.99999999999994,2500.0,15.844571161999966,15.910586859999967
9,ok,old_edge_path_dag,100,52500,395,395,77815,40,-1872.0,True,-1980.0,108.0,False,False,99,0,1,0,95,4,0,0.9595959595959596,60.0,80.0,20.0,,,,,,,18.66277158999992,18.673439590000044
10,ok,old_edge_path_dag,100,52500,395,395,77815,41,-1716.0,True,-1980.0,264.0,False,False,98,1,0,1,83,15,0,0.8383838383838383,60.0,80.0,20.0,,,,,,,19.083434463000003,19.121403563000058
11,ok,pdf_A_B,100,52500,395,395,77815,40,0.0,True,0.0,0.0,True,True,99,0,0,0,99,0,0,1.0,,,,120.0,2e-06,0.0,0.0,499.99999999999994,2500.0,18.48360221100006,18.55778061000001
12,ok,pdf_A_B,100,52500,395,395,77815,41,0.0,True,0.0,0.0,True,True,99,0,0,0,99,0,0,1.0,,,,120.0,2e-06,0.0,0.0,499.99999999999994,2500.0,18.091306926000016,18.169234524999865
