case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,annealer_seed,energy,true_energy,energy_gap,valid,read_violations,position_violations,legal_edge_count,legal_true_adjacent_count,missing_edge_count,connected_layout,acceptable_connected_layout,missing_edge_cost,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
1,ok,openjij-sqa,90.0,90.0,110.0,10.0,default,32,40,124.0,-150.0,274.0,True,0,0,13,5,2,False,True,220.0,5,10,61,11.055950278998353,11.057932678988436
2,ok,openjij-sqa,90.0,90.0,110.0,10.0,default,32,41,-8.0,-150.0,142.0,True,0,0,14,8,1,False,True,110.0,8,7,42,8.936655695011723,8.954478295010631
3,ok,openjij-sqa,90.0,90.0,110.0,10.0,default,32,42,-10.0,-150.0,140.0,True,0,0,14,9,1,False,True,110.0,9,6,18,8.670405889992253,8.67286349000642
4,ok,openjij-sqa,90.0,90.0,110.0,10.0,default,32,43,124.0,-150.0,274.0,True,0,0,13,4,2,False,True,220.0,4,11,53,8.737015046994202,8.739889347009012
5,ok,openjij-sqa,90.0,90.0,110.0,10.0,default,32,44,62.0,-150.0,212.0,False,0,2,13,5,2,False,True,220.0,5,10,42,8.748884068001644,8.751334368003882
6,ok,openjij-sqa,90.0,90.0,110.0,10.0,default,32,45,120.0,-150.0,270.0,True,0,0,13,6,2,False,True,220.0,6,9,53,8.67996538800071,8.682953288007411
7,ok,openjij-sqa,90.0,90.0,110.0,10.0,default,32,46,176.0,-150.0,326.0,False,0,2,12,7,3,False,False,330.0,7,8,45,8.689548812995781,8.692094912999892
8,ok,openjij-sqa,90.0,90.0,110.0,10.0,default,32,47,56.0,-150.0,206.0,False,0,2,13,6,2,False,True,220.0,6,9,33,8.918063456992968,8.921185857005185
9,ok,openjij-sqa,90.0,90.0,110.0,10.0,default,32,48,124.0,-150.0,274.0,True,0,0,13,5,2,False,True,220.0,5,10,60,8.702071088991943,8.704784288987867
10,ok,openjij-sqa,90.0,90.0,110.0,10.0,default,32,49,-6.0,-150.0,144.0,True,0,0,14,7,1,False,True,110.0,7,8,31,8.815657195998938,8.818196695996448
11,ok,openjij-sqa,90.0,90.0,110.0,20.0,default,32,40,4.0,-300.0,304.0,True,0,0,13,6,2,False,True,220.0,6,9,60,8.727558047990897,8.730084148992319
12,ok,openjij-sqa,90.0,90.0,110.0,20.0,default,32,41,-52.0,-300.0,248.0,False,0,2,13,4,2,False,True,220.0,4,11,29,8.842201265011681,8.84483996500785
13,ok,openjij-sqa,90.0,90.0,110.0,20.0,default,32,42,-126.0,-300.0,174.0,True,0,0,14,8,1,False,True,110.0,8,7,24,8.905859509992297,8.908577509995666
14,ok,openjij-sqa,90.0,90.0,110.0,20.0,default,32,43,36.0,-300.0,336.0,True,0,0,13,5,2,False,True,220.0,5,10,27,9.077532077004435,9.080034477010486
15,ok,openjij-sqa,90.0,90.0,110.0,20.0,default,32,44,36.0,-300.0,336.0,True,0,0,13,3,2,False,True,220.0,3,12,34,8.697251538003911,8.699826837997534
16,ok,openjij-sqa,90.0,90.0,110.0,20.0,default,32,45,-68.0,-300.0,232.0,False,0,2,13,8,2,False,True,220.0,8,7,32,8.82912076600769,8.832052965997718
17,ok,openjij-sqa,90.0,90.0,110.0,20.0,default,32,46,8.0,-300.0,308.0,True,0,0,13,5,2,False,True,220.0,5,10,45,8.715026906997082,8.717470207004226
18,ok,openjij-sqa,90.0,90.0,110.0,20.0,default,32,47,12.0,-300.0,312.0,True,0,0,13,5,2,False,True,220.0,5,10,51,8.766902930001379,8.769463730001007
19,ok,openjij-sqa,90.0,90.0,110.0,20.0,default,32,48,-122.0,-300.0,178.0,True,0,0,14,6,1,False,True,110.0,6,9,27,8.836935086990707,8.839475686996593
20,ok,openjij-sqa,90.0,90.0,110.0,20.0,default,32,49,-104.0,-300.0,196.0,False,0,2,13,11,2,False,True,220.0,11,4,15,8.78863006400934,8.791508565002005
21,ok,openjij-sqa,90.0,90.0,110.0,25.0,default,32,40,30.0,-375.0,405.0,False,0,2,12,3,3,False,False,330.0,3,12,66,8.69171754499257,8.69418484500784
22,ok,openjij-sqa,90.0,90.0,110.0,25.0,default,32,41,-20.0,-375.0,355.0,True,0,0,13,3,2,False,True,220.0,3,12,53,8.841766074008774,8.844198774007964
23,ok,openjij-sqa,90.0,90.0,110.0,25.0,default,32,42,-195.0,-375.0,180.0,True,0,0,14,9,1,False,True,110.0,9,6,22,8.844231432987726,8.84701703301107
24,ok,openjij-sqa,90.0,90.0,110.0,25.0,default,32,43,-35.0,-375.0,340.0,True,0,0,13,6,2,False,True,220.0,6,9,52,11.183227127010468,11.185774526995374
25,ok,openjij-sqa,90.0,90.0,110.0,25.0,default,32,44,-230.0,-375.0,145.0,True,0,0,14,13,1,False,True,110.0,13,2,4,10.822663832994294,10.825302733006538
26,ok,openjij-sqa,90.0,90.0,110.0,25.0,default,32,45,-60.0,-375.0,315.0,True,0,0,13,8,2,False,True,220.0,8,7,37,26.692815898000845,26.695604898006422
27,ok,openjij-sqa,90.0,90.0,110.0,25.0,default,32,46,-150.0,-375.0,225.0,False,0,2,13,7,2,False,True,220.0,7,8,20,9.250369210989447,9.25285601100768
28,ok,openjij-sqa,90.0,90.0,110.0,25.0,default,32,47,-190.0,-375.0,185.0,True,0,0,14,9,1,False,True,110.0,9,6,32,9.113150053992285,9.116202553996118
29,ok,openjij-sqa,90.0,90.0,110.0,25.0,default,32,48,-160.0,-375.0,215.0,False,0,2,13,9,2,False,True,220.0,9,6,18,8.733406123006716,8.736268022999866
30,ok,openjij-sqa,90.0,90.0,110.0,25.0,default,32,49,-20.0,-375.0,355.0,True,0,0,13,3,2,False,True,220.0,3,12,47,9.123830882002949,9.126438081992092
31,ok,openjij-sqa,90.0,90.0,120.0,10.0,default,32,40,126.0,-150.0,276.0,True,0,0,13,10,2,False,True,240.0,10,5,24,8.908050893995096,8.910647494005389
32,ok,openjij-sqa,90.0,90.0,120.0,10.0,default,32,41,134.0,-150.0,284.0,True,0,0,13,7,2,False,True,240.0,7,8,20,8.765021280007204,8.768000280004344
33,ok,openjij-sqa,90.0,90.0,120.0,10.0,default,32,42,2.0,-150.0,152.0,True,0,0,14,9,1,False,True,120.0,9,6,25,9.07139680099499,9.074116100993706
34,ok,openjij-sqa,90.0,90.0,120.0,10.0,default,32,43,-2.0,-150.0,148.0,True,0,0,14,7,1,False,True,120.0,7,8,28,8.883335672988323,8.885877173001063
35,ok,openjij-sqa,90.0,90.0,120.0,10.0,default,32,44,6.0,-150.0,156.0,True,0,0,14,5,1,False,True,120.0,5,10,25,8.92018858200754,8.922790082011488
36,ok,openjij-sqa,90.0,90.0,120.0,10.0,default,32,45,134.0,-150.0,284.0,True,0,0,13,8,2,False,True,240.0,8,7,49,8.795048562999,8.797481763001997
37,ok,openjij-sqa,90.0,90.0,120.0,10.0,default,32,46,56.0,-150.0,206.0,False,0,2,13,8,2,False,True,240.0,8,7,54,8.8770835250034,8.880265218002023
38,ok,openjij-sqa,90.0,90.0,120.0,10.0,default,32,47,116.0,-150.0,266.0,True,0,0,13,11,2,False,True,240.0,11,4,15,9.04528882401064,9.047767624011612
39,ok,openjij-sqa,90.0,90.0,120.0,10.0,default,32,48,144.0,-150.0,294.0,True,0,0,13,3,2,False,True,240.0,3,12,37,8.782646656007273,8.785352156002773
40,ok,openjij-sqa,90.0,90.0,120.0,10.0,default,32,49,128.0,-150.0,278.0,True,0,0,13,6,2,False,True,240.0,6,9,62,9.271873265999602,9.274809866008582
41,ok,openjij-sqa,90.0,90.0,120.0,20.0,default,32,40,-80.0,-300.0,220.0,False,0,2,13,6,2,False,True,240.0,6,9,52,9.092670357000316,9.095222956995713
