case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,annealer_seed,energy,true_energy,energy_gap,valid,read_violations,position_violations,legal_edge_count,legal_true_adjacent_count,missing_edge_count,connected_layout,acceptable_connected_layout,missing_edge_cost,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
1,ok,openjij-sqa,90.0,90.0,110.0,10.0,default,32,40,124.0,-150.0,274.0,True,0,0,13,5,2,False,True,220.0,5,10,61,14.74136817199178,14.743567172001349
2,ok,openjij-sqa,90.0,90.0,110.0,10.0,default,32,41,-8.0,-150.0,142.0,True,0,0,14,8,1,False,True,110.0,8,7,42,5.004387316002976,5.023912318996736
3,ok,openjij-sqa,90.0,90.0,110.0,10.0,default,32,42,-10.0,-150.0,140.0,True,0,0,14,9,1,False,True,110.0,9,6,18,5.3968780120048905,5.39964061199862
4,ok,openjij-sqa,90.0,90.0,110.0,10.0,default,32,43,124.0,-150.0,274.0,True,0,0,13,4,2,False,True,220.0,4,11,53,6.505038641000283,6.507507741000154
5,ok,openjij-sqa,90.0,90.0,110.0,10.0,default,32,44,62.0,-150.0,212.0,False,0,2,13,5,2,False,True,220.0,5,10,42,6.69662048999453,6.699275589999161
6,ok,openjij-sqa,90.0,90.0,110.0,15.0,default,32,40,24.0,-225.0,249.0,False,1,1,13,7,2,False,True,220.0,7,8,42,8.946685059010633,8.950067958998261
7,ok,openjij-sqa,90.0,90.0,110.0,15.0,default,32,41,58.0,-225.0,283.0,True,0,0,13,7,2,False,True,220.0,7,8,64,7.104987118000281,7.107773718002136
8,ok,openjij-sqa,90.0,90.0,110.0,15.0,default,32,42,82.0,-225.0,307.0,True,0,0,13,3,2,False,True,220.0,3,12,48,6.168264735999401,6.188074935009354
9,ok,openjij-sqa,90.0,90.0,110.0,15.0,default,32,43,-73.0,-225.0,152.0,True,0,0,14,9,1,False,True,110.0,9,6,35,6.225620156008517,6.228248055995209
10,ok,openjij-sqa,90.0,90.0,110.0,15.0,default,32,44,67.0,-225.0,292.0,True,0,0,13,5,2,False,True,220.0,5,10,34,6.398053173994413,6.401022274003481
11,ok,openjij-sqa,90.0,90.0,110.0,20.0,default,32,40,4.0,-300.0,304.0,True,0,0,13,6,2,False,True,220.0,6,9,60,6.439179840002907,6.442144739994546
12,ok,openjij-sqa,90.0,90.0,110.0,20.0,default,32,41,-52.0,-300.0,248.0,False,0,2,13,4,2,False,True,220.0,4,11,29,6.403608901993721,6.406122102009249
13,ok,openjij-sqa,90.0,90.0,110.0,20.0,default,32,42,-126.0,-300.0,174.0,True,0,0,14,8,1,False,True,110.0,8,7,24,6.2804263590078335,6.28301605899469
14,ok,openjij-sqa,90.0,90.0,110.0,20.0,default,32,43,36.0,-300.0,336.0,True,0,0,13,5,2,False,True,220.0,5,10,27,6.400344822992338,6.4029771229979815
15,ok,openjij-sqa,90.0,90.0,110.0,20.0,default,32,44,36.0,-300.0,336.0,True,0,0,13,3,2,False,True,220.0,3,12,34,6.454369227998541,6.45690122799715
16,ok,openjij-sqa,90.0,90.0,110.0,25.0,default,32,40,30.0,-375.0,405.0,False,0,2,12,3,3,False,False,330.0,3,12,66,6.36938993500371,6.371892934999778
17,ok,openjij-sqa,90.0,90.0,110.0,25.0,default,32,41,-20.0,-375.0,355.0,True,0,0,13,3,2,False,True,220.0,3,12,53,6.29178303500521,6.29596813399985
18,ok,openjij-sqa,90.0,90.0,110.0,25.0,default,32,42,-195.0,-375.0,180.0,True,0,0,14,9,1,False,True,110.0,9,6,22,6.119800258995383,6.123546458999044
19,ok,openjij-sqa,90.0,90.0,110.0,25.0,default,32,43,-35.0,-375.0,340.0,True,0,0,13,6,2,False,True,220.0,6,9,52,6.113065447003464,6.1158294469933026
