case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,annealer_seed,energy,true_energy,energy_gap,valid,read_violations,position_violations,missing_edge_count,connected_layout,acceptable_connected_layout,missing_edge_cost,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
1,ok,openjij-sqa,100.0,100.0,100.0,10.0,default,32,40,-12.0,-150.0,138.0,True,0,0,1,False,True,100.0,5,10,38,8.701473018998513,8.704064921010286
2,ok,openjij-sqa,100.0,100.0,100.0,10.0,default,32,41,-12.0,-150.0,138.0,True,0,0,1,False,True,100.0,5,10,29,5.093205853001564,5.116160463003325
3,ok,openjij-sqa,100.0,100.0,100.0,10.0,default,32,42,96.0,-150.0,246.0,True,0,0,2,False,True,200.0,2,13,53,5.370842181000626,5.3736489830043865
4,ok,openjij-sqa,100.0,100.0,100.0,10.0,default,32,43,72.0,-150.0,222.0,False,0,2,2,False,True,200.0,8,7,44,5.437025503997575,5.440013507002732
5,ok,openjij-sqa,100.0,100.0,100.0,10.0,default,32,44,-14.0,-150.0,136.0,True,0,0,1,False,True,100.0,6,9,26,9.227332404989284,9.229937507989234
6,ok,openjij-sqa,100.0,100.0,100.0,15.0,default,32,40,23.0,-225.0,248.0,True,0,0,2,False,True,200.0,9,6,29,8.22596429999976,8.228426001005573
7,ok,openjij-sqa,100.0,100.0,100.0,15.0,default,32,41,-71.0,-225.0,154.0,True,0,0,1,False,True,100.0,8,7,32,4.624723379005445,4.627775279994239
8,ok,openjij-sqa,100.0,100.0,100.0,15.0,default,32,42,59.0,-225.0,284.0,True,0,0,2,False,True,200.0,5,10,46,4.600305397005286,4.620042298003682
9,ok,openjij-sqa,100.0,100.0,100.0,15.0,default,32,43,53.0,-225.0,278.0,True,0,0,2,False,True,200.0,4,11,51,4.902427348002675,4.905001447987161
10,ok,openjij-sqa,100.0,100.0,100.0,15.0,default,32,44,-80.0,-225.0,145.0,True,0,0,1,False,True,100.0,9,6,27,4.668677968002157,4.671382366999751
11,ok,openjij-sqa,100.0,100.0,100.0,20.0,default,32,40,-128.0,-300.0,172.0,True,0,0,1,False,True,100.0,6,9,34,4.60960191799677,4.612181117001455
12,ok,openjij-sqa,100.0,100.0,100.0,20.0,default,32,41,-8.0,-300.0,292.0,True,0,0,2,False,True,200.0,7,8,59,4.659026844994514,4.661693943999126
13,ok,openjij-sqa,100.0,100.0,100.0,20.0,default,32,42,-20.0,-300.0,280.0,True,0,0,2,False,True,200.0,7,8,23,4.691596012009541,4.694093412006623
14,ok,openjij-sqa,100.0,100.0,100.0,20.0,default,32,43,-148.0,-300.0,152.0,True,0,0,1,False,True,100.0,10,5,11,4.793325664999429,4.7958946650032885
15,ok,openjij-sqa,100.0,100.0,100.0,20.0,default,32,44,-16.0,-300.0,284.0,True,0,0,2,False,True,200.0,6,9,55,4.745248450999497,4.747750550988712
16,ok,openjij-sqa,100.0,100.0,100.0,25.0,default,32,40,-65.0,-375.0,310.0,True,0,0,2,False,True,200.0,7,8,70,4.6720826309901895,4.6745010309969075
17,ok,openjij-sqa,100.0,100.0,100.0,25.0,default,32,41,-190.0,-375.0,185.0,True,0,0,1,False,True,100.0,6,9,46,4.6626787450077245,4.665230145008536
18,ok,openjij-sqa,100.0,100.0,100.0,25.0,default,32,42,-90.0,-375.0,285.0,True,0,0,2,False,True,200.0,8,7,9,4.7103172820061445,4.712863880995428
19,ok,openjij-sqa,100.0,100.0,100.0,25.0,default,32,43,-180.0,-375.0,195.0,True,0,0,1,False,True,100.0,6,9,33,4.857861823998974,4.8612035239930265
20,ok,openjij-sqa,100.0,100.0,100.0,25.0,default,32,44,-65.0,-375.0,310.0,True,0,0,2,False,True,200.0,7,8,11,4.85643695401086,4.859006754006259
21,ok,openjij-sqa,100.0,100.0,120.0,10.0,default,32,40,154.0,-150.0,304.0,True,0,0,2,False,True,240.0,3,12,39,4.716753593005706,4.719349292994593
22,ok,openjij-sqa,100.0,100.0,120.0,10.0,default,32,41,134.0,-150.0,284.0,True,0,0,2,False,True,240.0,5,10,32,4.9510151440044865,4.953537043998949
23,ok,openjij-sqa,100.0,100.0,120.0,10.0,default,32,42,0.0,-150.0,150.0,True,0,0,1,False,True,120.0,7,8,36,5.043992806007736,5.046538106005755
24,ok,openjij-sqa,100.0,100.0,120.0,10.0,default,32,43,148.0,-150.0,298.0,True,0,0,2,False,True,240.0,2,13,65,4.91382499098836,4.916467890012427
25,ok,openjij-sqa,100.0,100.0,120.0,10.0,default,32,44,124.0,-150.0,274.0,True,0,0,2,False,True,240.0,10,5,36,4.880951468003332,4.883412467999733
26,ok,openjij-sqa,100.0,100.0,120.0,15.0,default,32,40,-60.0,-225.0,165.0,True,0,0,1,False,True,120.0,7,8,24,4.806299709001905,4.809092009003507
27,ok,openjij-sqa,100.0,100.0,120.0,15.0,default,32,41,93.0,-225.0,318.0,True,0,0,2,False,True,240.0,4,11,32,5.023634108991246,5.0261578089994146
28,ok,openjij-sqa,100.0,100.0,120.0,15.0,default,32,42,8.0,-225.0,233.0,False,0,2,2,False,True,240.0,8,7,52,4.951479602998006,4.954100602990366
29,ok,openjij-sqa,100.0,100.0,120.0,15.0,default,32,43,111.0,-225.0,336.0,True,0,0,2,False,True,240.0,2,13,52,4.786901932995534,4.789574532987899
