case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,annealer_seed,energy,true_energy,energy_gap,valid,read_violations,position_violations,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
1,ok,openjij-sqa,70.0,70.0,55.0,35.0,default,32,40,-400.0,-525.0,125.0,True,0,0,11,4,22,7.767065492007532,7.768981091998285
2,ok,openjij-sqa,70.0,70.0,55.0,35.0,default,32,41,-260.0,-525.0,265.0,False,0,2,8,7,22,5.2657658889947925,5.283953389996896
3,ok,openjij-sqa,70.0,70.0,55.0,35.0,default,32,42,-364.0,-525.0,161.0,False,0,2,11,4,14,5.277610909004579,5.281583609001245
4,ok,openjij-sqa,70.0,70.0,55.0,35.0,default,32,43,-365.0,-525.0,160.0,True,0,0,10,5,41,5.441303984989645,5.444380184999318
5,ok,openjij-sqa,70.0,70.0,55.0,35.0,default,32,44,-261.0,-525.0,264.0,True,0,0,6,9,23,5.292147647996899,5.29606705000333
6,ok,openjij-sqa,70.0,70.0,55.0,40.0,default,32,40,-258.0,-600.0,342.0,True,0,0,2,13,43,5.257627276005223,5.2600855759956175
7,ok,openjij-sqa,70.0,70.0,55.0,40.0,default,32,41,-277.0,-600.0,323.0,False,0,2,6,9,34,5.157639743003529,5.161696144001326
8,ok,openjij-sqa,70.0,70.0,55.0,40.0,default,32,42,-301.0,-600.0,299.0,False,0,2,8,7,67,5.169104500993853,5.189827102993149
9,ok,openjij-sqa,70.0,70.0,55.0,40.0,default,32,43,-428.0,-600.0,172.0,False,0,2,11,4,21,5.243470941990381,5.247798743002932
10,ok,openjij-sqa,70.0,70.0,55.0,40.0,default,32,44,-370.0,-600.0,230.0,True,0,0,11,4,11,5.250040689003072,5.252860488995793
11,ok,openjij-sqa,70.0,70.0,55.0,45.0,default,32,40,-467.0,-675.0,208.0,True,0,0,4,11,20,5.216189116996247,5.2195034160104115
12,ok,openjij-sqa,70.0,70.0,55.0,45.0,default,32,41,-359.0,-675.0,316.0,False,0,4,7,8,25,5.430026041998644,5.432729342006496
13,ok,openjij-sqa,70.0,70.0,55.0,45.0,default,32,42,-448.0,-675.0,227.0,True,0,0,11,4,43,5.22649953099608,5.2289690309989965
