case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,annealer_seed,energy,true_energy,energy_gap,valid,read_violations,position_violations,missing_edge_count,connected_layout,missing_edge_cost,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
1,ok,openjij-sqa,75.0,75.0,60.0,20.0,default,32,40,-76.0,-300.0,224.0,True,0,0,2,False,120.0,3,12,62,7.25237010300043,7.254274402992451
2,ok,openjij-sqa,75.0,75.0,60.0,20.0,default,32,41,-128.0,-300.0,172.0,True,0,0,2,False,120.0,10,5,65,5.109341192001011,5.127891092997743
3,ok,openjij-sqa,75.0,75.0,60.0,20.0,default,32,42,-92.0,-300.0,208.0,True,0,0,2,False,120.0,6,9,33,4.659220702000312,4.661698702999274
4,ok,openjij-sqa,75.0,75.0,60.0,20.0,default,32,43,-88.0,-300.0,212.0,True,0,0,2,False,120.0,6,9,53,4.677438516009715,4.679991016993881
5,ok,openjij-sqa,75.0,75.0,60.0,20.0,default,32,44,-84.0,-300.0,216.0,True,0,0,2,False,120.0,7,8,15,4.637908962991787,4.640786863994435
6,ok,openjij-sqa,75.0,75.0,60.0,30.0,default,32,40,-210.0,-450.0,240.0,True,0,0,2,False,120.0,5,10,11,4.710734763008077,4.71319946400763
7,ok,openjij-sqa,75.0,75.0,60.0,30.0,default,32,41,-150.0,-450.0,300.0,True,0,0,3,False,180.0,8,7,79,4.778960677998839,4.781684977991972
8,ok,openjij-sqa,75.0,75.0,60.0,30.0,default,32,42,-222.0,-450.0,228.0,False,0,2,2,False,120.0,6,9,42,4.68880275299307,4.708134254004108
9,ok,openjij-sqa,75.0,75.0,60.0,30.0,default,32,43,-294.0,-450.0,156.0,True,0,0,1,False,60.0,8,7,43,4.722148594999453,4.724662194988923
10,ok,openjij-sqa,75.0,75.0,60.0,30.0,default,32,44,-210.0,-450.0,240.0,False,0,2,2,False,120.0,4,11,26,4.688905180009897,4.691501380002592
11,ok,openjij-sqa,75.0,75.0,60.0,40.0,default,32,40,-344.0,-600.0,256.0,True,0,0,2,False,120.0,6,9,42,4.656669882009737,4.659157582005719
12,ok,openjij-sqa,75.0,75.0,60.0,40.0,default,32,41,-350.0,-600.0,250.0,False,1,1,3,False,180.0,7,8,20,4.668293242997606,4.670792742996127
13,ok,openjij-sqa,75.0,75.0,60.0,40.0,default,32,42,-600.0,-600.0,0.0,True,0,0,0,True,0.0,15,0,0,6.5716116719995625,6.574074072006624
14,ok,openjij-sqa,75.0,75.0,60.0,40.0,default,32,43,-452.0,-600.0,148.0,True,0,0,1,False,60.0,10,5,8,4.614867915006471,4.618688814996858
15,ok,openjij-sqa,75.0,75.0,60.0,40.0,default,32,44,-376.0,-600.0,224.0,True,0,0,2,False,120.0,11,4,17,4.566491170990048,4.568991371008451
16,ok,openjij-sqa,75.0,75.0,80.0,20.0,default,32,40,-40.0,-300.0,260.0,True,0,0,2,False,160.0,6,9,56,5.429704961003154,5.432336561003467
17,ok,openjij-sqa,75.0,75.0,80.0,20.0,default,32,41,-16.0,-300.0,284.0,True,0,0,2,False,160.0,4,11,48,4.731793557002675,4.734764856999391
18,ok,openjij-sqa,75.0,75.0,80.0,20.0,default,32,42,-48.0,-300.0,252.0,True,0,0,2,False,160.0,6,9,41,4.606645449995995,4.609238849996473
19,ok,openjij-sqa,75.0,75.0,80.0,20.0,default,32,43,-148.0,-300.0,152.0,True,0,0,1,False,80.0,6,9,19,4.625014477991499,4.627755076988251
20,ok,openjij-sqa,75.0,75.0,80.0,20.0,default,32,44,-134.0,-300.0,166.0,False,0,2,2,False,160.0,10,5,39,4.660996609003632,4.6638776089967
21,ok,openjij-sqa,75.0,75.0,80.0,30.0,default,32,40,-256.0,-450.0,194.0,True,0,0,1,False,80.0,4,11,31,4.659551069998997,4.663225169992074
22,ok,openjij-sqa,75.0,75.0,80.0,30.0,default,32,41,-170.0,-450.0,280.0,True,0,0,2,False,160.0,9,6,50,4.596716272004414,4.6000353720010025
23,ok,openjij-sqa,75.0,75.0,80.0,30.0,default,32,42,-262.0,-450.0,188.0,True,0,0,1,False,80.0,5,10,30,4.569236341005308,4.571797041004174
24,ok,openjij-sqa,75.0,75.0,80.0,30.0,default,32,43,-164.0,-450.0,286.0,True,0,0,2,False,160.0,7,8,50,4.710040399993886,4.712648701010039
25,ok,openjij-sqa,75.0,75.0,80.0,30.0,default,32,44,-170.0,-450.0,280.0,True,0,0,2,False,160.0,9,6,17,4.604278072001762,4.6068506720039295
26,ok,openjij-sqa,75.0,75.0,80.0,40.0,default,32,40,-274.0,-600.0,326.0,False,0,2,3,False,240.0,9,6,19,4.823554503003834,4.826227502999245
27,ok,openjij-sqa,75.0,75.0,80.0,40.0,default,32,41,-416.0,-600.0,184.0,True,0,0,1,False,80.0,8,7,50,5.0243161840044195,5.0268469840084435
28,ok,openjij-sqa,75.0,75.0,80.0,40.0,default,32,42,-280.0,-600.0,320.0,True,0,0,2,False,160.0,6,9,40,4.785472996998578,4.787994396989234
29,ok,openjij-sqa,75.0,75.0,80.0,40.0,default,32,43,-440.0,-600.0,160.0,True,0,0,1,False,80.0,11,4,14,5.076823490002425,5.079395990003832
30,ok,openjij-sqa,75.0,75.0,80.0,40.0,default,32,44,-268.0,-600.0,332.0,False,0,4,4,False,320.0,8,7,15,24.424752485996578,24.42732838600932
31,ok,openjij-sqa,75.0,75.0,100.0,20.0,default,32,40,-136.0,-300.0,164.0,True,0,0,1,False,100.0,7,8,30,5.8866946320049465,5.889890332007781
32,ok,openjij-sqa,75.0,75.0,100.0,20.0,default,32,41,-132.0,-300.0,168.0,True,0,0,1,False,100.0,7,8,29,5.911403927995707,5.91386202799913
33,ok,openjij-sqa,75.0,75.0,100.0,20.0,default,32,42,-106.0,-300.0,194.0,False,0,2,2,False,200.0,8,7,34,6.7473062299977755,6.750785530006397
34,ok,openjij-sqa,75.0,75.0,100.0,20.0,default,32,43,-16.0,-300.0,284.0,True,0,0,2,False,200.0,9,6,15,5.105792518006638,5.108786017997772
35,ok,openjij-sqa,75.0,75.0,100.0,20.0,default,32,44,-132.0,-300.0,168.0,True,0,0,1,False,100.0,8,7,22,5.204262318002293,5.207462317994214
36,ok,openjij-sqa,75.0,75.0,100.0,30.0,default,32,40,-130.0,-450.0,320.0,True,0,0,2,False,200.0,8,7,44,5.102319116995204,5.104905316999066
37,ok,openjij-sqa,75.0,75.0,100.0,30.0,default,32,41,-142.0,-450.0,308.0,True,0,0,2,False,200.0,8,7,18,4.8295981109986315,4.832069811003748
38,ok,openjij-sqa,75.0,75.0,100.0,30.0,default,32,42,-228.0,-450.0,222.0,False,0,2,2,False,200.0,7,8,16,6.223932609995245,6.226561210001819
39,ok,openjij-sqa,75.0,75.0,100.0,30.0,default,32,43,-138.0,-450.0,312.0,False,0,4,4,False,400.0,8,7,69,10.166214698998374,10.169123198997113
40,ok,openjij-sqa,75.0,75.0,100.0,30.0,default,32,44,-276.0,-450.0,174.0,False,0,2,2,False,200.0,11,4,19,5.2138500759901945,5.216319575993111
41,ok,openjij-sqa,75.0,75.0,100.0,40.0,default,32,40,-370.0,-600.0,230.0,False,0,2,2,False,200.0,8,7,59,4.548547045997111,4.551173045998439
42,ok,openjij-sqa,75.0,75.0,100.0,40.0,default,32,41,-340.0,-600.0,260.0,False,1,3,3,False,300.0,5,10,32,4.8219987569900695,4.8244810570031404
43,ok,openjij-sqa,75.0,75.0,100.0,40.0,default,32,42,-372.0,-600.0,228.0,True,0,0,1,False,100.0,5,10,22,4.529202866004198,4.531912866004859
44,ok,openjij-sqa,75.0,75.0,100.0,40.0,default,32,43,-362.0,-600.0,238.0,False,0,2,1,False,100.0,7,8,17,4.722680942999432,4.725265342989587
