case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,annealer_seed,energy,true_energy,energy_gap,valid,read_violations,position_violations,legal_edge_count,legal_true_adjacent_count,missing_edge_count,connected_layout,acceptable_connected_layout,missing_edge_cost,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
1,ok,openjij-sqa,300.0,300.0,300.0,25.0,default,32,42,335.0,-375.0,710.0,True,0,0,13,7,2,False,True,600.0,7,8,38,7.560499757004436,7.562452554004267
2,ok,openjij-sqa,300.0,300.0,300.0,25.0,default,32,43,355.0,-375.0,730.0,True,0,0,13,5,2,False,True,600.0,5,10,47,5.016864097997313,5.0364708970009815
3,ok,openjij-sqa,300.0,300.0,300.0,25.0,default,32,44,365.0,-375.0,740.0,True,0,0,13,3,2,False,True,600.0,3,12,61,4.999780683021527,5.0022787830093876
4,ok,openjij-sqa,300.0,300.0,600.0,25.0,default,32,42,885.0,-375.0,1260.0,False,0,4,11,6,4,False,False,2400.0,6,9,54,5.28499580398784,5.28756920498563
5,ok,openjij-sqa,300.0,300.0,600.0,25.0,default,32,43,865.0,-375.0,1240.0,False,0,4,13,5,2,False,True,1200.0,5,10,24,4.395292446977692,4.398492847016314
6,ok,openjij-sqa,300.0,300.0,600.0,25.0,default,32,44,310.0,-375.0,685.0,False,0,2,13,4,2,False,True,1200.0,4,11,41,4.512836434994824,4.515761434973683
7,ok,openjij-sqa,300.0,300.0,1000.0,25.0,default,32,42,295.0,-375.0,670.0,False,0,2,13,5,2,False,True,2000.0,5,10,48,4.580361433996586,4.582967234018724
8,ok,openjij-sqa,300.0,300.0,1000.0,25.0,default,32,43,860.0,-375.0,1235.0,False,0,4,11,5,4,False,False,4000.0,5,10,37,4.430142886994872,4.4484200879815035
9,ok,openjij-sqa,300.0,300.0,1000.0,25.0,default,32,44,305.0,-375.0,680.0,False,0,2,13,6,2,False,True,2000.0,6,9,27,4.41360867099138,4.416158670996083
10,ok,openjij-sqa,600.0,600.0,300.0,25.0,default,32,42,355.0,-375.0,730.0,True,0,0,13,6,2,False,True,600.0,6,9,22,4.875619480997557,4.878448681003647
11,ok,openjij-sqa,600.0,600.0,300.0,25.0,default,32,43,685.0,-375.0,1060.0,True,0,0,12,4,3,False,False,900.0,4,11,36,4.456026837986428,4.459685137990164
12,ok,openjij-sqa,600.0,600.0,300.0,25.0,default,32,44,695.0,-375.0,1070.0,True,0,0,12,3,3,False,False,900.0,3,12,48,4.403063944017049,4.405584743974032
13,ok,openjij-sqa,600.0,600.0,600.0,25.0,default,32,42,925.0,-375.0,1300.0,True,0,0,13,7,2,False,True,1200.0,7,8,26,4.431547899992438,4.435836999997264
14,ok,openjij-sqa,600.0,600.0,600.0,25.0,default,32,43,905.0,-375.0,1280.0,False,0,2,13,5,2,False,True,1200.0,5,10,42,4.440933172998484,4.443620572972577
15,ok,openjij-sqa,600.0,600.0,600.0,25.0,default,32,44,315.0,-375.0,690.0,True,0,0,14,4,1,False,True,600.0,4,11,35,4.423246098012896,4.427066397998715
16,ok,openjij-sqa,600.0,600.0,1000.0,25.0,default,32,42,900.0,-375.0,1275.0,False,0,2,13,5,2,False,True,2000.0,5,10,33,4.4535100430075545,4.456464543007314
17,ok,openjij-sqa,600.0,600.0,1000.0,25.0,default,32,43,715.0,-375.0,1090.0,True,0,0,14,5,1,False,True,1000.0,5,10,34,4.423979040991981,4.426534540980356
18,ok,openjij-sqa,600.0,600.0,1000.0,25.0,default,32,44,1725.0,-375.0,2100.0,True,0,0,13,9,2,False,True,2000.0,9,6,26,4.422666539991042,4.4261647410166916
19,ok,openjij-sqa,1000.0,1000.0,300.0,25.0,default,32,42,1605.0,-375.0,1980.0,True,0,0,9,5,6,False,False,1800.0,5,10,53,4.759243806998711,4.761796606995631
20,ok,openjij-sqa,1000.0,1000.0,300.0,25.0,default,32,43,1320.0,-375.0,1695.0,True,0,0,10,4,5,False,False,1500.0,4,11,66,4.371287519985344,4.374274119996699
21,ok,openjij-sqa,1000.0,1000.0,300.0,25.0,default,32,44,705.0,-375.0,1080.0,True,0,0,12,2,3,False,False,900.0,2,13,61,4.472098247992108,4.474802348006051
22,ok,openjij-sqa,1000.0,1000.0,600.0,25.0,default,32,42,1560.0,-375.0,1935.0,True,0,0,12,6,3,False,False,1800.0,6,9,59,4.523426191997714,4.5263589920068625
23,ok,openjij-sqa,1000.0,1000.0,600.0,25.0,default,32,43,1590.0,-375.0,1965.0,True,0,0,12,3,3,False,False,1800.0,3,12,44,4.3856007709982805,4.388743670977419
24,ok,openjij-sqa,1000.0,1000.0,600.0,25.0,default,32,44,1555.0,-375.0,1930.0,True,0,0,12,5,3,False,False,1800.0,5,10,57,4.461728661000961,4.465861061005853
25,ok,openjij-sqa,1000.0,1000.0,1000.0,25.0,default,32,42,720.0,-375.0,1095.0,True,0,0,14,5,1,False,True,1000.0,5,10,34,4.401880210003583,4.405108009988908
26,ok,openjij-sqa,1000.0,1000.0,1000.0,25.0,default,32,43,1740.0,-375.0,2115.0,True,0,0,13,7,2,False,True,2000.0,7,8,51,4.5317189149791375,4.534306515008211
27,ok,openjij-sqa,1000.0,1000.0,1000.0,25.0,default,32,44,1760.0,-375.0,2135.0,True,0,0,13,5,2,False,True,2000.0,5,10,50,4.54234942101175,4.545338021009229
