case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,annealer_seed,energy,true_energy,energy_gap,valid,read_violations,position_violations,missing_edge_count,connected_layout,acceptable_connected_layout,missing_edge_cost,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
1,ok,openjij-sqa,75.0,75.0,120.0,10.0,default,32,40,2.0,-150.0,152.0,True,0,0,1,False,True,120.0,8,7,39,7.104785777002689,7.106692677989486
2,ok,openjij-sqa,75.0,75.0,120.0,10.0,default,32,41,158.0,-150.0,308.0,False,0,2,3,False,False,360.0,6,9,23,4.759904651000397,4.778226752998307
3,ok,openjij-sqa,75.0,75.0,120.0,10.0,default,32,42,142.0,-150.0,292.0,True,0,0,2,False,True,240.0,7,8,27,4.658603812000365,4.661063712992473
4,ok,openjij-sqa,75.0,75.0,120.0,10.0,default,32,43,126.0,-150.0,276.0,True,0,0,2,False,True,240.0,8,7,12,4.691868394991616,4.6944889959995635
5,ok,openjij-sqa,75.0,75.0,120.0,10.0,default,32,44,138.0,-150.0,288.0,True,0,0,2,False,True,240.0,6,9,60,4.981764822005061,4.984315823006909
6,ok,openjij-sqa,75.0,75.0,120.0,20.0,default,32,40,12.0,-300.0,312.0,True,0,0,2,False,True,240.0,10,5,39,5.082604805997107,5.085088805994019
7,ok,openjij-sqa,75.0,75.0,120.0,20.0,default,32,41,-86.0,-300.0,214.0,False,0,2,2,False,True,240.0,4,11,37,4.96171281900024,4.964469120008289
8,ok,openjij-sqa,75.0,75.0,120.0,20.0,default,32,42,-124.0,-300.0,176.0,True,0,0,1,False,True,120.0,7,8,27,5.137537302012788,5.155195097991964
9,ok,openjij-sqa,75.0,75.0,120.0,20.0,default,32,43,-108.0,-300.0,192.0,True,0,0,1,False,True,120.0,8,7,27,4.852394275992992,4.855036077002296
10,ok,openjij-sqa,75.0,75.0,120.0,20.0,default,32,44,-82.0,-300.0,218.0,False,1,1,2,False,True,240.0,10,5,29,4.786142174998531,4.788571176002733
11,ok,openjij-sqa,75.0,75.0,120.0,30.0,default,32,40,-78.0,-450.0,372.0,False,0,4,3,False,False,360.0,3,12,73,4.684044786001323,4.686602379006217
12,ok,openjij-sqa,75.0,75.0,120.0,30.0,default,32,41,-114.0,-450.0,336.0,False,0,4,4,False,False,480.0,5,10,24,4.737256719992729,4.740045419996022
13,ok,openjij-sqa,75.0,75.0,120.0,30.0,default,32,42,-90.0,-450.0,360.0,False,0,2,2,False,True,240.0,6,9,45,4.799346769999829,4.801842070999555
14,ok,openjij-sqa,75.0,75.0,120.0,30.0,default,32,43,-234.0,-450.0,216.0,False,0,2,1,False,True,120.0,6,9,22,4.960580828003003,4.963520528006484
15,ok,openjij-sqa,75.0,75.0,120.0,30.0,default,32,44,-60.0,-450.0,390.0,False,0,2,3,False,False,360.0,5,10,29,5.122214218994486,5.124785221007187
16,ok,openjij-sqa,75.0,75.0,160.0,10.0,default,32,40,16.0,-150.0,166.0,False,0,2,1,False,True,160.0,10,5,8,4.728859235998243,4.731332835988724
17,ok,openjij-sqa,75.0,75.0,160.0,10.0,default,32,41,18.0,-150.0,168.0,False,0,2,2,False,True,320.0,10,5,64,5.611375218999456,5.613893018991803
18,ok,openjij-sqa,75.0,75.0,160.0,10.0,default,32,42,24.0,-150.0,174.0,False,0,2,2,False,True,320.0,7,8,53,6.691005123007926,6.6935939230024815
19,ok,openjij-sqa,75.0,75.0,160.0,10.0,default,32,43,28.0,-150.0,178.0,False,0,2,2,False,True,320.0,7,8,47,6.570648663997417,6.573200364000513
20,ok,openjij-sqa,75.0,75.0,160.0,10.0,default,32,44,14.0,-150.0,164.0,False,0,2,1,False,True,160.0,12,3,6,6.524502763000783,6.527597762993537
21,ok,openjij-sqa,75.0,75.0,160.0,20.0,default,32,40,40.0,-300.0,340.0,False,0,4,4,False,False,640.0,5,10,43,6.137773643000401,6.140904843006865
22,ok,openjij-sqa,75.0,75.0,160.0,20.0,default,32,41,-134.0,-300.0,166.0,False,0,2,1,False,True,160.0,10,5,3,4.665488698010449,4.668049098007032
23,ok,openjij-sqa,75.0,75.0,160.0,20.0,default,32,42,24.0,-300.0,324.0,False,0,4,3,False,False,480.0,4,11,49,4.650749862994417,4.653376463989844
24,ok,openjij-sqa,75.0,75.0,160.0,20.0,default,32,43,-106.0,-300.0,194.0,False,0,2,1,False,True,160.0,8,7,23,4.63163957100187,4.634805170993786
25,ok,openjij-sqa,75.0,75.0,160.0,20.0,default,32,44,20.0,-300.0,320.0,False,1,3,2,False,True,320.0,4,11,42,4.632637975009857,4.6354736749926815
26,ok,openjij-sqa,75.0,75.0,160.0,30.0,default,32,40,-138.0,-450.0,312.0,False,0,4,2,False,True,320.0,6,9,17,4.698580772994319,4.701232373001403
27,ok,openjij-sqa,75.0,75.0,160.0,30.0,default,32,41,-228.0,-450.0,222.0,False,0,2,1,False,True,160.0,6,9,24,4.626902947988128,4.629355748009402
28,ok,openjij-sqa,75.0,75.0,160.0,30.0,default,32,42,-114.0,-450.0,336.0,False,0,4,2,False,True,320.0,8,7,69,4.72098568698857,4.724174987000879
29,ok,openjij-sqa,75.0,75.0,160.0,30.0,default,32,43,-84.0,-450.0,366.0,False,0,4,3,False,False,480.0,6,9,22,4.739637695995043,4.742142995994072
30,ok,openjij-sqa,75.0,75.0,160.0,30.0,default,32,44,-234.0,-450.0,216.0,False,0,2,2,False,True,320.0,8,7,40,4.700625468001817,4.704286267995485
31,ok,openjij-sqa,75.0,75.0,200.0,10.0,default,32,40,26.0,-150.0,176.0,False,0,2,1,False,True,200.0,10,5,56,4.685465968999779,4.688851468003122
32,ok,openjij-sqa,75.0,75.0,200.0,10.0,default,32,41,144.0,-150.0,294.0,False,1,3,4,False,False,800.0,8,7,50,8.329223451000871,8.33219734999875
33,ok,openjij-sqa,75.0,75.0,200.0,10.0,default,32,42,26.0,-150.0,176.0,False,0,2,2,False,True,400.0,7,8,39,5.0056282930017915,5.008672893003677
34,ok,openjij-sqa,75.0,75.0,200.0,10.0,default,32,43,178.0,-150.0,328.0,False,0,4,4,False,False,800.0,4,11,38,4.590059743990423,4.59303014400939
35,ok,openjij-sqa,75.0,75.0,200.0,10.0,default,32,44,26.0,-150.0,176.0,False,0,2,1,False,True,200.0,5,10,22,4.6186486539954785,4.621108653998817
36,ok,openjij-sqa,75.0,75.0,200.0,20.0,default,32,40,52.0,-300.0,352.0,False,0,4,3,False,False,600.0,5,10,60,4.617496817998472,4.620102218003012
37,ok,openjij-sqa,75.0,75.0,200.0,20.0,default,32,41,-86.0,-300.0,214.0,False,0,2,2,False,True,400.0,5,10,46,4.693271816999186,4.695771815997432
38,ok,openjij-sqa,75.0,75.0,200.0,20.0,default,32,42,-94.0,-300.0,206.0,False,0,2,2,False,True,400.0,5,10,52,4.7187271080038045,4.721299607001129
39,ok,openjij-sqa,75.0,75.0,200.0,20.0,default,32,43,52.0,-300.0,352.0,False,0,4,3,False,False,600.0,3,12,41,4.830451380999875,4.832955881007365
40,ok,openjij-sqa,75.0,75.0,200.0,20.0,default,32,44,-98.0,-300.0,202.0,False,0,2,1,False,True,200.0,4,11,30,4.8757889609987615,4.878297161005321
41,ok,openjij-sqa,75.0,75.0,200.0,30.0,default,32,40,-222.0,-450.0,228.0,False,0,2,1,False,True,200.0,7,8,29,4.858849213007488,4.861463813009323
42,ok,openjij-sqa,75.0,75.0,200.0,30.0,default,32,41,-96.0,-450.0,354.0,False,0,4,3,False,False,600.0,3,12,24,4.798481507998076,4.800979808002012
43,ok,openjij-sqa,75.0,75.0,200.0,30.0,default,32,42,-108.0,-450.0,342.0,False,0,4,2,False,True,400.0,8,7,14,5.134002241000417,5.136690841012751
44,ok,openjij-sqa,75.0,75.0,200.0,30.0,default,32,43,-42.0,-450.0,408.0,False,0,4,3,False,False,600.0,2,13,23,5.220394219009904,5.222980619000737
45,ok,openjij-sqa,75.0,75.0,200.0,30.0,default,32,44,-84.0,-450.0,366.0,False,0,4,4,False,False,800.0,3,12,44,4.680996962997597,4.6836810629902175
46,ok,openjij-sqa,75.0,75.0,300.0,10.0,default,32,40,326.0,-150.0,476.0,False,0,6,4,False,False,1200.0,4,11,24,4.815007051991415,4.817593051993754
47,ok,openjij-sqa,75.0,75.0,300.0,10.0,default,32,41,190.0,-150.0,340.0,False,0,4,3,False,False,900.0,5,10,55,5.151218180995784,5.153695480999886
48,ok,openjij-sqa,75.0,75.0,300.0,10.0,default,32,42,22.0,-150.0,172.0,False,0,2,1,False,True,300.0,9,6,20,4.822347816996626,4.825497116995393
49,ok,openjij-sqa,75.0,75.0,300.0,10.0,default,32,43,168.0,-150.0,318.0,False,0,4,4,False,False,1200.0,5,10,38,4.72641843999736,4.728919739995035
50,ok,openjij-sqa,75.0,75.0,300.0,10.0,default,32,44,26.0,-150.0,176.0,False,0,2,2,False,True,600.0,6,9,42,5.08982783499232,5.092344934993889
51,ok,openjij-sqa,75.0,75.0,300.0,20.0,default,32,40,68.0,-300.0,368.0,False,0,4,4,False,False,1200.0,5,10,45,5.084013681000215,5.086947981006233
52,ok,openjij-sqa,75.0,75.0,300.0,20.0,default,32,41,36.0,-300.0,336.0,False,0,4,3,False,False,900.0,6,9,60,4.923431948001962,4.9260401479987195
53,ok,openjij-sqa,75.0,75.0,300.0,20.0,default,32,42,24.0,-300.0,324.0,False,0,4,4,False,False,1200.0,5,10,40,5.061574449006002,5.064142549003009
54,ok,openjij-sqa,75.0,75.0,300.0,20.0,default,32,43,-126.0,-300.0,174.0,False,0,2,2,False,True,600.0,8,7,63,7.156715215998702,7.159813716003555
55,ok,openjij-sqa,75.0,75.0,300.0,20.0,default,32,44,-82.0,-300.0,218.0,False,0,2,2,False,True,600.0,4,11,38,6.77839050500188,6.781943705005688
56,ok,openjij-sqa,75.0,75.0,300.0,30.0,default,32,40,-66.0,-450.0,384.0,False,0,4,3,False,False,900.0,3,12,25,7.233802533999551,7.253098433997366
57,ok,openjij-sqa,75.0,75.0,300.0,30.0,default,32,41,-222.0,-450.0,228.0,False,0,2,1,False,True,300.0,2,13,28,5.055038163001882,5.0583141630049795
58,ok,openjij-sqa,75.0,75.0,300.0,30.0,default,32,42,-222.0,-450.0,228.0,False,0,2,1,False,True,300.0,5,10,32,5.183838148994255,5.186754248992656
59,ok,openjij-sqa,75.0,75.0,300.0,30.0,default,32,43,-90.0,-450.0,360.0,False,0,4,4,False,False,1200.0,6,9,40,4.9746111200074665,4.97713611999643
60,ok,openjij-sqa,75.0,75.0,300.0,30.0,default,32,44,-48.0,-450.0,402.0,False,0,4,3,False,False,900.0,3,12,50,6.226996710000094,6.229498310000054
61,ok,openjij-sqa,100.0,100.0,120.0,10.0,default,32,40,154.0,-150.0,304.0,True,0,0,2,False,True,240.0,3,12,39,5.171155707997968,5.174199008004507
62,ok,openjij-sqa,100.0,100.0,120.0,10.0,default,32,41,134.0,-150.0,284.0,True,0,0,2,False,True,240.0,5,10,32,5.151189559008344,5.1538722589903045
63,ok,openjij-sqa,100.0,100.0,120.0,10.0,default,32,42,0.0,-150.0,150.0,True,0,0,1,False,True,120.0,7,8,36,4.928891115006991,4.931396215004497
64,ok,openjij-sqa,100.0,100.0,120.0,10.0,default,32,43,148.0,-150.0,298.0,True,0,0,2,False,True,240.0,2,13,65,4.898371290008072,4.90111158999207
65,ok,openjij-sqa,100.0,100.0,120.0,10.0,default,32,44,124.0,-150.0,274.0,True,0,0,2,False,True,240.0,10,5,36,4.892200254005729,4.895398954002303
66,ok,openjij-sqa,100.0,100.0,120.0,20.0,default,32,40,52.0,-300.0,352.0,True,0,0,2,False,True,240.0,6,9,37,6.6047563739994075,6.607852574001299
67,ok,openjij-sqa,100.0,100.0,120.0,20.0,default,32,41,-124.0,-300.0,176.0,True,0,0,1,False,True,120.0,10,5,14,10.108773111001938,10.111585710998042
68,ok,openjij-sqa,100.0,100.0,120.0,20.0,default,32,42,-116.0,-300.0,184.0,True,0,0,1,False,True,120.0,8,7,23,9.328132847993402,9.331018948010751
69,ok,openjij-sqa,100.0,100.0,120.0,20.0,default,32,43,-144.0,-300.0,156.0,True,0,0,1,False,True,120.0,12,3,3,4.674513416000991,4.677384715992957
70,ok,openjij-sqa,100.0,100.0,120.0,20.0,default,32,44,-112.0,-300.0,188.0,True,0,0,1,False,True,120.0,3,12,29,7.083943707999424,7.087284207998891
71,ok,openjij-sqa,100.0,100.0,120.0,30.0,default,32,40,-96.0,-450.0,354.0,True,0,0,2,False,True,240.0,5,10,48,5.720042643995839,5.7231440439936705
72,ok,openjij-sqa,100.0,100.0,120.0,30.0,default,32,41,-58.0,-450.0,392.0,False,0,2,3,False,False,360.0,8,7,57,6.472710848000133,6.475868747991626
73,ok,openjij-sqa,100.0,100.0,120.0,30.0,default,32,42,-160.0,-450.0,290.0,False,0,2,2,False,True,240.0,8,7,37,5.013879477002774,5.016595276989392
74,ok,openjij-sqa,100.0,100.0,120.0,30.0,default,32,43,-240.0,-450.0,210.0,True,0,0,1,False,True,120.0,7,8,18,6.742052020999836,6.74470222099626
75,ok,openjij-sqa,100.0,100.0,120.0,30.0,default,32,44,-154.0,-450.0,296.0,False,0,2,2,False,True,240.0,7,8,32,6.520999750006013,6.5235492500069086
76,ok,openjij-sqa,100.0,100.0,160.0,10.0,default,32,40,76.0,-150.0,226.0,False,0,2,2,False,True,320.0,8,7,39,4.657473953993758,4.660689053998794
77,ok,openjij-sqa,100.0,100.0,160.0,10.0,default,32,41,232.0,-150.0,382.0,False,1,1,3,False,False,480.0,7,8,28,4.62319003099401,4.625920031001442
78,ok,openjij-sqa,100.0,100.0,160.0,10.0,default,32,42,216.0,-150.0,366.0,True,0,0,2,False,True,320.0,5,10,15,4.572017568003503,4.575839067998459
79,ok,openjij-sqa,100.0,100.0,160.0,10.0,default,32,43,72.0,-150.0,222.0,False,0,2,2,False,True,320.0,8,7,32,4.55301058900659,4.556076688997564
80,ok,openjij-sqa,100.0,100.0,160.0,10.0,default,32,44,222.0,-150.0,372.0,True,0,0,2,False,True,320.0,5,10,60,4.54772108400357,4.55036498401023
81,ok,openjij-sqa,100.0,100.0,160.0,20.0,default,32,40,124.0,-300.0,424.0,True,0,0,2,False,True,320.0,3,12,62,4.663517877997947,4.666586977997213
82,ok,openjij-sqa,100.0,100.0,160.0,20.0,default,32,41,-48.0,-300.0,252.0,False,0,2,2,False,True,320.0,6,9,45,4.592436679988168,4.595006379997358
83,ok,openjij-sqa,100.0,100.0,160.0,20.0,default,32,42,120.0,-300.0,420.0,False,0,2,3,False,False,480.0,6,9,20,4.580282378999982,4.582961678999709
84,ok,openjij-sqa,100.0,100.0,160.0,20.0,default,32,43,128.0,-300.0,428.0,True,0,0,2,False,True,320.0,3,12,23,4.569207880995236,4.571977681000135
85,ok,openjij-sqa,100.0,100.0,160.0,20.0,default,32,44,88.0,-300.0,388.0,False,0,2,2,False,True,320.0,9,6,12,4.808307993007475,4.811694992997218
