case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,annealer_seed,energy,true_energy,energy_gap,valid,read_violations,position_violations,legal_edge_count,legal_true_adjacent_count,missing_edge_count,connected_layout,acceptable_connected_layout,missing_edge_cost,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
1,ok,openjij-sqa,90.0,300.0,300.0,25.0,default,32,42,125.0,-375.0,500.0,False,1,1,13,5,2,False,True,600.0,5,10,52,7.08890447000158,7.090810975001659
2,ok,openjij-sqa,90.0,300.0,300.0,25.0,default,32,43,130.0,-375.0,505.0,False,1,1,13,6,2,False,True,600.0,6,9,44,4.874723554006778,4.894090558984317
3,ok,openjij-sqa,90.0,300.0,300.0,25.0,default,32,44,0.0,-375.0,375.0,True,0,0,14,9,1,False,True,300.0,9,6,26,4.676301675994182,4.679303977987729
4,ok,openjij-sqa,90.0,300.0,600.0,25.0,default,32,42,110.0,-375.0,485.0,False,1,1,14,7,1,False,True,600.0,7,8,18,4.456281823979225,4.459382825996727
5,ok,openjij-sqa,90.0,300.0,600.0,25.0,default,32,43,120.0,-375.0,495.0,False,1,1,13,6,2,False,True,1200.0,6,9,45,4.509739301982336,4.512478402990382
6,ok,openjij-sqa,90.0,300.0,600.0,25.0,default,32,44,120.0,-375.0,495.0,False,1,1,14,7,1,False,True,600.0,7,8,30,4.409164341981523,4.412395242979983
7,ok,openjij-sqa,90.0,300.0,1000.0,25.0,default,32,42,470.0,-375.0,845.0,False,5,1,11,6,4,False,False,4000.0,6,9,52,4.46722951499396,4.4704961119859945
8,ok,openjij-sqa,90.0,300.0,1000.0,25.0,default,32,43,140.0,-375.0,515.0,False,1,1,13,5,2,False,True,2000.0,5,10,27,4.506733702000929,4.527122101018904
9,ok,openjij-sqa,90.0,300.0,1000.0,25.0,default,32,44,125.0,-375.0,500.0,False,1,1,14,5,1,False,True,1000.0,5,10,27,4.417721965990495,4.421112965996144
10,ok,openjij-sqa,90.0,600.0,300.0,25.0,default,32,42,525.0,-375.0,900.0,False,2,0,11,4,4,False,False,1200.0,4,11,44,4.395062965981197,4.398582660011016
11,ok,openjij-sqa,90.0,600.0,300.0,25.0,default,32,43,525.0,-375.0,900.0,False,2,0,12,7,3,False,False,900.0,7,8,57,4.57809225100209,4.582051350997062
12,ok,openjij-sqa,90.0,600.0,300.0,25.0,default,32,44,325.0,-375.0,700.0,True,0,0,13,7,2,False,True,600.0,7,8,21,4.371302581974305,4.374861582997255
13,ok,openjij-sqa,90.0,600.0,600.0,25.0,default,32,42,605.0,-375.0,980.0,False,3,1,12,5,3,False,False,1800.0,5,10,43,4.4023733969952445,4.404932797013316
14,ok,openjij-sqa,90.0,600.0,600.0,25.0,default,32,43,490.0,-375.0,865.0,False,2,0,12,6,3,False,False,1800.0,6,9,31,4.480431370000588,4.483090269990498
15,ok,openjij-sqa,90.0,600.0,600.0,25.0,default,32,44,310.0,-375.0,685.0,True,0,0,14,6,1,False,True,600.0,6,9,47,4.517334703006782,4.519820902991341
16,ok,openjij-sqa,90.0,600.0,1000.0,25.0,default,32,42,1210.0,-375.0,1585.0,False,2,2,13,2,2,False,True,2000.0,2,13,41,4.417523441981757,4.420231341995532
17,ok,openjij-sqa,90.0,600.0,1000.0,25.0,default,32,43,435.0,-375.0,810.0,False,1,1,13,4,2,False,True,2000.0,4,11,47,4.421654433012009,4.424286530993413
18,ok,openjij-sqa,90.0,600.0,1000.0,25.0,default,32,44,1155.0,-375.0,1530.0,False,2,2,12,3,3,False,False,3000.0,3,12,33,4.482602394011337,4.485644094005693
19,ok,openjij-sqa,90.0,1000.0,300.0,25.0,default,32,42,850.0,-375.0,1225.0,False,6,0,11,8,4,False,False,1200.0,8,7,26,4.421458843979053,4.424760442983825
20,ok,openjij-sqa,90.0,1000.0,300.0,25.0,default,32,43,845.0,-375.0,1220.0,False,2,0,11,5,4,False,False,1200.0,5,10,29,4.5069045679993,4.509321466990514
21,ok,openjij-sqa,90.0,1000.0,300.0,25.0,default,32,44,1040.0,-375.0,1415.0,False,4,0,11,3,4,False,False,1200.0,3,12,58,4.48617618199205,4.489830482983962
22,ok,openjij-sqa,90.0,1000.0,600.0,25.0,default,32,42,1315.0,-375.0,1690.0,False,4,0,10,3,5,False,False,3000.0,3,12,54,4.465226411004551,4.46863391099032
23,ok,openjij-sqa,90.0,1000.0,600.0,25.0,default,32,43,655.0,-375.0,1030.0,False,4,0,11,4,4,False,False,2400.0,4,11,30,4.44247098302003,4.44540648299153
24,ok,openjij-sqa,90.0,1000.0,600.0,25.0,default,32,44,860.0,-375.0,1235.0,False,6,0,12,2,3,False,False,1800.0,2,13,31,4.415578348009149,4.418646047997754
25,ok,openjij-sqa,90.0,1000.0,1000.0,25.0,default,32,42,1195.0,-375.0,1570.0,False,5,1,11,3,4,False,False,4000.0,3,12,41,4.4803115769755095,4.483409576991107
26,ok,openjij-sqa,90.0,1000.0,1000.0,25.0,default,32,43,825.0,-375.0,1200.0,False,1,1,13,5,2,False,True,2000.0,5,10,48,4.392495473002782,4.395215772005031
27,ok,openjij-sqa,90.0,1000.0,1000.0,25.0,default,32,44,720.0,-375.0,1095.0,True,0,0,14,6,1,False,True,1000.0,6,9,29,4.416330118983751,4.419603518006625
