case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,energy,true_energy,energy_gap,valid,read_violations,position_violations,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
1,ok,openjij-sqa,75.0,75.0,30.0,20.0,default,32,-144.0,-300.0,156.0,True,0,0,5,10,60,12.020417346999238,12.022325047000777
2,ok,openjij-sqa,75.0,75.0,30.0,25.0,default,32,-275.0,-375.0,100.0,True,0,0,7,8,30,9.295806218000507,9.315097616999992
3,ok,openjij-sqa,75.0,75.0,30.0,30.0,default,32,-288.0,-450.0,162.0,True,0,0,9,6,75,9.344344504999754,9.346817904999625
4,ok,openjij-sqa,75.0,75.0,30.0,35.0,default,32,-425.0,-525.0,100.0,True,0,0,12,3,6,12.281826216001718,12.284533517000455
5,ok,openjij-sqa,75.0,75.0,30.0,40.0,default,32,-442.0,-600.0,158.0,True,0,0,8,7,34,9.202183456000057,9.205152157001066
6,ok,openjij-sqa,75.0,75.0,40.0,20.0,default,32,-64.0,-300.0,236.0,True,0,0,2,13,21,8.78837088599903,8.791518586000166
7,ok,openjij-sqa,75.0,75.0,40.0,25.0,default,32,-200.0,-375.0,175.0,True,0,0,7,8,43,8.702982147999137,8.705533446000118
8,ok,openjij-sqa,75.0,75.0,40.0,30.0,default,32,-244.0,-450.0,206.0,True,0,0,6,9,48,10.581914080999923,10.584735780999836
9,ok,openjij-sqa,75.0,75.0,40.0,35.0,default,32,-256.0,-525.0,269.0,True,0,0,5,10,47,11.391556305999984,11.396080606000396
10,ok,openjij-sqa,75.0,75.0,40.0,40.0,default,32,-360.0,-600.0,240.0,True,0,0,3,12,43,9.109437162000177,9.112545562000378
11,ok,openjij-sqa,75.0,75.0,50.0,20.0,default,32,-178.0,-300.0,122.0,True,0,0,6,9,35,8.930445285999667,8.933815884998694
12,ok,openjij-sqa,75.0,75.0,50.0,25.0,default,32,-240.0,-375.0,135.0,True,0,0,5,10,29,9.01331087699873,9.015992777000065
13,ok,openjij-sqa,75.0,75.0,50.0,30.0,default,32,-236.0,-450.0,214.0,True,0,0,8,7,58,8.852690892999817,8.855095093000273
14,ok,openjij-sqa,75.0,75.0,50.0,35.0,default,32,-356.0,-525.0,169.0,True,0,0,4,11,43,9.033391626999219,9.03700852700058
