case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,energy,true_energy,energy_gap,valid,read_violations,position_violations,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
1,ok,openjij-sqa,100.0,100.0,30.0,10.0,default,default,2212.0,-150.0,2362.0,False,9,9,3,12,36,3.3127073350005958,3.3148220330003824
2,ok,openjij-sqa,100.0,100.0,30.0,10.0,default,16,66.0,-150.0,216.0,True,0,0,6,9,73,2.352553958999124,2.370846834000986
3,ok,openjij-sqa,100.0,100.0,30.0,10.0,default,32,70.0,-150.0,220.0,True,0,0,4,11,57,5.166023429999768,5.1684360269991885
4,ok,openjij-sqa,100.0,100.0,30.0,20.0,default,default,3022.0,-300.0,3322.0,False,12,12,1,14,56,1.1624525600000197,1.164971260999664
5,ok,openjij-sqa,100.0,100.0,30.0,20.0,default,16,-98.0,-300.0,202.0,True,0,0,4,11,69,3.278569370999321,3.2810513710010127
6,ok,openjij-sqa,100.0,100.0,30.0,20.0,default,32,-68.0,-300.0,232.0,True,0,0,5,10,56,6.2015602350002155,6.204408634999709
7,ok,openjij-sqa,100.0,100.0,30.0,30.0,default,default,2912.0,-450.0,3362.0,False,13,13,2,13,58,1.2748677560011856,1.2773884609996458
8,ok,openjij-sqa,100.0,100.0,30.0,30.0,default,16,-246.0,-450.0,204.0,True,0,0,6,9,50,3.059937403000731,3.0789123049999034
9,ok,openjij-sqa,100.0,100.0,30.0,30.0,default,32,-312.0,-450.0,138.0,True,0,0,8,7,37,5.0847779079995234,5.088293409999096
10,ok,openjij-sqa,100.0,100.0,50.0,10.0,default,default,3614.0,-150.0,3764.0,False,12,12,2,13,55,1.3270148760002485,1.329470577000393
11,ok,openjij-sqa,100.0,100.0,50.0,10.0,default,16,18.0,-150.0,168.0,True,0,0,1,14,50,2.7067021260008914,2.70969052700093
12,ok,openjij-sqa,100.0,100.0,50.0,10.0,default,32,-14.0,-150.0,136.0,True,0,0,8,7,34,4.749024632999863,4.751713433999612
13,ok,openjij-sqa,100.0,100.0,50.0,20.0,default,default,3106.0,-300.0,3406.0,False,11,11,3,12,36,1.2228886660013814,1.2262920670000312
14,ok,openjij-sqa,100.0,100.0,50.0,20.0,default,16,-108.0,-300.0,192.0,True,0,0,7,8,56,2.484490245999041,2.4869665469996107
15,ok,openjij-sqa,100.0,100.0,50.0,20.0,default,32,-58.0,-300.0,242.0,True,0,0,6,9,60,4.318098812000244,4.320577912998488
16,ok,openjij-sqa,100.0,100.0,50.0,30.0,default,default,2662.0,-450.0,3112.0,False,11,11,4,11,33,1.1254170880001766,1.1278665879999608
17,ok,openjij-sqa,100.0,100.0,50.0,30.0,default,16,-298.0,-450.0,152.0,True,0,0,8,7,17,2.517820044000473,2.520377644999826
18,ok,openjij-sqa,100.0,100.0,50.0,30.0,default,32,-266.0,-450.0,184.0,True,0,0,11,4,30,4.380332708000424,4.383405709000726
19,ok,openjij-sqa,100.0,100.0,100.0,10.0,default,default,3704.0,-150.0,3854.0,False,11,11,4,11,30,1.1384693449999759,1.141260844999124
20,ok,openjij-sqa,100.0,100.0,100.0,10.0,default,16,90.0,-150.0,240.0,True,0,0,8,7,21,2.5344143450001866,2.5368968460006727
21,ok,openjij-sqa,100.0,100.0,100.0,10.0,default,32,96.0,-150.0,246.0,True,0,0,2,13,53,4.35265329700087,4.355922297998404
22,ok,openjij-sqa,100.0,100.0,100.0,20.0,default,default,2848.0,-300.0,3148.0,False,9,9,4,11,31,1.1190050020013587,1.1215860020001855
23,ok,openjij-sqa,100.0,100.0,100.0,20.0,default,16,-132.0,-300.0,168.0,True,0,0,5,10,19,2.5187514280005416,2.521245027999612
24,ok,openjij-sqa,100.0,100.0,100.0,20.0,default,32,-20.0,-300.0,280.0,True,0,0,7,8,23,4.230206480000561,4.23303758000111
