case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,energy,true_energy,energy_gap,valid,read_violations,position_violations,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
1,ok,openjij-sqa,75.0,75.0,30.0,20.0,default,36,-156.0,-300.0,144.0,True,0,0,7,8,46,19.01856179299648,19.02088208799978
2,ok,openjij-sqa,75.0,75.0,30.0,25.0,default,36,-235.0,-375.0,140.0,True,0,0,7,8,37,19.891603595999186,19.90970059599931
3,ok,openjij-sqa,75.0,75.0,30.0,30.0,default,36,-342.0,-450.0,108.0,True,0,0,7,8,43,17.781186816006084,17.78392951600108
4,ok,openjij-sqa,75.0,75.0,30.0,35.0,default,36,-362.0,-525.0,163.0,True,0,0,1,14,30,15.335169532998407,15.342496332996234
5,ok,openjij-sqa,75.0,75.0,30.0,40.0,default,36,-442.0,-600.0,158.0,True,0,0,7,8,27,14.895232707000105,14.899015107002924
6,ok,openjij-sqa,75.0,75.0,40.0,20.0,default,36,-216.0,-300.0,84.0,True,0,0,11,4,42,17.361391049002123,17.363878648997343
7,ok,openjij-sqa,75.0,75.0,40.0,25.0,default,36,-205.0,-375.0,170.0,True,0,0,7,8,22,23.931532933005656,23.93405713300308
8,ok,openjij-sqa,75.0,75.0,40.0,30.0,default,36,-180.0,-450.0,270.0,True,0,0,6,9,32,15.48310181099805,15.48554361200513
9,ok,openjij-sqa,75.0,75.0,40.0,35.0,default,36,-284.0,-525.0,241.0,True,0,0,5,10,27,20.339040153005044,20.341507252996962
10,ok,openjij-sqa,75.0,75.0,40.0,40.0,default,36,-368.0,-600.0,232.0,True,0,0,8,7,26,28.4946098099972,28.497067010001047
11,ok,openjij-sqa,75.0,75.0,50.0,20.0,default,36,-116.0,-300.0,184.0,True,0,0,7,8,57,20.832074753998313,20.834593553998275
12,ok,openjij-sqa,75.0,75.0,50.0,25.0,default,36,-240.0,-375.0,135.0,True,0,0,5,10,30,21.759205376001773,21.76282937599899
13,ok,openjij-sqa,75.0,75.0,50.0,30.0,default,36,-226.0,-450.0,224.0,False,1,1,6,9,13,26.478337179003574,26.481293078999443
14,ok,openjij-sqa,75.0,75.0,50.0,35.0,default,36,-281.0,-525.0,244.0,False,1,3,9,6,22,23.626165369001683,23.628620669005613
15,ok,openjij-sqa,75.0,75.0,50.0,40.0,default,36,-388.0,-600.0,212.0,True,0,0,11,4,17,15.03551536300074,15.038142763005453
16,ok,openjij-sqa,75.0,75.0,60.0,20.0,default,36,-26.0,-300.0,274.0,False,0,2,7,8,55,14.621396288996038,14.623877788995742
17,ok,openjij-sqa,75.0,75.0,60.0,25.0,default,36,-225.0,-375.0,150.0,True,0,0,7,8,30,14.681341861003602,14.683886961000098
18,ok,openjij-sqa,75.0,75.0,60.0,30.0,default,36,-282.0,-450.0,168.0,True,0,0,5,10,33,14.761190334000275,14.764156933997583
19,ok,openjij-sqa,75.0,75.0,60.0,35.0,default,36,-353.0,-525.0,172.0,True,0,0,8,7,38,14.796476939998684,14.79936304000148
20,ok,openjij-sqa,75.0,75.0,60.0,40.0,default,36,-220.0,-600.0,380.0,False,0,4,5,10,66,14.632669154001633,14.635182754005655
21,ok,openjij-sqa,100.0,100.0,30.0,20.0,default,36,-110.0,-300.0,190.0,True,0,0,6,9,55,14.972424476000015,14.975031976005994
22,ok,openjij-sqa,100.0,100.0,30.0,25.0,default,36,-225.0,-375.0,150.0,True,0,0,8,7,49,14.931683784001507,14.93420788399817
23,ok,openjij-sqa,100.0,100.0,30.0,30.0,default,36,-240.0,-450.0,210.0,True,0,0,7,8,32,15.134259612001188,15.136810711999715
24,ok,openjij-sqa,100.0,100.0,30.0,35.0,default,36,-362.0,-525.0,163.0,True,0,0,7,8,27,15.024135219995514,15.02687851999508
25,ok,openjij-sqa,100.0,100.0,30.0,40.0,default,36,-350.0,-600.0,250.0,True,0,0,9,6,46,14.723639099996944,14.72659399999975
26,ok,openjij-sqa,100.0,100.0,40.0,20.0,default,36,-84.0,-300.0,216.0,True,0,0,7,8,66,15.158809632004704,15.161651032001828
27,ok,openjij-sqa,100.0,100.0,40.0,25.0,default,36,-200.0,-375.0,175.0,True,0,0,6,9,55,15.457579951005755,15.460115150999627
28,ok,openjij-sqa,100.0,100.0,40.0,30.0,default,36,-250.0,-450.0,200.0,True,0,0,8,7,47,14.814474714003154,14.816986714002269
29,ok,openjij-sqa,100.0,100.0,40.0,35.0,default,36,-319.0,-525.0,206.0,True,0,0,8,7,39,15.02889973299898,15.031428433001565
30,ok,openjij-sqa,100.0,100.0,40.0,40.0,default,36,-360.0,-600.0,240.0,True,0,0,8,7,43,15.177848117993562,15.180333418000373
31,ok,openjij-sqa,100.0,100.0,50.0,20.0,default,36,-116.0,-300.0,184.0,True,0,0,7,8,12,15.196134762998554,15.198659163004777
32,ok,openjij-sqa,100.0,100.0,50.0,25.0,default,36,-175.0,-375.0,200.0,True,0,0,6,9,66,14.998180347996822,15.000846247996378
33,ok,openjij-sqa,100.0,100.0,50.0,30.0,default,36,-200.0,-450.0,250.0,True,0,0,3,12,47,15.694464019994484,15.697094119997928
34,ok,openjij-sqa,100.0,100.0,50.0,35.0,default,36,-377.0,-525.0,148.0,True,0,0,8,7,16,15.113214639000944,15.115815639001084
35,ok,openjij-sqa,100.0,100.0,50.0,40.0,default,36,-308.0,-600.0,292.0,True,0,0,5,10,43,18.98814119600138,18.990833496005507
36,ok,openjij-sqa,100.0,100.0,60.0,20.0,default,36,-112.0,-300.0,188.0,True,0,0,10,5,65,15.440408721995482,15.4429454219935
37,ok,openjij-sqa,100.0,100.0,60.0,25.0,default,36,-145.0,-375.0,230.0,True,0,0,8,7,15,21.056751365998934,21.059650965995388
38,ok,openjij-sqa,100.0,100.0,60.0,30.0,default,36,-150.0,-450.0,300.0,True,0,0,7,8,83,45.397616075999395,45.400856976004434
39,ok,openjij-sqa,100.0,100.0,60.0,35.0,default,36,-332.0,-525.0,193.0,True,0,0,5,10,34,15.274417417997029,15.277714518000721
40,ok,openjij-sqa,100.0,100.0,60.0,40.0,default,36,-388.0,-600.0,212.0,True,0,0,4,11,26,14.662604922996252,14.665141423000023
41,ok,openjij-sqa,150.0,150.0,30.0,20.0,default,36,-90.0,-300.0,210.0,True,0,0,5,10,74,14.818026731001737,14.820482930997969
42,ok,openjij-sqa,150.0,150.0,30.0,25.0,default,36,-195.0,-375.0,180.0,True,0,0,10,5,23,15.043074091001472,15.045592094000312
43,ok,openjij-sqa,150.0,150.0,30.0,30.0,default,36,-210.0,-450.0,240.0,True,0,0,4,11,29,14.898671014001593,14.901097813999513
44,ok,openjij-sqa,150.0,150.0,30.0,35.0,default,36,-290.0,-525.0,235.0,True,0,0,6,9,23,14.635285125994415,14.63782872599404
45,ok,openjij-sqa,150.0,150.0,30.0,40.0,default,36,-366.0,-600.0,234.0,True,0,0,9,6,71,14.93869142800395,14.941768228003639
46,ok,openjij-sqa,150.0,150.0,40.0,20.0,default,36,-24.0,-300.0,276.0,True,0,0,7,8,45,14.518288799998118,14.521105599000293
