case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,energy,true_energy,energy_gap,valid,read_violations,position_violations,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
1,ok,openjij-sqa,75.0,75.0,30.0,20.0,default,40,-132.0,-300.0,168.0,True,0,0,5,10,19,8.244525094998608,8.24638439500086
2,ok,openjij-sqa,75.0,75.0,30.0,25.0,default,40,-250.0,-375.0,125.0,True,0,0,7,8,38,5.825487161000638,5.845394760001
3,ok,openjij-sqa,75.0,75.0,30.0,30.0,default,40,-246.0,-450.0,204.0,True,0,0,4,11,41,5.87574878399937,5.87821038400034
4,ok,openjij-sqa,75.0,75.0,30.0,35.0,default,40,-332.0,-525.0,193.0,True,0,0,8,7,54,5.866618377000123,5.869907976999457
5,ok,openjij-sqa,75.0,75.0,30.0,40.0,default,40,-350.0,-600.0,250.0,False,1,1,9,6,56,5.807594089999839,5.810269789999438
6,ok,openjij-sqa,75.0,75.0,40.0,20.0,default,40,-156.0,-300.0,144.0,True,0,0,8,7,46,5.727391894999528,5.7300272949996724
7,ok,openjij-sqa,75.0,75.0,40.0,25.0,default,40,-160.0,-375.0,215.0,True,0,0,4,11,48,6.1844009939995885,6.1886030940004275
8,ok,openjij-sqa,75.0,75.0,40.0,30.0,default,40,-214.0,-450.0,236.0,True,0,0,5,10,66,6.046255188999567,6.0647703889990225
9,ok,openjij-sqa,75.0,75.0,40.0,35.0,default,40,-415.0,-525.0,110.0,True,0,0,9,6,15,5.978189986000871,5.980811586001437
10,ok,openjij-sqa,75.0,75.0,40.0,40.0,default,40,-304.0,-600.0,296.0,True,0,0,6,9,71,5.788829992001411,5.792232792000505
11,ok,openjij-sqa,75.0,75.0,50.0,20.0,default,40,-112.0,-300.0,188.0,True,0,0,7,8,58,5.840232906000892,5.842755605999628
12,ok,openjij-sqa,75.0,75.0,50.0,25.0,default,40,-195.0,-375.0,180.0,True,0,0,10,5,25,5.875000564999937,5.877577764998932
13,ok,openjij-sqa,75.0,75.0,50.0,30.0,default,40,-212.0,-450.0,238.0,True,0,0,6,9,22,5.726808728999458,5.729436428999179
14,ok,openjij-sqa,75.0,75.0,50.0,35.0,default,40,-319.0,-525.0,206.0,False,0,2,6,9,52,5.830156669999269,5.832791870001529
15,ok,openjij-sqa,75.0,75.0,50.0,40.0,default,40,-348.0,-600.0,252.0,True,0,0,8,7,66,6.0704116390006675,6.07307893899997
16,ok,openjij-sqa,75.0,75.0,60.0,20.0,default,40,-104.0,-300.0,196.0,True,0,0,8,7,40,5.923378642000898,5.926240341999801
17,ok,openjij-sqa,75.0,75.0,60.0,25.0,default,40,-160.0,-375.0,215.0,True,0,0,6,9,42,5.743225867001456,5.747718566999538
18,ok,openjij-sqa,75.0,75.0,60.0,30.0,default,40,-138.0,-450.0,312.0,False,0,2,6,9,41,5.9880413219998445,5.990903521998916
19,ok,openjij-sqa,75.0,75.0,60.0,35.0,default,40,-339.0,-525.0,186.0,True,0,0,6,9,19,5.8467892709995795,5.84942127100112
20,ok,openjij-sqa,75.0,75.0,60.0,40.0,default,40,-320.0,-600.0,280.0,True,0,0,7,8,46,5.806363666999459,5.80965956700129
21,ok,openjij-sqa,100.0,100.0,30.0,20.0,default,40,-86.0,-300.0,214.0,True,0,0,3,12,45,5.998350338999444,6.002163339000617
22,ok,openjij-sqa,100.0,100.0,30.0,25.0,default,40,-105.0,-375.0,270.0,True,0,0,5,10,61,5.942220937000457,5.944967637000445
23,ok,openjij-sqa,100.0,100.0,30.0,30.0,default,40,-306.0,-450.0,144.0,True,0,0,6,9,28,5.844710604000284,5.847269003999827
24,ok,openjij-sqa,100.0,100.0,30.0,35.0,default,40,-283.0,-525.0,242.0,True,0,0,4,11,27,5.955348571000286,5.957982971000092
25,ok,openjij-sqa,100.0,100.0,30.0,40.0,default,40,-324.0,-600.0,276.0,True,0,0,7,8,45,6.041165850001562,6.044026449999365
26,ok,openjij-sqa,100.0,100.0,40.0,20.0,default,40,-52.0,-300.0,248.0,True,0,0,2,13,82,5.851186243999109,5.853960144000666
27,ok,openjij-sqa,100.0,100.0,40.0,25.0,default,40,-130.0,-375.0,245.0,True,0,0,6,9,72,6.098367208000127,6.1010387079986685
