unsupported_read_id	support_status	unsupported_reference_start	neighbor_scope	neighbor_side	neighbor_rank	start_distance_bp	neighbor_id	neighbor_reference_orientation	neighbor_reference_start	neighbor_reference_end	neighbor_identity	neighbor_graph_status	neighbor_removal_reason	graph_edge_flag_to_neighbor	graph_edge_neighbor_to_flag	paf_stage	paf_record_count	paf_max_identity	paf_max_alignment_block	paf_best_alignment_block	paf_best_strand	paf_best_coordinates
SRR27862880.110001_m1	no_in_support	2817	all_mapped	previous	1	17	SRR27862880.131501_m1	-1	2800	2951	0.99337748	retained				below_identity_0.990	1	0.98507463	134	134	+	q:17-151/151;t:0-134/151
SRR27862880.110001_m1	no_in_support	2817	all_mapped	previous	2	21	SRR27862880.196001_m1	-1	2796	2946	0.99333333	retained				below_identity_0.990	1	0.98449612	129	129	+	q:22-151/151;t:0-129/150
SRR27862880.110001_m1	no_in_support	2817	all_mapped	previous	3	31	SRR27862880.146001_m1	-1	2786	2936	0.99333333	retained				below_identity_0.990	1	0.98319328	119	119	+	q:32-151/151;t:0-119/150
SRR27862880.110001_m1	no_in_support	2817	all_mapped	next	1	4	SRR27862880.124001_m1	+1	2821	2972	0.99337748	retained				below_identity_0.990	1	0.97959184	147	147	-	q:0-147/151;t:0-147/151
SRR27862880.110001_m1	no_in_support	2817	all_mapped	next	2	12	SRR27862880.190501_m2	+1	2829	2980	1.00000000	retained		overlap=139;identity=0.992806;error=0.007194		directed_candidate_geometry	1	0.99280576	139	139	-	q:0-139/151;t:0-139/151
SRR27862880.110001_m1	no_in_support	2817	all_mapped	next	3	16	SRR27862880.173001_m1	-1	2833	2984	1.00000000	removed	full_coverage_with:SRR27862880.205001_m1			directed_candidate_geometry	1	0.99259259	135	135	+	q:0-135/151;t:16-151/151
SRR27862880.110001_m2	no_out_support	2576	all_mapped	previous	1	1	SRR27862880.146001_m2	+1	2575	2726	1.00000000	retained				below_identity_0.990	1	0.98666667	150	150	+	q:0-150/151;t:1-151/151
SRR27862880.110001_m2	no_out_support	2576	all_mapped	previous	2	17	SRR27862880.115001_m1	+1	2559	2710	1.00000000	retained			overlap=134;identity=0.992537;error=0.007463	directed_candidate_geometry	1	0.99253731	134	134	+	q:0-134/151;t:17-151/151
SRR27862880.110001_m2	no_out_support	2576	all_mapped	previous	3	23	SRR27862880.196001_m2	+1	2553	2704	0.98675497	retained				below_identity_0.990	1	0.98412698	126	126	+	q:0-126/151;t:23-149/151
SRR27862880.110001_m2	no_out_support	2576	all_mapped	next	1	12	SRR27862880.131501_m2	+1	2588	2739	0.99337748	removed	full_coverage_with:SRR27862880.84501_m1			below_identity_0.990	1	0.98561151	139	139	+	q:12-151/151;t:0-139/151
SRR27862880.110001_m2	no_out_support	2576	all_mapped	next	2	12	SRR27862880.84501_m1	+1	2588	2739	0.99337748	retained				below_identity_0.990	1	0.98561151	139	139	+	q:12-151/151;t:0-139/151
SRR27862880.110001_m2	no_out_support	2576	all_mapped	next	3	27	SRR27862880.173001_m2	+1	2603	2754	0.99337748	retained				below_identity_0.990	1	0.98387097	124	124	+	q:27-151/151;t:0-124/151
SRR27862880.125501_m1	no_in_support	4272	all_mapped	previous	1	8	SRR27862880.167501_m1	-1	4264	4414	1.00000000	retained				below_identity_0.990	1	0.97887324	142	142	+	q:8-150/150;t:0-142/150
SRR27862880.125501_m1	no_in_support	4272	all_mapped	previous	2	11	SRR27862880.501_m2	+1	4261	4412	1.00000000	retained				below_identity_0.990	1	0.97857143	140	140	-	q:10-150/150;t:11-151/151
SRR27862880.125501_m1	no_in_support	4272	all_mapped	previous	3	15	SRR27862880.170501_m1	-1	4257	4408	1.00000000	retained				below_identity_0.990	1	0.97794118	136	136	+	q:14-150/150;t:0-136/151
SRR27862880.125501_m1	no_in_support	4272	all_mapped	next	1	13	SRR27862880.164001_m1	-1	4285	4436	1.00000000	retained				below_identity_0.990	1	0.98507463	134	134	+	q:0-134/150;t:14-148/151
SRR27862880.125501_m1	no_in_support	4272	all_mapped	next	2	19	SRR27862880.51501_m2	-1	4291	4441	1.00000000	retained				below_identity_0.990	1	0.98473282	131	131	+	q:0-131/150;t:19-150/150
