left_id	left_orientation	right_id	right_orientation	rough_overlap	rough_shift	paf_identity	refined_overlap	refined_identity	refined_error_rate	rejection_reason
SRR27862880.14001_m2	-1	SRR27862880.10001_m1	+1	101	39	1.00000000	111	0.94594595	0.05405405	error_above_0.010
SRR27862880.10001_m1	-1	SRR27862880.14001_m2	+1	101	50	1.00000000	111	0.94594595	0.05405405	error_above_0.010
SRR27862880.69001_m1	+1	SRR27862880.38001_m1	+1	129	21	0.99224806	130	0.98461538	0.01538462	error_above_0.010
SRR27862880.38001_m1	-1	SRR27862880.69001_m1	-1	129	22	0.99224806	130	0.98461538	0.01538462	error_above_0.010
SRR27862880.66501_m2	+1	SRR27862880.100501_m1	+1	107	38	0.99065421	110	0.98181818	0.01818182	error_above_0.010
SRR27862880.100501_m1	-1	SRR27862880.66501_m2	-1	107	41	0.99065421	110	0.98181818	0.01818182	error_above_0.010
SRR27862880.98501_m2	+1	SRR27862880.110001_m1	+1	86	62	1.00000000	88	0.98863636	0.01136364	error_above_0.010
SRR27862880.110001_m1	-1	SRR27862880.98501_m2	-1	86	65	1.00000000	88	0.98863636	0.01136364	error_above_0.010
SRR27862880.14001_m2	-1	SRR27862880.123001_m1	+1	81	59	1.00000000	91	0.93406593	0.06593407	error_above_0.010
SRR27862880.123001_m1	-1	SRR27862880.14001_m2	+1	81	70	1.00000000	91	0.93406593	0.06593407	error_above_0.010
SRR27862880.229001_m2	-1	SRR27862880.124501_m1	+1	119	28	0.99159664	122	0.98360656	0.01639344	error_above_0.010
SRR27862880.124501_m1	-1	SRR27862880.229001_m2	+1	119	29	0.99159664	122	0.98360656	0.01639344	error_above_0.010
SRR27862880.248001_m1	+1	SRR27862880.159001_m1	+1	101	47	1.00000000	104	0.98076923	0.01923077	error_above_0.010
SRR27862880.159001_m1	-1	SRR27862880.248001_m1	-1	101	50	1.00000000	104	0.98076923	0.01923077	error_above_0.010
SRR27862880.235501_m2	+1	SRR27862880.159001_m1	+1	101	46	1.00000000	104	0.98076923	0.01923077	error_above_0.010
SRR27862880.159001_m1	-1	SRR27862880.235501_m2	-1	101	50	1.00000000	104	0.98076923	0.01923077	error_above_0.010
