read_id	orientation	ref_start	ref_end	alignment_length	identity	error_rate	mapq
SRR27862880.55501_m2	+1	9	159	150	1.00000000	0.00000000	0
SRR27862880.151001_m1	-1	14	164	150	1.00000000	0.00000000	0
SRR27862880.182501_m1	-1	14	164	150	1.00000000	0.00000000	0
SRR27862880.1_m2	+1	22	173	151	1.00000000	0.00000000	0
SRR27862880.52001_m1	+1	28	179	151	1.00000000	0.00000000	0
SRR27862880.181001_m2	-1	37	187	150	1.00000000	0.00000000	0
SRR27862880.41501_m2	+1	37	188	151	1.00000000	0.00000000	0
SRR27862880.74501_m2	+1	38	189	151	1.00000000	0.00000000	0
SRR27862880.107001_m2	-1	46	196	150	1.00000000	0.00000000	0
SRR27862880.20001_m2	-1	50	201	151	1.00000000	0.00000000	0
SRR27862880.62501_m1	+1	59	210	151	1.00000000	0.00000000	0
SRR27862880.153001_m2	-1	60	211	151	0.99337748	0.00662252	0
SRR27862880.5501_m1	+1	60	211	151	1.00000000	0.00000000	0
SRR27862880.87501_m2	+1	60	209	149	1.00000000	0.00000000	0
SRR27862880.122001_m2	-1	70	221	151	1.00000000	0.00000000	0
SRR27862880.131001_m2	-1	80	231	151	1.00000000	0.00000000	0
SRR27862880.225501_m1	+1	87	235	148	1.00000000	0.00000000	0
SRR27862880.118001_m1	+1	101	252	151	1.00000000	0.00000000	0
SRR27862880.19001_m2	+1	101	251	150	1.00000000	0.00000000	0
SRR27862880.9501_m1	+1	108	258	150	1.00000000	0.00000000	0
SRR27862880.126001_m2	-1	110	260	150	1.00000000	0.00000000	0
SRR27862880.77501_m2	-1	112	263	151	1.00000000	0.00000000	0
SRR27862880.209001_m1	+1	129	279	150	1.00000000	0.00000000	0
SRR27862880.228501_m1	+1	129	279	150	1.00000000	0.00000000	0
SRR27862880.194001_m2	-1	130	281	151	1.00000000	0.00000000	0
SRR27862880.3001_m2	-1	155	305	150	0.98666667	0.01333333	0
SRR27862880.61001_m2	+1	162	313	151	1.00000000	0.00000000	0
SRR27862880.119001_m2	+1	165	316	151	1.00000000	0.00000000	0
SRR27862880.11001_m2	+1	169	318	149	1.00000000	0.00000000	0
SRR27862880.221501_m2	-1	179	329	150	1.00000000	0.00000000	0
SRR27862880.85001_m1	-1	180	330	150	1.00000000	0.00000000	0
SRR27862880.104501_m2	-1	182	332	150	1.00000000	0.00000000	0
SRR27862880.233501_m1	-1	182	333	151	1.00000000	0.00000000	0
SRR27862880.138001_m1	-1	187	337	150	1.00000000	0.00000000	0
SRR27862880.87001_m2	+1	190	340	150	1.00000000	0.00000000	0
SRR27862880.169001_m2	+1	203	352	149	1.00000000	0.00000000	0
SRR27862880.19501_m2	-1	209	359	150	1.00000000	0.00000000	0
SRR27862880.52001_m2	-1	228	379	151	1.00000000	0.00000000	0
SRR27862880.55501_m1	-1	234	385	151	1.00000000	0.00000000	0
SRR27862880.6001_m1	-1	236	387	151	1.00000000	0.00000000	0
SRR27862880.1_m1	-1	239	390	151	1.00000000	0.00000000	0
SRR27862880.62501_m2	-1	254	403	149	1.00000000	0.00000000	0
SRR27862880.212001_m2	+1	264	413	149	1.00000000	0.00000000	0
SRR27862880.65501_m1	+1	264	415	151	1.00000000	0.00000000	0
SRR27862880.74501_m1	-1	278	428	150	1.00000000	0.00000000	0
SRR27862880.98001_m2	+1	282	433	151	1.00000000	0.00000000	0
SRR27862880.41501_m1	-1	283	433	150	1.00000000	0.00000000	0
SRR27862880.162001_m2	+1	286	437	151	1.00000000	0.00000000	0
SRR27862880.217501_m1	+1	288	439	151	1.00000000	0.00000000	0
SRR27862880.118001_m2	-1	294	444	150	1.00000000	0.00000000	0
SRR27862880.45501_m2	+1	296	447	151	1.00000000	0.00000000	0
SRR27862880.87501_m1	-1	300	450	150	1.00000000	0.00000000	0
SRR27862880.5501_m2	-1	308	459	151	1.00000000	0.00000000	0
SRR27862880.97001_m2	+1	313	464	151	1.00000000	0.00000000	0
SRR27862880.34501_m1	+1	317	468	151	1.00000000	0.00000000	0
SRR27862880.225501_m2	-1	324	473	149	1.00000000	0.00000000	0
SRR27862880.168001_m1	+1	328	479	151	1.00000000	0.00000000	0
SRR27862880.228501_m2	-1	328	478	150	1.00000000	0.00000000	0
SRR27862880.46001_m2	+1	328	479	151	1.00000000	0.00000000	0
SRR27862880.19001_m1	-1	329	479	150	1.00000000	0.00000000	0
SRR27862880.1501_m2	+1	333	481	148	1.00000000	0.00000000	0
SRR27862880.9501_m2	-1	347	497	150	1.00000000	0.00000000	0
SRR27862880.11001_m1	-1	352	503	151	1.00000000	0.00000000	0
SRR27862880.201501_m1	+1	356	506	150	1.00000000	0.00000000	0
SRR27862880.38501_m2	+1	358	509	151	1.00000000	0.00000000	0
SRR27862880.15501_m2	+1	362	511	149	1.00000000	0.00000000	0
SRR27862880.119001_m1	-1	363	514	151	1.00000000	0.00000000	0
SRR27862880.209001_m2	-1	363	513	150	1.00000000	0.00000000	0
SRR27862880.42501_m2	+1	382	533	151	1.00000000	0.00000000	0
SRR27862880.169001_m1	-1	395	546	151	1.00000000	0.00000000	0
SRR27862880.239001_m2	+1	397	548	151	1.00000000	0.00000000	0
SRR27862880.97001_m1	-1	401	552	151	1.00000000	0.00000000	0
SRR27862880.189001_m1	+1	418	569	151	1.00000000	0.00000000	0
SRR27862880.175501_m2	+1	423	574	151	1.00000000	0.00000000	0
SRR27862880.61001_m1	-1	428	579	151	1.00000000	0.00000000	0
SRR27862880.78001_m1	+1	428	579	151	1.00000000	0.00000000	0
SRR27862880.158501_m2	+1	430	581	151	1.00000000	0.00000000	0
SRR27862880.108001_m2	+1	435	584	149	1.00000000	0.00000000	0
SRR27862880.176501_m2	+1	436	586	150	1.00000000	0.00000000	0
SRR27862880.56001_m2	+1	452	603	151	0.98675497	0.01324503	0
SRR27862880.43501_m2	+1	454	605	151	0.99337748	0.00662252	0
SRR27862880.87001_m1	-1	458	608	150	0.99333333	0.00666667	0
SRR27862880.65501_m2	-1	473	623	150	0.99333333	0.00666667	0
SRR27862880.202501_m1	+1	474	625	151	0.98675497	0.01324503	0
SRR27862880.113001_m1	+1	478	629	151	0.99337748	0.00662252	0
SRR27862880.198001_m1	+1	483	634	151	0.99337748	0.00662252	0
SRR27862880.134001_m1	+1	487	638	151	0.99337748	0.00662252	0
