position	read_id	orientation	next_read_id	next_orientation	overlap_len	shift	identity	mapq
0	SRR27862880.100001_m1	+1	SRR27862880.83501_m2	-1	146	5	1.00000000	0
1	SRR27862880.83501_m2	-1	SRR27862880.161501_m1	-1	142	9	1.00000000	0
2	SRR27862880.161501_m1	-1	SRR27862880.233001_m1	-1	143	8	0.99300699	0
3	SRR27862880.233001_m1	-1	SRR27862880.91501_m2	+1	148	3	0.99324324	0
4	SRR27862880.91501_m2	+1	SRR27862880.101501_m2	+1	123	27	1.00000000	0
5	SRR27862880.101501_m2	+1	SRR27862880.24501_m1	-1	140	11	1.00000000	0
6	SRR27862880.24501_m1	-1	SRR27862880.108501_m2	+1	140	10	1.00000000	0
7	SRR27862880.108501_m2	+1	SRR27862880.209501_m1	-1	142	9	0.99295775	0
8	SRR27862880.209501_m1	-1	SRR27862880.208001_m2	-1	132	18	0.99242424	0
9	SRR27862880.208001_m2	-1	SRR27862880.12501_m2	-1	135	15	1.00000000	0
10	SRR27862880.12501_m2	-1	SRR27862880.149001_m2	+1	141	9	1.00000000	0
11	SRR27862880.149001_m2	+1	SRR27862880.203001_m2	-1	135	16	1.00000000	0
12	SRR27862880.203001_m2	-1	SRR27862880.197001_m2	+1	133	17	1.00000000	0
13	SRR27862880.197001_m2	+1	SRR27862880.63501_m1	-1	138	13	1.00000000	0
14	SRR27862880.63501_m1	-1	SRR27862880.96501_m1	-1	148	3	1.00000000	0
15	SRR27862880.96501_m1	-1	SRR27862880.244001_m2	+1	134	17	0.99253731	0
16	SRR27862880.244001_m2	+1	SRR27862880.114001_m1	-1	144	6	0.99305556	0
17	SRR27862880.114001_m1	-1	SRR27862880.142501_m2	+1	121	30	1.00000000	0
18	SRR27862880.142501_m2	+1	SRR27862880.54001_m2	+1	139	12	1.00000000	0
19	SRR27862880.54001_m2	+1	SRR27862880.103001_m1	-1	141	9	1.00000000	0
20	SRR27862880.103001_m1	-1	SRR27862880.157001_m2	+1	140	11	1.00000000	0
