read_id	read_length	support_status	selected_orientation	reference_orientation	reference_start	reference_end	alignment_length	identity	mapq	incoming_support_count	outgoing_support_count	incoming_ids	outgoing_ids	raw_physical_incoming_count	raw_physical_outgoing_count	pre_full_filter_incoming_count	pre_full_filter_outgoing_count
SRR27862880.107501_m2	150	no_in_or_out_support	+1							0	0			0	0	0	0
SRR27862880.110001_m1	151	no_in_support	-1	-1	2817	2968	151	0.98675497	0	0	9		SRR27862880.147001_m2+|SRR27862880.190501_m2+|SRR27862880.205001_m1-|SRR27862880.206501_m1+|SRR27862880.23001_m1+|SRR27862880.230501_m2-|SRR27862880.235001_m2+|SRR27862880.72501_m1-|SRR27862880.98501_m2-	9	9	0	11
SRR27862880.110001_m2	151	no_out_support	+1	+1	2576	2727	151	0.98675497	0	8	0	SRR27862880.115001_m1+|SRR27862880.120001_m1+|SRR27862880.152501_m1-|SRR27862880.172001_m1+|SRR27862880.3501_m2+|SRR27862880.43001_m2-|SRR27862880.50501_m1-|SRR27862880.72001_m2+		8	8	9	0
SRR27862880.125501_m1	150	no_in_support	-1	-1	4272	4422	150	0.97333333	0	0	3		SRR27862880.37501_m2+|SRR27862880.60001_m2-|SRR27862880.65001_m1+	3	3	0	3
SRR27862880.126001_m1	151	no_out_support	+1	+1	5300	5451	151	0.98675497	60	6	0	SRR27862880.122001_m1+|SRR27862880.153001_m1+|SRR27862880.171001_m1-|SRR27862880.183001_m1+|SRR27862880.40501_m2-|SRR27862880.77501_m1+		6	6	7	0
SRR27862880.159001_m1	151	no_out_support	+1	+1	4527	4678	151	0.98013245	0	7	0	SRR27862880.117501_m1+|SRR27862880.128001_m1+|SRR27862880.180501_m2-|SRR27862880.205501_m2-|SRR27862880.248001_m1+|SRR27862880.501_m1-|SRR27862880.52501_m2-		7	7	9	0
SRR27862880.169501_m2	151	no_out_support	+1	+1	984	1135	151	0.98675497	0	10	0	SRR27862880.137501_m1-|SRR27862880.147501_m1+|SRR27862880.160001_m1+|SRR27862880.16501_m2+|SRR27862880.234001_m2-|SRR27862880.244501_m2-|SRR27862880.41001_m2-|SRR27862880.53001_m2-|SRR27862880.73001_m2-|SRR27862880.77001_m1-		10	10	12	0
SRR27862880.174501_m2	150	no_out_support	+1	+1	2755	2905	150	0.98000000	0	2	0	SRR27862880.16001_m2+|SRR27862880.215001_m1+		2	2	2	0
SRR27862880.176001_m1	148	no_in_or_out_support	+1	+1	2428	2518	90	0.98888889	0	0	0			0	0	0	0
SRR27862880.178001_m2	149	no_out_support	+1	+1	1441	1590	149	0.98657718	0	11	0	SRR27862880.13501_m2+|SRR27862880.141501_m1+|SRR27862880.185001_m1-|SRR27862880.196501_m2+|SRR27862880.201001_m1+|SRR27862880.227001_m1-|SRR27862880.238001_m2-|SRR27862880.36001_m2+|SRR27862880.58001_m1-|SRR27862880.8501_m1-|SRR27862880.99001_m1+		11	11	11	0
SRR27862880.196001_m2	151	no_out_support	+1	+1	2553	2704	151	0.98675497	0	2	0	SRR27862880.105001_m2+|SRR27862880.43001_m2-		2	2	2	0
SRR27862880.202001_m1	151	no_in_or_out_support	+1							0	0			0	0	0	0
SRR27862880.213001_m1	150	no_out_support	+1	+1	512	598	86	0.98837209	0	3	0	SRR27862880.43501_m2+|SRR27862880.56001_m2+|SRR27862880.87001_m1-		3	3	3	0
SRR27862880.213501_m1	151	no_in_support	-1	-1	778	929	151	0.98013245	0	0	8		SRR27862880.114501_m2-|SRR27862880.127501_m2-|SRR27862880.165001_m2-|SRR27862880.190001_m2+|SRR27862880.203501_m2+|SRR27862880.21501_m2-|SRR27862880.218001_m1-|SRR27862880.7001_m2+	8	8	0	8
SRR27862880.218501_m1	150	no_in_or_out_support	+1							0	0			0	0	0	0
SRR27862880.218501_m2	151	no_in_or_out_support	+1							0	0			0	0	0	0
SRR27862880.229001_m1	148	no_in_or_out_support	+1	-1	1730	1878	148	0.93918919	0	0	0			0	0	0	0
SRR27862880.229001_m2	150	no_out_support	+1	+1	1520	1670	150	0.98000000	0	4	0	SRR27862880.124501_m1-|SRR27862880.216501_m2+|SRR27862880.64501_m2-|SRR27862880.68001_m1-		4	4	4	0
SRR27862880.231501_m1	151	no_in_or_out_support	+1							0	0			0	0	0	0
SRR27862880.245001_m2	150	no_out_support	+1	+1	1078	1228	150	0.98666667	0	6	0	SRR27862880.14501_m2+|SRR27862880.190001_m1-|SRR27862880.199501_m2+|SRR27862880.203501_m1-|SRR27862880.232001_m1+|SRR27862880.36501_m1+		6	6	6	0
