read_id	orientation	ref_start	ref_end	identity	error_rate	mapq
SRR37543650.1384	-1	107	1151	0.98190476	0.01809524	0
SRR37543650.1041	-1	887	1335	0.98218263	0.01781737	0
SRR37543650.2309	+1	1046	1481	0.99310345	0.00689655	0
SRR37543650.88	+1	1142	1611	0.97872340	0.02127660	0
SRR37543650.947	-1	1323	1912	0.98305085	0.01694915	0
SRR37543650.1945	+1	1509	2538	0.97971014	0.02028986	0
SRR37543650.2000	-1	1586	2646	0.97942002	0.02057998	0
SRR37543650.1728	-1	1882	3014	0.98328936	0.01671064	0
SRR37543650.78	-1	2315	3214	0.98224195	0.01775805	0
SRR37543650.1552	+1	2495	3974	0.98918919	0.01081081	0
SRR37543650.1343	+1	2674	4694	0.99010391	0.00989609	0
SRR37543650.182	+1	3579	6373	0.99213724	0.00786276	60
