read_id	support_status	missing_side	selected_reference_phase	reference_start	reference_end	reference_identity	expected_neighbor_side	primary_cause	nearby_retained_ids	nearby_stage_statuses	nearby_paf_max_identities	nearby_start_distances_bp
SRR27862880.107501_m2	no_in_or_out_support	incoming						reference_unmapped				
SRR27862880.107501_m2	no_in_or_out_support	outgoing						reference_unmapped				
SRR27862880.110001_m1	no_in_support	incoming	+1	2817	2968	0.98675497	previous	below_identity_0.990	SRR27862880.131501_m1|SRR27862880.196001_m1|SRR27862880.146001_m1	below_identity_0.990|below_identity_0.990|below_identity_0.990	0.98507463|0.98449612|0.98319328	17|21|31
SRR27862880.110001_m2	no_out_support	outgoing	+1	2576	2727	0.98675497	next	below_identity_0.990	SRR27862880.84501_m1|SRR27862880.173001_m2|SRR27862880.204001_m1	below_identity_0.990|below_identity_0.990|below_identity_0.990	0.98561151|0.98387097|0.98347107	12|27|30
SRR27862880.125501_m1	no_in_support	incoming	+1	4272	4422	0.97333333	previous	below_identity_0.990	SRR27862880.167501_m1|SRR27862880.501_m2|SRR27862880.170501_m1	below_identity_0.990|below_identity_0.990|below_identity_0.990	0.97887324|0.97857143|0.97794118	8|11|15
SRR27862880.126001_m1	no_out_support	outgoing	+1	5300	5451	0.98675497	next	below_identity_0.990	SRR27862880.184501_m1|SRR27862880.3001_m1|SRR27862880.221501_m1	below_identity_0.990|below_identity_0.990|below_identity_0.990	0.98675497|0.98601399|0.98484848	0|8|19
SRR27862880.159001_m1	no_out_support	outgoing	+1	4527	4678	0.98013245	next	below_identity_0.990	SRR27862880.242501_m1|SRR27862880.93501_m1|SRR27862880.65001_m2	below_identity_0.990|below_identity_0.990|below_identity_0.990	0.97122302|0.97810219|0.97777778	12|14|16
SRR27862880.169501_m2	no_out_support	outgoing	+1	984	1135	0.98675497	next	below_identity_0.990	SRR27862880.94501_m1|SRR27862880.239501_m2|SRR27862880.92001_m2	below_identity_0.990|below_identity_0.990|below_identity_0.990	0.98648649|0.98591549|0.98550725	3|9|13
SRR27862880.174501_m2	no_out_support	outgoing	+1	2755	2905	0.98000000	next	below_identity_0.990	SRR27862880.115001_m2|SRR27862880.249501_m1|SRR27862880.84501_m2	below_identity_0.990|below_identity_0.990|below_identity_0.990	0.98630137|0.98601399|0.98591549	4|7|8
SRR27862880.176001_m1	no_in_or_out_support	incoming	+1	2428	2518	0.98888889	previous	below_identity_0.990	SRR27862880.71001_m1|SRR27862880.193001_m1|SRR27862880.219001_m1	below_identity_0.990|below_identity_0.990|below_identity_0.990	0.98888889|0.98888889|0.97777778	4|11|13
SRR27862880.176001_m1	no_in_or_out_support	outgoing	+1	2428	2518	0.98888889	next	below_min_overlap	SRR27862880.4001_m2|SRR27862880.43001_m1|SRR27862880.206001_m1	below_min_overlap|below_min_overlap|no_paf_record	0.98701299|0.98461538|	13|25|53
